"Module_Id","Module_Label","List_Route","Route_Prefixes","List_Component_Path","Create_Route","Create_Component_Path","Object_Route","Object_Component_Path","API_Base_Path","Project_Scoped","Leaf_Actions","Has_Create","Has_Read","Has_Edit","Has_Delete","Purpose"
"dashboard","Dashboard","/dashboard","/dashboard","src/components/DashboardHomeView.tsx (+ src/components/DashboardProjectClient.tsx, src/components/shell/ModuleDirectory.tsx)","NONE","NONE","NONE","NONE","/api/dashboard/project/[projectId]; /api/dashboard-hierarchy/*","TRUE (needsProject unset; chainModule:false)","Project dashboard -> /dashboard/project; Company hierarchy -> /dashboard/hierarchy (needsProject:false)","FALSE (no create leaf, no /new page)","TRUE (GET /api/dashboard/project/[projectId])","FALSE (no object page, no onEdit)","FALSE (no object page, no DELETE)","Grouped module directory + org/project KPI home; catalogue marks it chainModule:false so it is never a strip segment."
"permits","Permits","/permits","/permits","src/components/PermitsListClient.tsx","/permits/new","src/components/PermitCreateClient.tsx","/permits/[id]","src/components/PermitObjectClient.tsx","/api/permits (GET,POST); /api/permits/[id] (GET,PATCH,DELETE)","TRUE","New -> /permits/new; Expiring soon -> /permits?withinDays=30; Open -> /permits","TRUE (POST /api/permits + /permits/new page)","TRUE (GET list + GET [id])","TRUE (onEdit= in PermitObjectClient + PATCH exported)","TRUE (onDelete= + fetch method DELETE + DELETE exported)","Statutory/building permit register per project, with an expiry filter the dashboard KPI links into."
"drawings","Drawings & 3D","/drawings","/drawings, /floor-plans","src/components/DrawingsClient.tsx","/drawings/new","src/components/DrawingCreateClient.tsx","/drawings/[id]","src/components/DrawingObjectClient.tsx","/api/drawings (GET,POST); /api/drawings/[id] (GET,PATCH,DELETE); /api/floor-plans/*","TRUE","New -> /drawings/new; Open -> /drawings","TRUE (POST /api/drawings + /drawings/new)","TRUE (GET list + GET [id])","TRUE (onEdit= + PATCH exported)","TRUE (onDelete= + DELETE /api/drawings/[id]; second act disposes the document)","Drawing register with revisions plus the /floor-plans 2D/3D editor and walkthrough under the same module prefix."
"documents","Documents","/documents","/documents","src/components/DocumentsClient.tsx","/documents/upload","src/components/DocumentUploadClient.tsx","/documents/[id]","src/components/DocumentObjectClient.tsx","/api/documents (GET,POST); /api/documents/[id] (GET,PATCH); /api/documents/[id]/dispose (POST)","TRUE","Upload -> /documents/upload; Open -> /documents","TRUE (POST /api/documents + /documents/upload)","TRUE (GET list + GET [id])","TRUE (onEdit= + PATCH exported)","PARTIAL (onDelete= present but it disposes via POST .../dispose; no DELETE exported)","Project document filing/versioning; the object screen also surfaces linked permits, RFIs and MoMs."
"moms","Minutes of Meeting","/moms","/moms, /meetings","src/components/MoMsClient.tsx","/moms/new","src/components/MoMCreateClient.tsx","/moms/[id]","src/components/MoMObjectClient.tsx","/api/moms (GET,POST); /api/moms/[id] (GET,PATCH,DELETE); /api/meetings (GET,POST)","TRUE","New Meeting -> /moms/new; Open -> /moms","TRUE (POST /api/moms + /moms/new)","TRUE (GET list + GET [id])","TRUE (onEdit= + PATCH exported; blocked once published)","TRUE (onDelete= + fetch method DELETE + DELETE exported)","Site-meeting minutes with action items, share links, PDF and generated intelligence."
"scope","Scope of Work","/scope","/scope","src/components/ScopeClient.tsx","/scope/new","src/components/ScopeCreateClient.tsx","/scope/[id]","src/components/ScopeObjectClient.tsx","/api/scope (GET,POST); /api/scope/[id] (GET,DELETE); /api/scope/line-items/[id] (PATCH)","TRUE","New BOQ -> /scope/new; Open -> /scope","TRUE (POST /api/scope + /scope/new)","TRUE (GET list + GET [id])","PARTIAL (no onEdit= on the object screen by design; PATCH only on line-items/categories, not on /api/scope/[id])","TRUE (onDelete= for a draft BOQ + DELETE /api/scope/[id])","BOQ / scope-of-work with revisions, compare, import and budget-% edits per line."
"work-progress","Work Progress","/work-progress","/work-progress","src/components/WorkProgressPageClient.tsx (+ WorkProgressReportClient.tsx, WorkProgressAnalyticalClient.tsx)","NONE (in-page entry tab)","src/components/WorkProgressFormClient.tsx","/work-progress/[id]","src/components/WorkProgressObjectClient.tsx","/api/work-progress (GET,POST); /api/work-progress/[id] (GET,PATCH,DELETE)","TRUE","Record progress -> ?tab=entry&focus=activity; Run WPR -> ?tab=report&run=1; Export CSV -> ?tab=report&run=1&export=csv; Analytics -> ?tab=analytics","PARTIAL (no /new route; WorkProgressFormClient POSTs /api/work-progress from the entry tab)","TRUE (GET list + GET [id])","TRUE (onEdit= + PATCH exported)","TRUE (onDelete= + fetch method DELETE + DELETE exported)","Daily progress capture against BOQ activities, plus the WPR report, CSV/PDF/XLSX export and analytics tabs."
"labour","Manpower","/labour","/labour","src/components/LabourClient.tsx","/labour/new","src/components/RosterCreateClient.tsx","/labour/[id]","src/components/RosterObjectClient.tsx","/api/labour-roster (GET,POST); /api/labour-roster/[id] (GET,PATCH); /api/attendance (GET,POST)","TRUE","Mark attendance -> /labour/attendance/new; New worker -> /labour/new; Open -> /labour","TRUE (POST /api/labour-roster + /labour/new)","TRUE (GET list + GET [id])","TRUE (onEdit= + PATCH exported)","PARTIAL (onDelete= is labelled Deactivate and sets isActive=false via PATCH; no DELETE exported)","Worker roster and daily attendance marking, with an attendance summary strip and roster import."
"materials","Material","/materials","/materials, /site-materials","src/components/MaterialsClient.tsx","/materials/new","src/components/MaterialCreateClient.tsx","/materials/[id]","src/components/MaterialObjectClient.tsx","/api/materials (GET,POST); /api/materials/master/[id] (GET,PATCH); /api/materials/issues (GET,POST)","TRUE","Record receipt -> /materials/receipts/new; New material -> /materials/new; Open -> /materials","TRUE (POST /api/materials + /materials/new)","TRUE (GET list + GET [id])","TRUE (onEdit= + PATCH on /api/materials/master/[id])","PARTIAL (onDelete= deactivates via PATCH; no DELETE exported. /site-materials redirects here)","Site material master, receipts and issues with a backend-backed cost report; /site-materials redirects in."
"budgets","Budget","/budgets","/budgets, /finance/budgets","src/components/BudgetsClient.tsx (rendered by /finance/budgets; /budgets is a redirect)","/finance/budgets/new","src/components/BudgetCreateClient.tsx","/finance/budgets/[id]","src/components/BudgetObjectClient.tsx","/api/project-budgets (GET,POST); /api/project-budgets/[id] (GET,PATCH); .../cancel (POST)","TRUE","New finance budget -> /finance/budgets/new; Open -> /budgets (redirects to /finance/budgets, query preserved)","TRUE (POST /api/project-budgets + /finance/budgets/new)","TRUE (GET list + GET [id])","TRUE (onEdit= on draft + PATCH exported)","PARTIAL (onDelete= runs the cancel action via POST .../cancel; no DELETE exported)","ERP fiscal-year budget ledger (company/fiscal-year/cost-centre); all three /budgets/* routes are redirect shims into /finance/budgets/*."
