"Component_File_Path","Kind","Module","Renders_Screen_Type","Key_Props","Purpose"
"src/components/AccessReviewCreateClient.tsx","CREATE","GRC / Access Review","kit ObjectScreen","(none)","/grc/access-review/new. Replaced GrcClient's 'Open an Access Review Cycle' Dialog with a real create screen."
"src/components/AccessReviewCycleObjectClient.tsx","OBJECT","GRC / Access Review","kit ObjectScreen","cycleId","/grc/access-review/[id]. Routed object page over the existing /api/access-review?cycleId= read; Confirm/Revoke stay real inline actions."
"src/components/AccountingClient.tsx","LIST","Accounting","none (bespoke)","initialTab","/accounting. 6-tab surface over VERIDIAN GL: finance dashboard, paginated General Ledger, trial balance / P&L / balance sheet, companies."
"src/components/ApplicationCreateClient.tsx","CREATE","Recruitment / Applications","kit ObjectScreen","(none)","/recruitment/applications/new. Both fields required and list-backed (R80 GAP-8). Replaced RecruitmentClient's dialog."
"src/components/ApplicationObjectClient.tsx","OBJECT","Recruitment / Applications","kit ObjectScreen","applicationId","/recruitment/applications/[id]. Replaced a 3-level Dialog nest; surfaces offerAmount on the 'offer' transition."
"src/components/AppSidebar.tsx","SHELL","App shell / navigation","none (kit shell)","middleColumnToggle","Left nav sections/items keyed into the i18n Nav namespace. Exports NavItem, NavSection, VISIBLE_NAV_SECTIONS, MobileSidebarTrigger."
"src/components/AppTopbar.tsx","SHELL","App shell","none (kit shell AppHeader)","sidebarCollapsed, onToggleSidebar","Top bar mounted once from (app)/layout as AppShellFrame's header; real Supabase sign-out, org email/name, notification slot."
"src/components/AsOfStamp.tsx","WIDGET","Shared / prefetch","n/a","at","Stamp on rows served from a speculative prefetch; renders nothing once the live read lands (asOf goes null)."
"src/components/AttendanceCreateClient.tsx","CREATE","Labour / Attendance","local CreateScreen","projectId, initialDate","/labour/attendance/new. Single-worker attendance; write-once row, dailyCost computed server-side from the roster rate."
"src/components/AttendanceSheetClient.tsx","LIST","Labour / Attendance","none (bespoke)","projectId, projectName, attendanceDate","/labour/attendance/[date]. Marks a whole roster in one save instead of one POST per worker."
"src/components/AttendanceSummaryPanel.tsx","WIDGET","Labour","none (bespoke)","projectId, date","Headcount and cost by trade for one date, rendered between the Manpower tab bar and the attendance table."
"src/components/AttendanceSummaryStrip.tsx","WIDGET","Labour","none (bespoke)","summary, errorMessage, currencyCode","'Who turned up today' strip above the Manpower tabs, in its own Suspense boundary. Also exports AttendanceSummaryStripSkeleton."
"src/components/AuditEngagementCreateClient.tsx","CREATE","GRC / Audits","kit ObjectScreen","(none)","/grc/audits/new plan-audit create screen. No object page: no getAuditEngagement/updateAuditEngagement server-side."
"src/components/AuditFindingCreateClient.tsx","CREATE","GRC / Findings","kit ObjectScreen","(none)","/grc/findings/new record-finding create screen. No object page: findings are only fetched nested inside an engagement."
"src/components/BoqCategoriesCard.tsx","WIDGET","Settings / BOQ categories","none (bespoke)","canEdit","Org-level BOQ category list, editable on /settings; the two real rules are enforced server-side, this card only surfaces them."
"src/components/BoqCategorySelect.tsx","FORM","Scope (BOQ)","n/a","value, categories, failed, onChange, onAddNew, showLabel, ariaLabel","Labelled Category control on a BOQ line row, shared by ScopeCreateClient and ScopeReviseClient. Exports useBoqCategories."
"src/components/BoqLineGrid.tsx","FORM","Scope (BOQ)","n/a","lines, categories, categoriesFailed, onUpdate, onAddCategory, onRemove, onAdd","The single BOQ line grid (visible headers, field messages, Remove wording, category select) used by both BOQ create and revise. Exports BOQ_GRID_HELP."
"src/components/BoqLinePicker.tsx","FORM","Scope (BOQ)","n/a","projectId, boqId, value, onChange, ariaLabel, className","Searchable BOQ-line picker replacing a flat native select of every line; distinguishes parent lines that cannot be recorded against."
"src/components/BudgetActualClient.tsx","LIST","Scope / Budget","none (bespoke)","projectId","Revenue | Budget | Actual | Variance | % used table with a scope-wise / category-wise toggle."
"src/components/BudgetAnalyticalClient.tsx","OTHER","Scope / Budget","kit AnalyticalScreen","projectId","Editable budget/vendor/variance analytical screen; replaced the read-only CostVarianceAnalyticalClient."
"src/components/BudgetCreateClient.tsx","CREATE","Finance / Budgets","local CreateScreen","initialLookups, veridianOrigin","/finance/budgets/new. Live VERIDIAN lookups plus honest blocked-reason copy when fiscal years / chart of accounts are unprovisioned."
"src/components/BudgetObjectClient.tsx","OBJECT","Finance / Budgets","kit ObjectScreen","budgetId","/finance/budgets/[id]. Line items, submit draft, Budget vs Actual; Delete maps to the real cancelBudget() lifecycle end-state."
"src/components/BudgetsClient.tsx","LIST","Finance / Budgets","kit ListScreen + ScreenFrame","registryColumns, companies","Registry-driven Budgets list with hardcoded fallback columns when the budget.list screen_definitions row resolves null."
"src/components/CandidateCreateClient.tsx","CREATE","Recruitment / Candidates","kit ObjectScreen","(none)","/recruitment/candidates/new. Simple master data; no object page because no get/update function exists."
"src/components/CategoryDistributionCharts.tsx","WIDGET","Analytics / BOQ categories","n/a","categories, projectId, money, drillTo | companyId, projectId, drillTo, ariaLabel","Category distribution bars with drill-through (the capped pie was removed). Exports the pure view and a fetching wrapper."
"src/components/ChangeOrderCreateClient.tsx","CREATE","Change Orders","kit ObjectScreen","projectId","/change-orders/new. Replaced ChangeOrdersClient's 'New Change Order' Dialog."
"src/components/ChangeOrderObjectClient.tsx","OBJECT","Change Orders","kit ObjectScreen","changeOrderId","/change-orders/[id]. Shows 'reason', which the list never did. No Edit/Delete: no update/delete exists server-side."
"src/components/ChangeOrdersClient.tsx","LIST","Change Orders","none (bespoke shadcn Table)","projectId, registryColumns","Registry-driven change-order list with a bespoke live e-signature Actions column (SignatureStatusCell) that has no registry equivalent."
"src/components/company-scope.tsx","FORM","Shared / ERP company scope","n/a","companies, scope, onChange, showConsolidateToggle","Company selector + consolidate toggle reused by Accounting, Reports, Budgets, Sales-CRM and HR. Exports companyScopeQuery, companyIdParam."
"src/components/CompanyCreateClient.tsx","CREATE","Accounting / Companies","kit ObjectScreen","(none)","/accounting/companies/new. Replaced the CompaniesPanel 'New Company / Office' Dialog."
"src/components/CopilotClient.tsx","OTHER","AI Copilot","none (bespoke)","projectId","/copilot landing: one-click access to the 7 construction tools with results shown inline. Deliberately not a second chat UI."
"src/components/CreatedReceipt.tsx","WIDGET","Shared / create flow","n/a","objectLabel, search","Persistent 'Created {object} {id}' footer receipt after a create, replacing toast.success. Exports CREATED_PARAM, createdHref, useCreatedMessage."
"src/components/CreateFormSkeleton.tsx","WIDGET","Shared / create routes","n/a","fields | message, breadcrumb, title, backHref, backLabel","Skeleton a create route paints while resolving which project it is for. Also exports CreateProjectMissing."
"src/components/CreateRouteError.tsx","WIDGET","Shared / create routes","none (bespoke)","module, moduleHref, objectLabel, error, reset","The error.tsx body for create routes; replaces a bare 'Internal Server Error' card with a framed, actionable screen."
"src/components/CreateScreenUnavailable.tsx","WIDGET","Shared / create routes","KitObjectScreen fork","breadcrumb, title, backHref, backLabel, message","Framed 'no project to write against' state shared by the 23 create routes, keeping breadcrumb/title/Back."
"src/components/CreditNoteCreateClient.tsx","CREATE","Invoices / Credit Notes","kit ObjectScreen","(none)","/invoices/credit-notes/new. R80 GAP-7 made it genuinely multi-line (was one hardcoded item with quantity nailed to 1)."
"src/components/CreditNoteObjectClient.tsx","OBJECT","Invoices / Credit Notes","kit ObjectScreen","noteId","/invoices/credit-notes/[id]. Line items plus Submit -- submitSalesCreditNote() had existed with no route at all."
"src/components/CurrencyNotSetNotice.tsx","WIDGET","Shared / currency","n/a","currencySet, loaded, className","One footer notice 'Currency not set -> Settings'; bare numbers get a warning glyph rather than a guessed currency code."
"src/components/CustomerCreateClient.tsx","CREATE","Customers","kit ObjectScreen","(none)","/customers/new. Replaced CustomersClient's 'New Customer' Dialog."
"src/components/CustomerOverviewClient.tsx","OBJECT","Customers","KitObjectScreen fork","customerId","/customers/[id]. Wraps the existing Customer 360 aggregation in a real object page with Back / Edit / Deactivate."
"src/components/CustomersClient.tsx","LIST","Customers","none (bespoke)","(none)","/customers list. Rows route to the 360 object page; New Customer routes to a create screen. GSTIN handled per Priority 19 WS-C."
"src/components/DashboardHierarchyClient.tsx","OTHER","Dashboard / Hierarchy","none (bespoke)","(none)","/dashboard/hierarchy company + department roll-up with KPI cards and a project table; EmptyReason explains an empty company list."
"src/components/DashboardHomeView.tsx","OTHER","Dashboard (home)","none (bespoke; kit ScreenColumn type)","userName, data, currencies, errorMessage, registryColumns, from, to, today, permitsExpiring","Home dashboard: KPI doors, portfolio chart groups, clickable Projects table. Client component because rows became clickable."
"src/components/DashboardKpiTile.tsx","WIDGET","Dashboard","local KpiCard fork (screens/KpiCard.tsx)","state, error, size, label, bare, ...card","One KPI tile with three honest states so tiles stop waiting on the slowest of six calls."
"src/components/DashboardProjectClient.tsx","OTHER","Dashboard / Project","local DashboardScreen fork (screens/DashboardScreen.tsx)","projectId, labels","Per-project dashboard, registry-driven per DASHBOARD.PROJECT; every KPI is a door carrying its filters through."
"src/components/DashboardSpeculation.tsx","WIDGET","Dashboard","n/a","fallbackProjectId","Idle-time prefetch of Scope and Work Progress from the dashboard, under the prefetch-store guards (idle, 4g/unknown)."
"src/components/DataLoadError.tsx","WIDGET","Shared / errors","n/a","messages, onRetry","Client-side load-failure card with Retry -- the client half of what ProjectLoadError does for server components."
"src/components/DeleteConfirmation.tsx","WIDGET","Shared / object pages","n/a","objectLabel, identifier, extra, verb, run | sentence, confirmLabel, running, onConfirm, onCancel","Inline delete confirm naming the blast radius. Exports useDeleteConfirmation and DeleteConfirmationCard."
"src/components/DepartmentCreateClient.tsx","CREATE","Employees / Departments","kit ObjectScreen","(none)","/employees/departments/new. Create-only: hr-department has no update/delete backend."
"src/components/DesignStudioCostAnalysisClient.tsx","OTHER","Design Studio","kit ScreenFrame","projectId, projectName","/design-studio/cost-analysis. Budget|Actual|Variance|% with Category/Designer/Project chips; renders VERIDIAN's report, computes nothing itself."
