WO_Ref,R_Number,Title,Status,Authored_On,Body_State,Body_Location
"AUDIT-R60-R67",,"Audit Work Order R60 to R67","SUPERSEDED","Thu Sep 03 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 3 Sep"
"IMG-CLOSURE-AUDIT",,"Merged IMG closure + R60-R67 audit","SUPERSEDED","Thu Sep 03 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 3 Sep"
"IMG-S1",,"IMG Work Order Session 1 - gap analysis and design record only","EXECUTED","Thu Sep 03 2026 05:30:00 GMT+0530 (India Standard Time)","RECOVERED (19691 bytes)","laptop C:UsersDellDocumentsIMG-WORK-ORDER-SESSION-1.md (19813 B, size-matches the work order's own manifest); also Google Drive 1JfBCjSOBdd9LfmEozsE2-Mb2um4UmYZUrORPjkL6r7k"
"IMG-S2",,"IMG Work Order Session 2 - verification only","SUPERSEDED","Thu Sep 03 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 3 Sep"
"MIGRATION-DEBT",,"platform.work_orders table owes a migration file","CLOSED","Sun Sep 06 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","see notes column for full DDL"
"NUMBERING-GAPS-R1-R69",,"Explanation: why there are no rows for most of R1..R80","UNRECOVERABLE","Tue Sep 08 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","R81 D1-03 / D1-06. Scan evidence: C:\ct\_r81\R81_STATE.md."
"RECOVERY-PLAN-18AUG",,"VERIDIAN - Recovery plan & work orders for Claude Code (18 Aug 2026)","EXECUTED","Tue Aug 18 2026 05:30:00 GMT+0530 (India Standard Time)","RECOVERED (17623 bytes)","Google Drive 1zhMjDicvbvlcJNC5t8e_bgXqvzd4Xqr2juc2kD8K4dI (Docs export); local copy C:\ct\_r81\drive\04_RECOVERY-PLAN-AND-WORK-ORDERS-18AUG.txt"
"STANDING-PROMPT",,"Standing session prompt (generic, not a work order)","STANDING","Fri Sep 04 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 4 Sep; also downloadable"
"R70-COMPLETE","70","R70 Complete - 11 phases, 12 checkpoints","EXECUTED","Fri Sep 04 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 4 Sep"
"R70-PART-2","70","R70 Part 2 - connect surface, privacy, compliance (first version)","SUPERSEDED","Fri Sep 04 2026 05:30:00 GMT+0530 (India Standard Time)","NULL - not recovered","chat transcript 4 Sep"
