"Flow_Id","Persona","Goal","Entry_Point_Route","Steps","Screens_Touched","Data_Created","Preconditions","E2E_Spec_Path"
"F-01","Any authenticated role (owner/admin/pm/site_engineer/member/client_viewer)","Sign in to the app","/login","1. Fill #email 2. Fill #password 3. Click button[type=submit] (supabase.auth.signInWithPassword) 4. Land on /dashboard","/login, /dashboard","Supabase auth session cookies only","A seeded account exists in the org (e2e/users.ts lists 4 for 'Meridian Construction Group (E2E Test Org)')","e2e/auth.setup.ts"
"F-02","Prospective owner (POST /api/org/provision is policy 'PUBLIC' in src/lib/authz/api-write-policy.ts)","Self-serve signup that also provisions a new organisation","/signup","1. Fill #orgName 2. Fill #email 3. Fill #password (minLength 6) 4. Submit -> supabase.auth.signUp 5. App POSTs /api/org/provision 6. router.push('/dashboard')","/signup, /dashboard","organizations row + owner membership (via /api/org/provision)","No existing session","NONE (no e2e spec covers this flow)"
"F-03","ANY_ROLE (all 6 roles; /org/invites/accept)","Accept an invitation and join an existing org","/invite/[token]","1. Page GETs /api/org/invites/preview?token= 2. If logged out click 'Sign in to accept' (routes to /login?redirectTo=/invite/<token>) 3. Click 'Join <org name>' 4. POST /api/org/invites/accept","/invite/[token], /login","memberships row for the invited user","A valid, unexpired invite token issued by an org admin (F-04)","NONE (no e2e spec covers this flow)"
"F-04","ORG_ADMIN (owner/admin; /org/invites)","Invite a colleague and set their tenant role","/settings","1. Open Settings 2. Fill 'Email address' (#invite-email) 3. Pick 'Role' (#invite-role, defaults to 'member') 4. Send -> POST /api/org/invites {email, role} 5. Row appears in the invites table with its role","/settings","org invite row (email + role)","Caller's memberships.role is owner or admin","NONE (no e2e spec covers this flow)"
"F-05","Unauthenticated visitor","Confirm no in-app screen is reachable logged out","any route under src/app/(app)","1. Open a fresh context with empty storageState 2. GET each of /inventory /procurement /purchase-orders /permits /materials /vendors /labour /documents 3. Each redirects to **/login (deny-by-default gate, src/lib/authz/page-access.ts)","/login","None","None","e2e/12-member-access.spec.ts"
"F-06","member (PROJEXA memberships.role 'member', e.g. site supervisor Manoj Yadav)","Browse commercial modules without elevated privileges","/vendors","1. GET /api/organization to read own role 2. Open /vendors, count table rows vs /api/vendors 3. Open /inventory, click 'Items' tab 4. Open /procurement","/vendors, /inventory, /procurement","None (read-only)","Logged in as an account whose memberships.role is 'member'","e2e/12-member-access.spec.ts"
"F-07","PM_OR_ABOVE (owner/admin/pm; /projects)","Create a new construction project","/projects","1. Click the list header New action 2. On /projects/new pick 'Product' 3. Fill 'Project Name' 4. Optionally Description / Start Date / Target Date 5. Save 6. Redirects to /dashboard/project?projectId=<new id>","/projects, /projects/new, /dashboard/project","project record","Org has at least one selectable product (ProjectCreateClient loads it)","NONE (no e2e spec covers this flow)"
"F-08","FIELD (owner/admin/pm/site_engineer; /materials/master)","Review the project's material master","/materials?projectId=<id>","1. Open /materials with an explicit ?projectId= (bare /materials renders a 'choose a project' card) 2. Page loads GET /api/materials/master?projectId= 3. Read Material Master table 4. 'Filter' and '+ New Material' (testid materials-new) are available","/materials (tabs: Material Master, Inbound Receipts, Issues, Cost Report)","None (read-only)","A projectId is supplied in the URL or resolvable","e2e/01-materials.spec.ts"
"F-09","FIELD (owner/admin/pm/site_engineer; /materials/master)","Add a material to the project material master","/materials?projectId=<id>","1. Click '+ New Material' (testid materials-new) 2. On /materials/new fill Name, Spec, Unit, Unit Cost, Reorder level 3. Save -> POST /api/materials/master","/materials, /materials/new","material master record","Project selected","e2e/01-materials.spec.ts (asserts the entry control only, not the write)"
"F-10","FIELD (owner/admin/pm/site_engineer; /materials)","Record an inbound material receipt against a vendor","/materials?projectId=<id>","1. Go to Inbound Receipts 2. Open /materials/receipts/new ('Record Inbound Receipt') 3. Pick Material, set Received Date, Quantity, Unit Cost, Vendor, Reference (delivery note / PO no.) 4. Save -> POST /api/materials","/materials, /materials/receipts/new, /materials/receipts/[id]","inbound material receipt record","Material master rows exist (F-09); vendors exist (F-17)","NONE (no e2e spec covers this flow)"
"F-11","FIELD (owner/admin/pm/site_engineer; /materials/issues)","Issue material from stock to site against a BOQ line","/materials?projectId=<id>","1. Go to Issues 2. Open /materials/issues/new ('Issue to Site') 3. Screen loads /api/materials/master and /api/scope for pickers 4. Save -> POST /api/materials/issues","/materials, /materials/issues/new","material issue record","Material master rows exist; a BOQ/scope exists for the project","NONE (no e2e spec covers this flow)"
"F-12","Any authenticated role for read; PM_OR_ABOVE to write (/permits)","Review project permits and the expiring-soon subset","/permits?projectId=<id>","1. Open /permits?projectId= -> server-seeded list of ALL permits 2. In-page 'Filter' is a disabled affordance 3. Arrive from the Dashboard 'Permits expiring' KPI as ?withinDays=30 -> banner 'Showing permits expiring within 30 days' 4. Click 'Show all' to re-fetch the unfiltered list","/permits, /dashboard (KPI tile)","None (read-only)","Project selected via ?projectId=","e2e/02-permits.spec.ts"
"F-13","PM_OR_ABOVE (owner/admin/pm; /permits)","Register a new permit for the project","/permits?projectId=<id>","1. Click '+ New' 2. Lands on /permits/new?projectId= titled 'New Permit' (a page, not a modal) 3. Fill Permit name, Permit number, Issuing authority, Issue date, End date, attach Permit PDF 4. Save -> POST /api/permits","/permits, /permits/new, /permits/[id]","permit record (+ attached PDF)","Project selected","e2e/02-permits.spec.ts (covers navigation to the create screen; not the write)"
"F-14","FIELD (owner/admin/pm/site_engineer; /documents)","Find project documents by category","/documents?projectId=<id>","1. Open /documents?projectId= (list is server-seeded) 2. Click 'Filter' to reveal the Category select (#documents-filter-category, default 'All categories') 3. Pick drawing / contract / site photo / permit 4. Each choice re-fetches with &category=<value>; empty result reads 'No <category> documents for <project name>.'","/documents, /documents/[id]","None (read-only)","Project selected; seeded documents split 7/7/7/4 across the 4 seeded projects","e2e/03-documents.spec.ts"
"F-15","FIELD (owner/admin/pm/site_engineer; /documents)","Upload a document against a project","/documents?projectId=<id>","1. Click 'New Document' 2. router.push to /documents/upload?projectId= titled 'New Document' (dedicated route, no role=dialog) 3. Complete the form 4. Click 'Save' -> POST /api/documents","/documents, /documents/upload","document record + file","Project selected","e2e/03-documents.spec.ts (covers navigation and the Save control; not the write)"
"F-16","PM_OR_ABOVE (owner/admin/pm; /vendors)","Review the org-wide vendor master","/vendors","1. Open /vendors (org-wide, no project needed) 2. Table row count matches GET /api/vendors 3. GST column renders only when /api/organization reports country 'IN'","/vendors","None (read-only)","None beyond login; seeded org has >=10 vendors","e2e/04-vendors.spec.ts"
"F-17","PM_OR_ABOVE (owner/admin/pm; /vendors)","Onboard a new vendor","/vendors","1. Click 'New Vendor' 2. Lands on /vendors/new (dedicated route) 3. Fill Vendor Name; optionally Type, Trade, GST, PAN, Payment Terms (days), Credit Limit 4. Click 'Save' -> POST /api/vendors 5. Redirects to /vendors/<id> whose h1 is the vendor name","/vendors, /vendors/new, /vendors/[id]","vendor record","Org country 'IN' for the GST field to render","e2e/04-vendors.spec.ts"
"F-18","Any authenticated role for read","Check stock items, balances and warehouses","/inventory","1. Open /inventory 2. Click the 'Items' tab (count matches /api/inventory/items) 3. Click 'Stock Balance' (matches /api/inventory/stock-balance) 4. Click 'Warehouses' (matches /api/inventory/warehouses)","/inventory (tabs: Stock Balance, Warehouses, Items)","None (read-only)","None beyond login","e2e/05-inventory.spec.ts"
"F-19","PM_OR_ABOVE for warehouse/item; FIELD for the stock entry (/inventory/warehouses, /inventory/items, /inventory/stock-entries)","Stand up a warehouse, add a stock item, receive stock into it","/inventory","1. 'New Warehouse' -> /inventory/warehouses/new, fill 'Warehouse Name', Save -> POST /api/inventory/warehouses 2. 'New Item' -> 'New Stock Item', fill Item Code, Item Name, Unit of Measure, Save -> POST /api/inventory/items 3. 'Record Stock Movement', pick Item + Warehouse, Quantity 50, Rate 120, Save -> POST /api/inventory/stock-entries 4. Stock Balance tab shows the new qty","/inventory, /inventory/warehouses/new, /inventory/items/new, /inventory/stock-entries/new","warehouse, stock item, stock entry, updated stock balance","None beyond login and the role gate","e2e/05-inventory.spec.ts"
