"Layer","Component","File_Path","Input","Output","Logic_Summary","Live_Or_Dead","Model_Or_Provider","Evidence"
"L0 Segmentation","segment() + rejoinCandidate()","ct/src/lib/pipeline/segment.ts","rawInput string","Segment[] {text, orderingHint}","Pure regex/typography split. Cascading tiers: sentence terminators, guarded coordinating conjunctions (split only if next fragment starts with a KNOWN_VERB or item code), semicolons, newlines, bullets. MAX_SEGMENTS truncation sets flagged.","LIVE - imported by run-submission.ts:21, dry-run.ts:24, classify-only.ts:13","None (deterministic, 0 model calls)","segment.ts:37-38 'This file must never call an LLM.'; KNOWN_VERBS at :85 (12 verbs)"
"L0 Tier 1","isAcknowledgement() / ACKNOWLEDGEMENTS set","ct/src/lib/pipeline/classify.ts","segment text","boolean -> {kind:'chat'}","Closed 34-entry set (English + romanised Hindi: thanks/ok/theek hai/haan...) compared against normaliseForMatch(text). Only-acknowledgement message never becomes a task and never a gap.","LIVE - called at level0.ts:272 (first rung of classifyL0)","None (deterministic)","classify.ts:78-87 ACKNOWLEDGEMENTS; :89 normaliseForMatch; :93 isAcknowledgement"
"L0 Tier 2","L0Repo.findPhraseMapMatch (compliance.phrase_map)","ct/src/lib/pipeline/level0.ts","orgId + normalised phrase","{functionId, fixedParams} | null","EXACT STRING MATCH ONLY. Not similarity, not vector. normaliseForMatch = trim/lowercase/strip trailing .!?/collapse whitespace, then equality lookup on phrase_map.normalised_phrase.","LIVE - classifyL0 calls it at level0.ts:274; repo impl repos.ts:30","None (DB lookup, 0 model calls)","level0.ts:22-24 'EXACT match only (M26)'; repos.ts:30-31 drizzle eq() on normalisedPhrase; live count phrase_map=186"
"L0 Tier 3","tryStructuralMatch()","ct/src/lib/pipeline/level0.ts","segment text","{functionId:'record_work_progress', params:{itemCode,percent}} | null","Regex only: PERCENT_TOKEN extracts NN%/NN percent, percent is then blanked out of the string, then ITEM_CODE_LETTER_LED else ITEM_CODE_NUMERIC finds the BOQ code. Resolves to exactly one hardcoded function id.","LIVE - classifyL0 calls it at level0.ts:279","None (deterministic regex)","level0.ts:93-99 patterns; :105 STRUCTURAL_FUNCTION_ID; :107 tryStructuralMatch"
"L0 Tier 3b","tryTimesheetMatch()","ct/src/lib/pipeline/level0.ts","segment text + now: Date","{functionId:'record_timesheet', params:{hours,spentOn,task}, missingParams} | null","Regex: HOURS_TOKEN + a closed TIME_LOG_VERB list + a required ' on ' clause naming the task; ISO date or today/yesterday resolves spentOn. No 'on' clause = no match (falls to L1). Missing slots computed from function-registry.","LIVE - classifyL0 calls it at level0.ts:284","None (deterministic regex)","level0.ts:153-156 tokens; :163 tryTimesheetMatch; :191 'if (onIndex < 0) return null'"
"L0 Tier 4","tryLastActionRecall() / L0Repo.findLastPillUse","ct/src/lib/pipeline/level0.ts","orgId+userId, segment with a percent but no code","{functionId, params:{...last.params, percent}} | null","Per-USER recall of the most recent compliance.pill_usage row, WRITE functions only, overriding just the new percent. Not fuzzy: no prior write pill = miss.","LIVE - classifyL0 calls it at level0.ts:295; repo impl repos.ts:46","None (DB lookup)","level0.ts:229-255; repos.ts:46-48 orderBy desc(pillUsage.lastUsedAt); live pill_usage=23"
"L0 Ladder","classifyL0()","ct/src/lib/pipeline/level0.ts","segmentText, {orgId,userId,now}, L0Repo","{kind:'chat'} | {kind:'match',source} | {kind:'miss'}","Ordered first-hit-wins ladder: acknowledgement -> phrase_map exact -> structural -> timesheet -> last-action -> miss. A miss is what escalates to L1. NO fuzzy matching anywhere in the file.","LIVE - run-submission.ts:880-881 resolveAll, dry-run.ts:198, classify-only.ts","None (deterministic, $0)","level0.ts:257-301; header :1-3 'STILL NO AI: every tier here is deterministic software, $0'"
"L0 Cache Key","computeReuseCacheKey()","ct/src/lib/pipeline/reuse-cache.ts","segment text + projectId","sha256 hex string","sha256('<projectId> <normaliseForMatch(text)>'). A HASH EQUALITY key, not an embedding. Project id folded in so the same phrase against a different project is a different key.","LIVE - called by resolveMissesWithReuseCache at reuse-cache.ts:107","None (crypto.createHash)","reuse-cache.ts:67-70"
"L0 Cache","resolveMissesWithReuseCache()","ct/src/lib/pipeline/reuse-cache.ts","L0-miss texts, Level1Context, ReuseCacheRepo","{resolutions, reasons, modelCalls, cacheHits}","Sits at the L0-miss -> L1 boundary. Looks up every miss in compliance.reuse_cache by hash; a hit is returned as source:'reuse_cache', level:0 with zero model calls; only true cache misses go to runLevel1, whose successes are then written back.","LIVE - run-submission.ts:886 and :948 (resolveAll), dry-run.ts:217","None on a hit; delegates to L1 provider on a miss","reuse-cache.ts:97-149; :123 level:0; live compliance.reuse_cache = 0 rows (never served a request)"
"L0 Repos","makeL0Repo / makeReuseCacheRepo / logGapRow / makeChainRepo","ct/src/lib/pipeline/repos.ts","orgId, userId","Drizzle-backed L0Repo, ReuseCacheRepo, ChainRepo","The only DB access for the L0 tiers, behind interfaces so level0/reuse-cache stay unit-testable. logGapRow inserts compliance.gap_log for unresolved segments.","LIVE - run-submission.ts:23, classify-only.ts:19","None (DB only)","repos.ts:12 schema imports; :18 makeL0Repo; :108 makeReuseCacheRepo; :138 logGapRow; live gap_log=8"
