Gap_ID,Stream,Requirement,Location,Whats_Missing,Why_It_Matters,Verdict,Blocks_Launch,Fault
"G-01","AI","AI usable by end users at the ruled default","ct/src/lib/ai/adapter.ts:65-92","A lawful provider path. Claude Code subscription auth may not serve other people - the file says so itself at :80","Without it the AI layer refuses for every user INCLUDING the owner, because the guard fires before the identity check and AI_PROVIDER defaults to the restricted provider","still_real","TRUE","R81_F05"
"G-02","AI","Whether the AI acted must be recoverable","ct/src/lib/pipeline/run-submission.ts:1020","Any persisted evidence a model touched a business write. executor is hardcoded to software; the ai value is never assigned","The 95/5 split CANNOT be measured by counting model calls - 0 calls is exactly what a switched-off AI produces, so success and absence read identically","still_real","TRUE","R81_F21"
"G-03","Requirements","A cited test must prove the requirement","platform.sumeet_requirements + citation gate","A CI-outcome condition in the gate. Six requirements cite a spec that does not execute","A register quoted as evidence must not say true where its own proof does not run. 51 is not defensible; 42 is","still_real","TRUE",""
"G-04","Security","Every API route must call requireAuth()","ct/scripts/check-route-auth-guard.mjs","Nothing - CLOSED by R81. The check existed but was never wired AND would not have worked","A vacuously-green check is worse than none, because it is quoted as proof","already_closed","FALSE","R81_F29"
"G-05","Security","Tenant data must not leak between orgs","projexa/src/lib/veridian-client.ts:842-846","An enforced guarantee. Next caches on URL+method+body NOT headers; held shut only by cache:no-store repeated at four call sites","Blast radius is every proxied read for every tenant, and the trigger is an ordinary performance edit","still_real","TRUE","R81_F28"
"G-06","Data integrity","Atomic financial operations must not split","ct/src/lib/db/tenant-scoped.ts + 11 sites","Either the sites fixed or the production behaviour changed - the latter is an owner decision","assertNotNested THROWS in dev but only warns in PRODUCTION. The loud dev failure was the SAFE manifestation","still_real","TRUE","R81_F34"
"G-07","AI","The AI audit row required by the constitution","ct/src/lib/services/orchestra-execution-logger.ts","The audit row. Called inside seven live transactions, it degrades to a skipped log line and swallows its own failure","An AI action completing with no audit record is an unattributable AI action","still_real","TRUE","R81_F35"
"G-08","Security","A locked-out user must have a recovery path","BOTH repos - no resetPasswordForEmail anywhere","Password reset, in either product. forgot-password is a 17-line redirect to /login","A stub that redirects reads as a working recovery path to anyone auditing the surface. Worst for a sole owner","still_real","TRUE","R81_F06"
"G-09","Security","Four of six roles have never been exercised","projexa/src/lib/authz/roles.ts","Accounts for admin, pm, site_engineer, client_viewer and a screen sweep under each","Four untested roles are four untested authorization surfaces","still_real","FALSE","R81_F12"
"G-10","Performance","Login-to-dashboard must meet its 400ms target","projexa /dashboard and its five API calls","The optimisation aimed at the RIGHT code. Warm median 3716-3907ms, ~9x over target","The prescribed remedy targets a function NOT on this route - doing it would move nothing while risking financial-redaction code","still_real","FALSE","R81_F16"
"G-11","Security","A connector scope gate must actually gate","ct connector-data-service.ts:117,211","The gate on the live path. executeGatedConnectorAction has a full test suite and ZERO production call sites","A security control with green tests and no call sites is worse than an absent one - the tests are read as proof it is enforced","still_real","TRUE","R81_F23"
"G-12","IMG","IMG must be measurable before it can be built on","platform.img_spec + compliance.embeddings","Content, a usable vector substrate, an entitled org, and a proof mechanism for the 37 rows that have none","Addendum C builds the IMG on this. An IMG on a refusing L1 and an unmatchable vector store measures nothing","still_real","FALSE","R81_F18"
"G-13","Data integrity","Append-only guarantees must bind every role","compliance memory tables + graph_edge","Guards binding the roles a script or MCP session actually uses, and an UPDATE guard on graph_edge","memory_versions IS the audit trail. A guarantee holding for one role of three is not a guarantee","still_real","FALSE","R81_F20"
"G-14","Product","A resource that lists must be openable","ct procurement/purchase-orders/[id]","A working single-resource read. It served the same ids earlier the same day, so it is a regression","It blocks VERIFICATION, not just reading - a broken instrument masquerades as a broken product","still_real","FALSE","R81_F27"
"G-15","Requirements","A requirement must not be satisfied by hiding","projexa veri-chat-context.tsx:126-143","An assertion that every rendered pill is dispatchable, so the requirement is enforced by a test not a flag","A requirement met by hiding the failure is met until someone unhides it. One boolean re-breaks R-81 silently","still_real","FALSE","R81_F32"
"G-16","Product","Entitlement state must not silently render wrong","ct settings/page.tsx + ~14 siblings","The server-side race fixed, or the retry helper applied everywhere instead of at one call site","On a raced load those pages hide modules as not-enabled and null the role, with no error and no retry","still_real","FALSE","R81_F30"
"G-17","Build integrity","Migrations applied must exist on a freshly built database","drizzle/meta/_journal.json vs supabase_migrations","Journal entries for 9 DEBT files and a reconciliation between the two ledgers","If environment 1 schema cannot be rebuilt, every green test on it proves less than it appears to","REAL - partially fixed","FALSE","R81_F37/F38"
"G-18","Security","Audit registers must not be writable by the audited process","platform.work_orders, platform.r81_gap","Nothing - closed in drizzle/0573","An audit trail the audited process can silently rewrite is not an audit trail","REAL - CLOSED","FALSE","R81_F39"
"G-19","Requirements","R-50 project value must match BOQ total","ct construction-dashboard-service.ts:159-163","An OWNER DECISION - withdraw R-50 as superseded, or overturn the standing ruling","Code deliberately implements the opposite on a recorded owner ruling. Reconciling them would reintroduce the R67 D-62 three-money-stories defect","REAL - reopened to OPEN","TRUE",""
"G-20","Requirements","Twelve BLOCKED requirements measure the environment not the product","platform.sumeet_requirements","A Playwright spec per requirement bound to environment 1 and green in CI","BLOCKED looks recorded from runs against paused Vercel, so the ledger understates the product","REAL but NOT promoted","FALSE",""
