"Area","Step_Or_Surface","File_Path","Trigger","Behaviour","Failure_Mode","Gap_Or_Risk"
"A - Provisioning","Step 1: Signup form submit (orgName + email + password)","C:\ct\projexa\src\app\signup\page.tsx","User submits the signup form at /signup","handleSubmit() calls supabase.auth.signUp({email,password,options:{emailRedirectTo:`${window.location.origin}/auth/callback`}}). Password minLength=6 enforced client-side only via the Input attribute.","signUpError renders inline via setError(signUpError.message); loading resets, no retry, no logging.","Password policy is a client-side minLength=6 only; no strength/complexity rule is enforced in this file. orgName is not validated beyond HTML `required`."
"A - Provisioning","Step 1a: emailRedirectTo must point at /auth/callback","C:\ct\projexa\src\app\signup\page.tsx","Supabase sends the confirmation email","R48_SIGNUP_UNCOMPLETABLE_01 comment: without emailRedirectTo the link falls back to the Supabase project's Site URL and the credential is dropped silently.","If the Supabase redirect allowlist does not contain the deployment origin, Supabase rejects the redirect and the user lands nowhere useful.","The allowlist is Supabase-project config, not in this repo. UNKNOWN whether production origins are allowlisted. Not verifiable from the codebase."
"A - Provisioning","Step 1b: No-session branch (email confirmation required)","C:\ct\projexa\src\app\signup\page.tsx","supabase.auth.signUp() returns data.session === null","Stashes the org name in browser localStorage under key `projexa_pending_org_name`, shows a 'check your email' card, and defers all org creation.","If the user confirms on a different device/browser, or clears site data, or uses private browsing, the pending org name is gone forever.","HIGH: org identity is carried in localStorage, not server state. A user who confirms email on their phone gets an authenticated account with NO organization and no way to name one - every API route then answers 'No organization'."
"A - Provisioning","Step 2: POST /api/org/provision - the only place PROJEXA creates an org row","C:\ct\projexa\src\app\api\org\provision\route.ts","fetch('/api/org/provision',{method:'POST',body:{orgName}}) from signup, login, or auth/callback","Wrapped in withTiming('POST'). Requires body.orgName (trimmed, non-empty) else 400 'orgName is required'.","Missing/blank orgName -> 400. Malformed JSON -> req.json().catch(()=>null) -> orgName undefined -> 400.","No length cap, no uniqueness check, and no character validation on orgName beyond trim."
"A - Provisioning","Step 2a: Caller authentication","C:\ct\projexa\src\app\api\org\provision\route.ts","Any POST to /api/org/provision","createClient() + getClaimsWithRetry(supabase); userId = data.claims.sub. No requireAuth()/requireRole() - the caller by definition has no org yet.","error || !data?.claims -> 401 Unauthorized.","Any authenticated Supabase user can provision an org and thereby mint a real VERIDIAN tenant. No rate limit on the PROJEXA side (only the backend's per-application 20/min)."
"A - Provisioning","Step 2b: Idempotency guard (memberships lookup)","C:\ct\projexa\src\app\api\org\provision\route.ts","User already has any memberships row","Returns {organizationId, alreadyProvisioned:true, veridianConnected:<bool>} and, when veridianConnected is false, adds {repairRequired:true, repairPath:'/api/org/repair'}.","R48 UAT note in-file: this used to answer a flat alreadyProvisioned:true, which hid the half-provisioned state entirely.","Guard is 'has ANY membership', not 'has a membership in a healthy org'. An invitee who accepted an invite into someone else's org can never provision their own."
"A - Provisioning","Step 3: provisionVeridianOrg() - platform key precondition","C:\ct\projexa\src\lib\veridian-client.ts","provision or repair route calls provisionVeridianOrg()","Reads process.env.VERIDIAN_PLATFORM_APPLICATION_KEY. If unset, throws VeridianApiError('VERIDIAN_PLATFORM_APPLICATION_KEY is not configured -- cannot provision a new VERIDIAN org for this signup', 500).","Every signup fails with a 500-derived message; no PROJEXA rows are written (ordering is VERIDIAN-first by design).","Single env var is a hard single point of failure for ALL customer onboarding. Its absence is only discoverable at signup time - no startup check, no health endpoint reads it."
"A - Provisioning","Step 3a: provisionVeridianOrg() - request shape","C:\ct\projexa\src\lib\veridian-client.ts","customerOrgName present","POST to `${VERIDIAN_API_ROOT}/platform/provision-org` with Authorization: Bearer <platformKey>, Content-Type: application/json, cache:'no-store'. Body: {customerOrgName, country?, primaryCurrency?} - optional keys omitted entirely when absent.","!res.ok -> throwForResponse(res, durationMs). Response missing organisationId or apiKey -> VeridianApiError('VERIDIAN provision-org returned an unexpected response shape', 502).","VERIDIAN_API_ROOT is derived by stripping '/projexa' from VERIDIAN_API_BASE_URL, which defaults to a hardcoded https://veridian-compliance-ai.vercel.app/... - a misconfigured base URL silently retargets provisioning."
"A - Provisioning","Step 3b: Transport budget applied to provisioning","C:\ct\projexa\src\lib\veridian-client.ts","fetchWithTimeout() used by provisionVeridianOrg()","VERIDIAN_FETCH_TIMEOUT_MS = 8_000; VERIDIAN_TOTAL_BUDGET_MS = 9_000. Explicit AbortController + setTimeout (NOT AbortSignal.timeout(), which never fires on Bun 1.3.14 Windows per the file header).","Timeout -> VeridianApiError code UPSTREAM_TIMEOUT. Connection failure (ECONNRESET/ECONNREFUSED/ENOTFOUND) -> code NETWORK, 502, 'Couldn''t reach the construction data service. Please retry.'","Org provisioning shares the same 8s budget as ordinary reads even though it does far more work upstream (org + department + fiscal year + accounts + branch enablement + key mint). A slow-but-successful upstream provision can time out on the PROJEXA side, orphaning a real VERIDIAN org."
"A - Provisioning","Step 4: Backend auth - platform application key","C:\ct\ct\src\lib\supabase\platform-application-auth.ts","POST /api/v1/platform/provision-org arrives with Authorization header","validatePlatformApplicationKey(): requires 'Bearer ' prefix AND token starting with 'pk_'; hashSHA256(token) looked up against platformApplications.keyHash on the raw RLS-bypassing db client; row must exist and isActive.","Any failure returns {status:'invalid'} -> route answers 401 Unauthorized with no detail.","Deliberately disjoint from customer vk_ keys. No key expiry, no rotation mechanism, and no last-used tracking visible in this file - a leaked pk_ key is valid until someone flips isActive."
"A - Provisioning","Step 4a: Backend rate limit on provisioning","C:\ct\ct\src\app\api\v1\platform\provision-org\route.ts","Authenticated platform application POSTs repeatedly","PROVISION_MAX_PER_WINDOW=20, PROVISION_WINDOW_MS=60_000, tracked in an in-process Map keyed by platformApp.id.","Over limit -> 429 with Retry-After: 60.","In-process and per-warm-instance by the file's own admission ('on serverless it bounds a single warm instance rather than the fleet'). Not a real global quota; a burst signup wave across instances is unbounded."
"A - Provisioning","Step 4b: Backend body validation and defaults","C:\ct\ct\src\app\api\v1\platform\provision-org\route.ts","Request body parsed","customerOrgName required (trimmed string) else 400. country defaults to 'IN'; primaryCurrency defaults to 'INR'.","Invalid JSON -> 400 'Invalid JSON body'. Blank customerOrgName -> 400.","PROJEXA's /api/org/provision NEVER sends country or primaryCurrency (it passes only customerOrgName). So every org created via signup is stamped country='IN'/currency='INR' regardless of the customer's actual country - the exact defect org-provisioning-service.ts documents as live in production (UAE entities given Indian GST/TDS)."
"A - Provisioning","Step 4c: Product-branch catalog resolution","C:\ct\ct\src\app\api\v1\platform\provision-org\route.ts","Provisioning proceeds past validation","Looks up productBranches by branchKey === platformApp.applicationKey; if absent, INSERTs a new row {branchKey, displayName, domain, status:'live'} on the raw db client.","UNKNOWN - no explicit catch around this lookup/insert other than the outer try.","A typo'd or renamed applicationKey silently creates a brand-new product branch rather than failing, so orgs can be tagged to a branch nobody intended."
"A - Provisioning","Step 4d: provisionOrganisation() - org + department + branches","C:\ct\ct\src\lib\services\org-provisioning-service.ts","Called by provision-org route","Creates the organisation + default 'General' department + the 2 free branches (veri_reward, veri_chat_v2). Slug uniqueness loop runs on getProvisioningDb() (elevated), NOT `db`, because compliance.organisations has FORCED RLS and app_runtime outside tenant context matches no rows. Gives up after 20 collision attempts.","Attempt>20 -> breaks out and the INSERT then hits the unique constraint -> unhandled 500. Documented real production failure 2026-08-26 (slug=meridian-interiors-llc).","Two customers with similar names still collide after 20 tries. Plan is hardcoded 'free' with a $20/mo AI cost cap (defaultMonthlyCostCapUsdForPlan) - there is no paid-signup path at all."
"A - Provisioning","Step 4e: Required product-branch enablement for PROJEXA","C:\ct\ct\src\app\api\v1\platform\provision-org\route.ts","applicationKey === 'projexa'","REQUIRED_BRANCHES_BY_APPLICATION.projexa = ['construction','erp','sales','hr']. Inserted into orgProductBranchEnablements under withTenantContext({orgId}).","Wrapped in its own try/catch and explicitly NON-FATAL: console.warn(...'(non-fatal)') and provisioning continues.","HIGH: a silent branch-enablement failure yields a signup that reports 201 success but whose new org 502s across Vendors, Materials, Accounting, Invoices, Payroll, Budgets, Sales Dashboard, Leads, Customers, Opportunities, Quotations and Sales Orders (requireErpEnabled/requireSalesEnabled). Nothing surfaces this to the customer or to PROJEXA."
"A - Provisioning","Step 4f: Minting the per-org vk_ API key","C:\ct\ct\src\app\api\v1\platform\provision-org\route.ts","Org created successfully","generateApiKey() + hashSHA256() + keyPrefix = rawKey.substring(0,8)+'...'. Inserted into apiKeys under withTenantContext({orgId}) with name `${displayName} (provisioned)`, scopes 'read,write', isActive true, issuedForApplicationId set.","UNKNOWN - a failure here falls to the outer catch -> generic 500, after the org already exists.","The FULL key is returned ONLY in this 201 response and is never retrievable again. If PROJEXA's step 3 (credentials insert) then fails, that key is lost and the VERIDIAN org is unreachable - recovery requires provisioning an entirely new org via /api/org/repair."
