"Area","Item","Identifier","File_Or_URL","Current_State","Purpose","Notes"
"Git repo","PROJEXA working copy","C:\ct\projexa","https://github.com/FChecklist/projexa.git","origin fetch+push both set to that URL; local HEAD on branch main at baadf34 (R80 Part 5 GAP-1/2/3 catalogue commit)","Source of the PROJEXA construction ERP Next.js app","Verified via `git remote -v`, `git branch --show-current`, `git log --oneline -1`"
"Git repo","VERIDIAN AI OS / compliance-tracker working copy","C:\ct\ct","https://github.com/FChecklist/compliance-tracker.git","origin fetch+push both set to that URL; local HEAD on branch main at ca697e49 (ACTIVE-CLAIMS.yaml repair commit)","Source of the VERIDIAN AI OS / compliance-tracker Next.js app","Repo package name is `compliance-tracker` (package.json v0.2.0); Vercel project name is veridian-compliance-ai"
"Git repo","projexa default branch + visibility","FChecklist/projexa","https://github.com/FChecklist/projexa","defaultBranchRef=main; visibility PUBLIC; isPrivate false","Trunk for all PROJEXA CI and deploy triggers","`gh repo view FChecklist/projexa --json name,defaultBranchRef,visibility,url,isPrivate`"
"Git repo","compliance-tracker default branch + visibility","FChecklist/compliance-tracker","https://github.com/FChecklist/compliance-tracker","defaultBranchRef=main; visibility PUBLIC; isPrivate false","Trunk for all VERIDIAN CI and deploy triggers","Both repos public -- matches the memory note that all 16 FChecklist repos were made public"
"Branch protection","projexa main protection","repos/FChecklist/projexa/branches/main/protection","GitHub REST branch-protection API","NONE -- API returns HTTP 404 {""message"":""Branch not protected""}","Would gate direct pushes/force-pushes to projexa main","Asymmetry with compliance-tracker is real and unprotected; anyone with write can push straight to projexa main"
"Branch protection","compliance-tracker main protection","repos/FChecklist/compliance-tracker/branches/main/protection","GitHub REST branch-protection API","ENABLED but minimal: allow_force_pushes=false, allow_deletions=false; enforce_admins=false, required_signatures=false, required_linear_history=false, block_creations=false, required_conversation_resolution=false, lock_branch=false","Blocks force-push and branch deletion on main","Payload contains NO required_pull_request_reviews and NO required_status_checks keys -- CI is therefore not a merge gate"
"Branch protection","GitHub rulesets (both repos)","repos/{projexa,compliance-tracker}/rulesets","GitHub REST rulesets API","Empty array [] on both repos -- no rulesets defined","Modern replacement for branch protection; unused here","Checked so a ruleset wasn't silently supplying the protection the legacy API didn't show"
"Git repo","Remote branch backlog -- projexa","origin/*","C:\ct\projexa (git branch -r)","113 remote refs incl. origin/HEAD; mostly feat/* and fix/* work branches","Unmerged/parked work branches","Count from `git branch -r | wc -l`; includes origin/HEAD->origin/main"
"Git repo","Remote branch backlog -- compliance-tracker","origin/*","C:\ct\ct (git branch -r)","653 remote refs incl. origin/HEAD; large ai-team/<role>/<timestamp> family from autonomous agent runs","Unmerged/parked work branches","Count from `git branch -r | wc -l`"
"GH Actions","PROJEXA CI","workflow id 314910039, name ""CI""",".github/workflows/ci.yml (projexa)","active; on push+pull_request to main; concurrency group per workflow+ref, cancel-in-progress true","Primary PROJEXA quality gate","6 jobs: lint, typecheck, test, build, perf, secret-scan"
"GH Actions","PROJEXA CI job -- Lint","job key `lint`",".github/workflows/ci.yml (projexa)","active; actions/checkout@v7 + oven-sh/setup-bun@v2 + `bun install --frozen-lockfile` + `bun run lint`","ESLint gate","`bun run lint` = `eslint .` per package.json"
"GH Actions","PROJEXA CI job -- Type Check","job key `typecheck`",".github/workflows/ci.yml (projexa)","active; runs `bunx tsc --noEmit`","TypeScript gate","No `typecheck` script in projexa package.json -- CI calls tsc directly"
"GH Actions","PROJEXA CI job -- Test","job key `test`",".github/workflows/ci.yml (projexa)","active; runs `bun test --isolate`","Runs the 220+ bun:test suite that was previously never run in CI (added 2026-08-30 during R1-R64 recheck)","`--isolate` is mandatory: 27+ files mock @/lib/supabase/auth-guard via mock.module() without restoring, leaking stale mocks across files"
"GH Actions","PROJEXA CI step -- Vercel-lockdown drift-test guard","step ""Guard against deleting the Vercel-lockdown drift test""",".github/workflows/ci.yml (projexa)","active inside the `test` job; `test -f src/lib/vercel-lockdown.test.ts || exit 1`","Fails the build if the Layer-3 deploy-lockdown test file is deleted, since deleting a test otherwise silently drops its assertions","Added by R76 (2026-09-06) per platform.crr_ruling R76-RULING-01 (compliance-tracker DB, project pcrjmlpuqsbocqfwoxod)"
"GH Actions","PROJEXA CI job -- Build","job key `build`, needs [lint, typecheck, test]",".github/workflows/ci.yml (projexa)","active; `bun run db:generate || true` then `bun run build` with placeholder DATABASE_URL / NEXT_PUBLIC_SUPABASE_URL / NEXT_PUBLIC_SUPABASE_ANON_KEY","next build gate","Placeholders needed because src/lib/db/index.ts and src/lib/supabase/client.ts read env at module scope during prerender"
"GH Actions","PROJEXA CI job -- Perf budget","job key `perf`, needs [build]",".github/workflows/ci.yml (projexa)","PRESENT BUT OFF: `if: ${{ vars.PERF_HARNESS_ENABLED == 'true' }}`; variable not set, so the job is skipped","Would run scripts/perf-harness.mjs against 13 pages in perf/budgets.json on http://localhost:3100 and fail on any row over budget","Turning it on also needs secrets PERF_EMAIL, PERF_PASSWORD, PERF_PROJECT_ID, PERF_SUPABASE_URL, PERF_SUPABASE_ANON_KEY, PERF_DATABASE_URL. Budgets still enforced by src/lib/perf-budget.test.ts in the Test job"
"GH Actions","PROJEXA CI job -- Secret Scanning","job key `secret-scan`",".github/workflows/ci.yml (projexa)","active, blocking (no continue-on-error); needs an explicit permissions block because gitleaks PR-scan hit ""Resource not accessible by integration"" with this repo's default token scope","Replaces GitHub-native secret scanning/push protection (unavailable on Free for private repos, GHAS declined)","R60 T9; proven against a planted fake secret (run 33138756098 / job 98744618501, conclusion failure)"
"GH Actions","PROJEXA Claude Nightly Maintenance","workflow id 345124024",".github/workflows/claude-nightly-maintenance.yml (projexa)","active; schedule cron '30 20 * * *' (20:30 UTC / ~02:00 IST) plus workflow_dispatch; concurrency group claude-nightly-maintenance, cancel-in-progress false","Autonomous nightly agent run: L1 fixes a known narrow CI failure, L2 picks up one claude-autopilot-labelled issue, L3 is escalation-report-only","Jobs: resolve-agents, claude-maintenance, report-l3-escalations. Never merges or pushes to main -- branch + PR only. Agent per level resolved from repo VARIABLES AI_L1_AGENT/AI_L2_AGENT/AI_L3_AGENT"
"GH Actions","PROJEXA Claude Code (mention bot)","workflow id 314511011",".github/workflows/claude.yml (projexa)","active; fires on issue_comment/pull_request_review_comment/pull_request_review/issues containing '@claude'; uses anthropics/claude-code-action@v1","Human-triggered in-repo Claude agent","Auth via secrets.CLAUDE_CODE_OAUTH_TOKEN (subscription `claude setup-token`), deliberately NOT ANTHROPIC_API_KEY -- owner directive R63, no pay-per-token billing. permissions: contents/pull-requests/issues read, id-token write, actions read"
"GH Actions","VERIDIAN CI","workflow id 302692996, name ""CI""",".github/workflows/ci.yml (compliance-tracker)","active; on push+pull_request to main; concurrency cancel-in-progress true; 16 jobs","Primary VERIDIAN quality + governance gate","Jobs: lint, typecheck, build, unit-tests, migration-collision-check, route-error-handling-check, migration-integrity-check (AR-12), migration-replay-from-empty (E-103, report-only), governance-yaml-parse-check, migration-schema-drift-check, screen-definition-labels-check, graph-drift-check, new-test-coverage, test-coverage-gap-report, e2e"
"GH Actions","VERIDIAN CI step -- Vercel-lockdown drift-test guard","ci.yml line ~71",".github/workflows/ci.yml (compliance-tracker)","active; `test -f src/lib/vercel-lockdown.test.ts || ... exit 1`","Same R76 Layer-3 guard as projexa: a deleted lockdown test fails the build loudly","Comment at line 64 notes the test's assertions only execute if the file exists"
"GH Actions","VERIDIAN CI job -- E2E Tests","job key `e2e`, needs [build]",".github/workflows/ci.yml (compliance-tracker)","active; `bunx playwright install --with-deps chromium` (no `|| true`) then `bunx playwright test`","Playwright end-to-end gate incl. e2e/demo-gate-smoke.spec.ts","R38/R-B1 (Master v5 E-38): the old `|| true` and --pass-with-no-tests let a failed browser install 'pass' with zero tests run; both removed"
"GH Actions","VERIDIAN Sentinel Governance Checks","workflow id 302837086",".github/workflows/sentinel.yml","active; on pull_request + push to main; 3 jobs: secret-scan (gitleaks/gitleaks-action@v3, blocking), docs-check (SENTINEL.md must exist), security-pattern-check (grep for hardcoded creds, warning-only)","Governance/secret guardrails on VERIDIAN","R60 T9 removed continue-on-error from secret-scan -- 'a check with no failing case is not a check'. security-pattern-check emits ::warning:: only, never fails"
"GH Actions","VERIDIAN CodeQL Security Scan","workflow id 302824374",".github/workflows/codeql.yml","DISABLED -- `gh workflow list --all` reports state disabled_manually, although the file is still on main and declares push/PR to main plus schedule cron '30 1 * * 1'","Static security analysis (job `analyze`)","Only disabled workflow in either repo; the YAML file's triggers are inert while disabled"
