fault_id,source,route,file_path,screenshot_path,description,severity,category,role_found,required,classification,justification,wf_audit,wf_artifact,wf_fix,wf_test,wf_pr,wf_deployed,wf_live,pr_ref,fix_files,closed,created_at
R46P5_R81_01,R46-P5-L3 T-L3-R81-1/2/3,"/ (VERI Chat / Selection Layer, all routes)",src/components/veri-chat/VeriComposer.tsx,,"5 of 6 visible, fully clickable top-level VERI Chat pill branches (Compliance Item, Calculators, Reports, Reports & Analysis, Create) lead every leaf to the literal in-app message ""Browse-only for now -- this module isn't wired up to send yet"", with zero POST /api/assistant fired -- confirmed across 5 independent completed leaf paths (Compliance Item > Create New > General; Calculators > Logistics Engine > Delivery ETA Engine; Reports > Custom Reports; Reports > Compliance Reports & Analytics; Create > Create a Lead). Only 1 of 6 top-level branches (Construction Intelligence) is genuinely wired to fire a real POST /api/assistant call. This is a visible-but-dead-end UX defect distinct from the VERIDIAN backend-timeout family (R-80/R-82 FAILs): those 5 branches never even attempt a network call, they are unwired by design/incompleteness, not degraded by backend latency.",Medium,Function,owner/democeo,YES,TECHNICAL,"R-81 requires no visible pill be unwired; this is a real, reproducible, current violation covering the majority (5/6) of top-level VERI Chat branches. Distinct root cause from the backend-timeout faults already logged, so tracked separately rather than folded into those.

--- R52 GATE 2, 2026-08-26: VERIFIED ALREADY FIXED ON MAIN. NOT CLOSED BY ME. ---
Checked against main at 249d0dc before writing any code, and no fix was needed:
F_014 -- ScopeClient.tsx:624-625 already calls two DISTINCT handlers, openCompareDialog(b) and openRevisionDialog(b). The ""both wired to the same broken self-compare handler"" claim no longer holds. Compare defaults `against` to the ORIGINAL BOQ via findOriginalBoqId() (ScopeClient.tsx:514-522, walks parentBoqId to null), not to itself, and the dialog titles at :764/:811 interpolate the version numbers the row saw rendering as a bare ""(v)"". Separate New Revision dialog exists at :764.
R46P5_R81_01 -- veri-chat-context.tsx:124 sets SHOW_UNDISPATCHABLE_MODULE_CHAINS = false, and mergeChainTrees() returns the construction tree alone when it is false. The five dead-end branches came from /api/module-chain, which is now neither fetched nor merged. R-81's own rule (""NO visible pill may be unwired -- HIDE, do not wire"") is satisfied by hiding, which is what the row asked for.
R48_PROJECT_CREATE_NO_PRODUCTS_01 -- CreateProjectDialog.tsx:38-70 now reads res.ok BEFORE the body and keeps the backend's own message; :123-141 renders either that error or an explicit ""No products are set up for this organisation yet"" instead of an empty picker. This was PR #165's error-body-as-data family. The row's own SUSPECTED CAUSE (""the failure is swallowed into an empty array instead of surfacing"") was correct.
ACTION NEEDED: verify live, then close. No code change outstanding.

R52 fn-agent 2026-08-26, VERIFIED ALREADY FIXED ON main BY projexa#158 (b473362), not by this agent. READY TO CLOSE pending a live click. src/components/veri-chat/veri-chat-context.tsx:124 sets SHOW_UNDISPATCHABLE_MODULE_CHAINS = false, so capabilityRoots() returns only the dispatchable Construction Intelligence branch and the five unwired top-level branches no longer render at all. R-81 (""no visible pill may be unwired"") therefore holds by construction rather than by the pills being disabled. Backed by a regression test asserting the flag ships off -- veri-chat-context.test.ts:45. The ""Browse-only for now"" string still exists at VeriComposer.tsx:374 as a fallback, which is correct: it is unreachable while the flag is off and is what would show if it were ever turned back on. NEEDS A LIVE AUTHENTICATED CLICK to confirm only one top-level branch is visible.",false,false,true,false,false,true,true,"projexa#158 (MERGED b473362) -- verified by R52 fn-agent, not this agent's work -- VERIFIED LIVE 2026-08-27 (R57): this PR merged before the original 6623379e freeze (confirmed earlier this session via gh api merged-PR list + timestamps), and current production (2e5661af) is many commits past that freeze point, so it is definitely contained.",,true,2026-08-25 05:00:30.944143+00
R81_F02_CROSS_REPO_APIKEY_LOOKUP_FAILING,R81 D6-07,,C:\ct\ct\src\lib\db\tenant-scoped.ts appRuntimePoolOptions(),,"WITHDRAWN AS A FALSE FINDING (R81, 2026-09-08), by the same discipline as GAP-13 (ruling R81-RULING-01). ORIGINAL CLAIM: the compliance-tracker dev server on :3005 failed every compliance.lookup_api_key_by_hash call (81 consecutive identical errors), so the PROJEXA<->compliance-tracker integration was broken and the PO->GRN chain could not be exercised. THE DISPROOF, supplied by the concurrently running R80 session which OWNED that process: :3005 was its REPRODUCTION server, started deliberately with CI placeholder credentials, including a DATABASE_URL pointing at postgres@localhost:5432 where nothing listens. Every authenticated DB call therefore failed by construction. WHY THAT EXPLAINS MY EVIDENCE BETTER THAN MY OWN HYPOTHESIS: (a) my ""fresh connection succeeds"" control passed because I built it from the REAL DATABASE_URL in .env.local -- that server never had one, so the two were never comparable; (b) unauthenticated /api/v1/projexa/vendors stayed fast at 401 because that path short-circuits BEFORE any database work, which my pool-exhaustion theory did not predict and this does. THE max:5 POOL AND ITS DOCUMENTED LEAK (R67 D-06) ARE REAL BUT ARE NOT WHAT I HIT. THE INTEGRATION IS NOT BROKEN. Both stray processes have since been killed by that session. WHAT I GOT RIGHT: the hypothesis was explicitly labelled NOT PROVEN and the decisive test was named rather than assumed, so no fix was built on it (KD-14). WHAT I GOT WRONG: I attributed a failure to product code without first establishing what environment the observed process was actually running under -- the process was not mine, and I did not check.",Low,Function,owner,NO,TECHNICAL,"Retained as a withdrawn row rather than deleted, so the false finding and its disproof stay visible. A silent deletion is how a rediscovered ghost finding gets raised again in October.",false,false,false,false,false,false,false,,,true,2026-09-08 12:35:10.92505+00
R81_F08_VERCEL_TEAM_SLUG_AMBIGUOUS,R81 D3-05,,DOMAIN_OWNERSHIP.yaml,,"The Vercel team slug is ambiguous: DOMAIN_OWNERSHIP.yaml says meet-track-s-projects while live hostnames use veridian-ai-os. Only team ID team_Iqx3zyb7sDdsdzcNskCFFsHD is reliable, and it is what R81 used. CONFIRMED THIS BLOCK: the Domain Ownership Drift Check failed on every run observed (2026-09-07T16:04 .. 2026-09-08T09:39), reporting projexa-ai.com and www not attached to the canonical project. If credits are recharged with this unresolved, environment 2 comes up and the domain still does not serve.",Medium,Other,n/a,NO,NON-TECHNICAL,"Documentation disagreeing with reality about which project owns the production domain, with a guard already failing continuously.",false,false,false,false,false,false,false,,,false,2026-09-08 12:35:10.92505+00
R81_F04_E2E_PASSWORD_COMMITTED,R81 D3-03,,e2e/users.ts:19 and scripts/measure-perf.mjs:23 (projexa),,"A real, working account password for the seeded E2E organisation is committed in plaintext in a PUBLIC repository at the two file:line locations named. The value is deliberately NOT recorded here or anywhere else in this block. Shared across all 11 seeded accounts by design. SEPARATE from claude_log id 115's August finding, which was a different incident. ROTATION IS AN OWNER ACTION. A SECOND, DIFFERENT live plaintext credential (a demo admin account on a public domain) was found during R81 D1-01 inside one of the recovered Google Drive foundational documents; likewise not reproduced, likewise an owner item.",High,Permission,n/a,YES,TECHNICAL,All 16 repositories are public and the credential works. Only the owner may rotate it.,false,false,false,false,false,false,false,,,false,2026-09-08 12:35:10.92505+00
R81_F07_INACTIVE_VENDOR_RETURNED,R81 D3-05,,(vendor list and picker paths),,A deactivated vendor is still returned by every list and picker; no layer filters on isActive. Deactivation has no user-visible effect and a buyer can raise a purchase order against a vendor the business has stopped using.,Medium,Logic,n/a,NO,TECHNICAL,Real but bounded: it produces wrong choices rather than wrong data.,false,false,false,false,false,false,false,,,false,2026-09-08 12:35:10.92505+00
R81_F09_PLATFORM_TABLES_NO_MIGRATIONS,R81 D3-05,,drizzle.config.ts,,"drizzle.config.ts sets schemaFilter: ['compliance'], so db:generate silently produces NOTHING for any platform.* object. 57 live platform.* tables have no migration file, feeding fault E-103. VERIFIED IN THE CONFIG ITSELF this block. R81 D1-04 hand-wrote migrations 0569/0570 for platform.work_orders under exactly this constraint; the rest remain.",Medium,Other,n/a,NO,TECHNICAL,"A generator that silently emits nothing is worse than one that errors, because the omission looks like success.",false,false,false,false,false,false,false,,,false,2026-09-08 12:35:10.92505+00
R81_F05_AI_PROVIDER_UNSET_ON_PROJEXA,R81 D3-04,,adapter.ts:87 / assertAiProviderAllowed(),,"THIS IS A DESIGN AND LICENSING FAULT, NOT A MISCONFIGURATION. Do not treat it as an env var someone forgot to set.
VERIFIED VERBATIM IN SOURCE by R81 at ct/src/lib/ai/adapter.ts:78-82, the second refusal branch logs: ""Anthropic's Claude Code policy permits OAuth/subscription auth for ordinary individual use only -- never to serve a request on behalf of a different person. Set AI_PROVIDER=openrouter before this product serves anyone other than that one account.""
THE TENSION THAT MATTERS: the owner ruled on 2026-09-08 that the END-USER DEFAULT for L1/L2/L3 is Claude Code Sonnet High. A Claude Code SUBSCRIPTION / OAuth credential cannot lawfully serve end users' requests. So serving customers on that path is not one config change away -- it is not permitted, and the guard fails closed precisely to prevent it. adapter.ts:56-58's own comment shows the fail-closed behaviour was deliberate and correct.
MECHANICS, verified line by line and CORRECTING an earlier reading of my own: `if (!allowed)` at adapter.ts:68 fires BEFORE `if (userId !== allowed)` at :78, so with RAJAT_USER_ID unset the code refuses for LITERALLY EVERYONE, the owner included -- not merely for non-owners as first recorded. And resolveProviderName() at :87 is `process.env.AI_PROVIDER ?? ""claude-cli""`, so an UNSET variable does not disable the guard, it SELECTS the guarded provider. .env.example declares NEITHER variable (grep -c returns 0 for both), so any environment provisioned from it lands on the refusing branch by default.
BOTH BRANCHES: (A) unset or claude-cli -> L1 refuses for 100% of users and modelCalls reads 0 IDENTICALLY to a genuine ""the software resolved everything"" result. (B) openrouter -> adapter.ts:65 returns immediately, RAJAT_USER_ID is never read, the guard restricts nobody. One environment string is the entire difference between ""no one gets AI"" and ""everyone gets AI"".
OWNER DECISION REQUIRED -- money and licensing, explicitly outside this session's authority. Two lawful routes preserve the intent: end users on OpenRouter, or end users on an Anthropic API KEY (API-key auth is legitimate for serving others and would keep ""Sonnet High"" as the end-user default in substance). NEITHER IS BEING CHOSEN HERE and AI_PROVIDER has NOT been set by either session.
A CONNECTION NEITHER SESSION HAD MADE: adapter.ts:51-53 records that RAJAT_USER_ID identifies democeo@projexa-ai.com -- the SAME demo admin account whose plaintext credential R81 D1-01 found inside a recovered Google Drive foundational document (see R81_F04). So the single identity the entire AI guard is keyed to is an account with a known-leaked, unrotated password on a public domain. Rotating it is an owner action AND it would change the value this guard depends on.
Independently verified by both concurrently running sessions, each reading the source rather than accepting the other's report.

[R81 D8-01 ADDENDUM] An exhaustive repo-wide search settles the provisioning question: RAJAT_USER_ID appears in exactly 10 files (.env.local, one commit message, 3 registers, 5 source/test files) and NEITHER variable is set by any .env.production or by vercel.json in EITHER repository. So nothing checked in would move a deployment off the refusing branch -- a fresh environment provisioned from the repo lands on Branch A by construction, not by oversight. The live Production values themselves remain CANNOT-ESTABLISH from code and were measured separately by listing variable NAMES only.",Critical,Other,non-owner,YES,TECHNICAL,"Reclassified from High to Critical and from a configuration fault to a design/licensing fault. A misconfiguration is fixed by setting a variable; this cannot be, because the ruled-for default is not a lawful way to serve end users. Filing it as a config gap would have led someone to ""fix"" it by setting AI_PROVIDER=claude-cli in Production, which is the one action the code exists to prevent.",false,false,false,false,false,false,false,,,false,2026-09-08 12:35:10.92505+00
R81_F06_NO_PASSWORD_RESET,R81 D3-05,,BOTH repos: ct/src/app/forgot-password/page.tsx (17-line redirect to /login); resetPasswordForEmail absent from both,,"THERE IS NO PASSWORD RESET IN EITHER REPOSITORY. Independently verified by R81 after the R80 session corrected an earlier, narrower version of this finding: `grep -rc resetPasswordForEmail src/` returns ZERO hits in compliance-tracker AND zero in PROJEXA, and ct/src/app/forgot-password/page.tsx is a 17-line redirect to /login -- a page that looks like a recovery path and is not one. A locked-out user has no recovery route at all. This is worst for a SOLE OWNER: the owner role is the only one that can administer the organisation, so an owner locked out cannot be helped by any other member, and it compounds the /api/org/repair gap documented in the wave-2 onboarding sheet. Originally filed as ""PROJEXA has no password reset""; the true scope is both products. A PRODUCT gap, not a documentation gap.",Critical,Function,n/a,YES,TECHNICAL,"Escalated from High to Critical on measurement: the original scoping (PROJEXA only) understated it, and a stub page that redirects to /login is worse than no page, because it reads as a working recovery path to anyone auditing the surface. There is no workaround a user can perform themselves and no in-product path for an administrator to perform it for them.",false,false,false,false,false,false,false,,,false,2026-09-08 12:35:10.92505+00
R81_F14_COMPOSER_FALSE_COMMENTS,R81 D0-06,,"src/components/shell/Composer.tsx ~456-467, ~505-512, ~545-552",,"THREE comments, one above each left-panel section, state the UNDOCKED case is `flex-1 basis-0`. The code is `h-1/3 shrink-0 grow-0`. flex-1 basis-0 is the approach that was REPLACED because it measured 249/235/249 instead of equal thirds, so the comments describe the discarded implementation as current. Same class as the six false comments R80 corrected before committing (KD-10). Found while re-measuring for D0-06; the measurement itself reproduced at [245,245,245].",Low,Other,n/a,NO,TECHNICAL,A comment that asserts something false is worse than none; the next person to touch this panel will read the wrong mechanism.,false,false,false,false,false,false,false,,,false,2026-09-08 12:35:10.92505+00
R81_F13_E2E_AUTH_RATE_LIMITED,R81 D6-02,,e2e/auth.setup.ts,,"auth.setup.ts logs four seeded accounts in PARALLEL and intermittently fails two with ""page.waitForURL: Timeout 20000ms exceeded"", which reads as drifted credentials but is not. PROVEN OTHERWISE: auth.users.last_sign_in_at for the CEO UPDATED at 11:54:37 DURING a run in which his setup ""failed"" -- Supabase authenticated him and only the post-login redirect never completed. --workers=1 makes all four pass, repeatably. Cause is Supabase auth rate limiting under concurrent logins; a live source of E2E flakiness and a plausible contributor to CI E2E instability.",Medium,Flow,n/a,NO,TECHNICAL,"Diagnosed from database evidence rather than by re-running until green, and it explains failures that look like a credential problem.",false,false,false,false,false,false,false,,,false,2026-09-08 12:35:10.92505+00
