"Route_Path","File_Path","Methods","Auth_Model","Org_Scoping","Calls_Service","Purpose","Proxied_By_PROJEXA_Route"
"/api/v1/projexa/access-review/certifications/[id]","C:\ct\ct\src\app\api\v1\projexa\access-review\certifications\[id]\route.ts","PATCH","SK+RS(manager/write)","STD","access-review-service","reviewCertification","/api/access-review/certifications/[id]"
"/api/v1/projexa/access-review","C:\ct\ct\src\app\api\v1\projexa\access-review\route.ts","GET,POST","SK+RS(manager/write)","STD","access-review-service","listAccessReviewCycles,getAccessReviewCycleDetail,createAccessReviewCycle","/api/access-review"
"/api/v1/projexa/accounts","C:\ct\ct\src\app\api\v1\projexa\accounts\route.ts","GET","SK+RS(member/read)","CTX","erp-accounting-service","listAccounts (chart of accounts)","/api/accounts; PXlib:/lib/budget-lookups.ts"
"/api/v1/projexa/ai/diff-drawings","C:\ct\ct\src\app\api\v1\projexa\ai\diff-drawings\route.ts","POST","S (session only)","ARG","lib/db/tenant-scoped;construction-ai-service","diffDrawingRevisions; re-export alias of /api/construction/ai/diff-drawings","UNKNOWN"
"/api/v1/projexa/ai/estimate-progress","C:\ct\ct\src\app\api\v1\projexa\ai\estimate-progress\route.ts","POST","S (session only)","G400","lib/db/tenant-scoped;construction-ai-service","estimateProgressFromPhoto; alias of /api/construction/ai/estimate-progress","UNKNOWN"
"/api/v1/projexa/ai/progress-summary","C:\ct\ct\src\app\api\v1\projexa\ai\progress-summary\route.ts","GET","S (session only)","G400","construction-ai-service","generateProgressSummary; alias of /api/construction/ai/progress-summary","UNKNOWN"
"/api/v1/projexa/ai/risk-detection","C:\ct\ct\src\app\api\v1\projexa\ai\risk-detection\route.ts","GET","S (session only)","G400","construction-ai-service","detectBudgetScheduleRisk; alias of /api/construction/ai/risk-detection","UNKNOWN"
"/api/v1/projexa/ar-aging","C:\ct\ct\src\app\api\v1\projexa\ar-aging\route.ts","GET","SK+RS(member/read)","STD","erp-invoicing-service","arAgingReport","/api/ar-aging"
"/api/v1/projexa/asset-to-gl-reconciliation","C:\ct\ct\src\app\api\v1\projexa\asset-to-gl-reconciliation\route.ts","GET","SK+RS(member/read)","STD","erp-fixed-assets-service","assetToGlReconciliation","UNKNOWN"
"/api/v1/projexa/assistant","C:\ct\ct\src\app\api\v1\projexa\assistant\route.ts","POST","SK+RS(member/write|member/read)","STD","lib/db/tenant-scoped","withTenantContext; AI assistant entry","/api/assistant"
"/api/v1/projexa/attendance/bulk","C:\ct\ct\src\app\api\v1\projexa\attendance\bulk\route.ts","POST","SK+RS","STD","construction-labour-service","recordAttendanceBatch; alias of /api/v1/construction/attendance/bulk","/api/attendance/bulk"
"/api/v1/projexa/attendance","C:\ct\ct\src\app\api\v1\projexa\attendance\route.ts","GET,POST","SK+RS","STD","construction-labour-service","listAttendance,recordAttendance; alias of /api/v1/construction/attendance","/api/attendance; /api/work-progress/report"
"/api/v1/projexa/attendance/summary/pdf","C:\ct\ct\src\app\api\v1\projexa\attendance\summary\pdf\route.ts","GET","SK","CTX4","lib/db/tenant-scoped;construction-reports-service","attendanceSummary as PDF","/api/attendance/summary/pdf"
"/api/v1/projexa/attendance/summary","C:\ct\ct\src\app\api\v1\projexa\attendance\summary\route.ts","GET","SK","STD","construction-reports-service","attendanceSummary","/api/attendance/summary"
"/api/v1/projexa/audit-engagements","C:\ct\ct\src\app\api\v1\projexa\audit-engagements\route.ts","GET,POST","SK+RS(manager/write)","STD","risk-register-service","listAuditEngagements,createAuditEngagement","/api/audit-engagements"
"/api/v1/projexa/audit-findings/[id]","C:\ct\ct\src\app\api\v1\projexa\audit-findings\[id]\route.ts","PATCH","SK+RS(manager/write)","STD","risk-register-service","advanceAuditFindingCapaStatus","/api/audit-findings/[id]"
"/api/v1/projexa/audit-findings","C:\ct\ct\src\app\api\v1\projexa\audit-findings\route.ts","POST","SK+RS(manager/write)","STD","risk-register-service","createAuditFinding","/api/audit-findings"
"/api/v1/projexa/balance-sheet","C:\ct\ct\src\app\api\v1\projexa\balance-sheet\route.ts","GET","SK+RS(member/read)","STD","erp-financial-report-service","balanceSheet","/api/balance-sheet"
"/api/v1/projexa/bank-reconciliation","C:\ct\ct\src\app\api\v1\projexa\bank-reconciliation\route.ts","GET","SK+RS(member/read)","CTX","erp-bank-reconciliation-service","listImports,listLines","/api/bank-reconciliation"
"/api/v1/projexa/board","C:\ct\ct\src\app\api\v1\projexa\board\route.ts","GET,PATCH","SK+RS(member/write)","STD","pms-taxonomy-service;pms-issue-service","listIssueStatuses,listIssues,updateIssue","/api/board"
"/api/v1/projexa/capability-tree","C:\ct\ct\src\app\api\v1\projexa\capability-tree\route.ts","GET","SK+RS(member/read)","STD","lib/db/tenant-scoped;capability-tree-service","buildConstructionNodes","/api/capability-tree; /api/shell"
"/api/v1/projexa/chain-options","C:\ct\ct\src\app\api\v1\projexa\chain-options\route.ts","GET","SK+RS(member/read)","STD","chain-options-service","makeChainOptionsRepo,resolveChainLevel","UNKNOWN (PROJEXA /api/chain-options deliberately resolves locally)"
"/api/v1/projexa/change-orders/[id]","C:\ct\ct\src\app\api\v1\projexa\change-orders\[id]\route.ts","GET,PATCH","SK+RS","STD","construction-change-order-service","getChangeOrder,submitChangeOrderForApproval","/api/change-orders/[id]"
"/api/v1/projexa/change-orders/[id]/signature-status","C:\ct\ct\src\app\api\v1\projexa\change-orders\[id]\signature-status\route.ts","GET","SK","STD","construction-change-order-service;esignature-service","getChangeOrder,listSignatureRequests","/api/change-orders/[id]/signature-status"
"/api/v1/projexa/change-orders","C:\ct\ct\src\app\api\v1\projexa\change-orders\route.ts","GET,POST","SK+RS(member/write)","STD","construction-change-order-service","listChangeOrders,createChangeOrder","/api/change-orders; PXlib:/lib/services/search-service.ts"
"/api/v1/projexa/classify","C:\ct\ct\src\app\api\v1\projexa\classify\route.ts","POST","SK+RS(member/read)","STD","lib/pipeline/classify-only","AI classification of an input","/api/classify"
"/api/v1/projexa/companies","C:\ct\ct\src\app\api\v1\projexa\companies\route.ts","GET,POST","SK+RS(manager/write)","STD","erp-company-service","listCompanies,createCompany","/api/companies; PXlib:/lib/budget-lookups.ts"
"/api/v1/projexa/compliance-register","C:\ct\ct\src\app\api\v1\projexa\compliance-register\route.ts","GET,POST","SK+RS(member/write)","STD","compliance-service","listComplianceItems,createComplianceItem","/api/compliance-register"
"/api/v1/projexa/cost-center-hierarchy","C:\ct\ct\src\app\api\v1\projexa\cost-center-hierarchy\route.ts","GET","SK","STD","erp-accounting-service","costCenterHierarchyReport","UNKNOWN"
"/api/v1/projexa/cost-center-line-items","C:\ct\ct\src\app\api\v1\projexa\cost-center-line-items\route.ts","GET","SK","STD","erp-accounting-service","listJournalEntryLinesByCostCenter","UNKNOWN"
"/api/v1/projexa/cost-centers","C:\ct\ct\src\app\api\v1\projexa\cost-centers\route.ts","GET","SK+RS(member/read)","CTX","erp-accounting-service","listCostCenters","/api/cost-centers (via createCachedVeridianGet); PXlib:/lib/budget-lookups.ts"
"/api/v1/projexa/credit-notes/[id]","C:\ct\ct\src\app\api\v1\projexa\credit-notes\[id]\route.ts","GET","SK+RS(member/read)","CTX","erp-credit-note-service","getSalesCreditNote","/api/credit-notes/[id]"
"/api/v1/projexa/credit-notes/[id]/submit","C:\ct\ct\src\app\api\v1\projexa\credit-notes\[id]\submit\route.ts","POST","SK+RS(manager/write)","STD","erp-credit-note-service","submitSalesCreditNote","/api/credit-notes/[id]/submit"
"/api/v1/projexa/credit-notes","C:\ct\ct\src\app\api\v1\projexa\credit-notes\route.ts","GET,POST","SK+RS(manager/write)","STD","erp-credit-note-service","listSalesCreditNotes,createSalesCreditNote","/api/credit-notes"
"/api/v1/projexa/currencies/base","C:\ct\ct\src\app\api\v1\projexa\currencies\base\route.ts","GET,PUT","SK+RS(member/read|admin/write)","STD","erp-accounting-service","getBaseCurrency,setBaseCurrency","/api/organization/currency"
"/api/v1/projexa/currencies","C:\ct\ct\src\app\api\v1\projexa\currencies\route.ts","GET","SK+RS(member/read)","STD","erp-accounting-service","listCurrencies","/api/currencies; /api/shell; PXlib:/app/(app)/dashboard/page.tsx"
"/api/v1/projexa/customer-payment-behavior","C:\ct\ct\src\app\api\v1\projexa\customer-payment-behavior\route.ts","GET","SK+RS(member/read)","STD","erp-invoicing-service","customerPaymentBehaviorReport","UNKNOWN"
"/api/v1/projexa/customers/[id]/overview","C:\ct\ct\src\app\api\v1\projexa\customers\[id]\overview\route.ts","GET","SK","STD","erp-selling-service","getCustomerOverview","/api/customers/[id]/overview"
"/api/v1/projexa/customers/[id]","C:\ct\ct\src\app\api\v1\projexa\customers\[id]\route.ts","GET,PATCH","SK+RS(member/read|member/write)","STD","erp-selling-service","getCustomer,updateCustomer","/api/customers/[id]"
"/api/v1/projexa/customers","C:\ct\ct\src\app\api\v1\projexa\customers\route.ts","GET,POST","SK+RS(member/write)","STD","erp-selling-service","listCustomers,listCustomersPaged,createCustomer","/api/customers"
"/api/v1/projexa/dashboard/[projectId]","C:\ct\ct\src\app\api\v1\projexa\dashboard\[projectId]\route.ts","GET","SK","STD","construction-dashboard-service","getProjectDashboard","/api/dashboard/project/[projectId]; /api/dashboard-hierarchy/...; PXlib:/app/(app)/materials/page.tsx"
"/api/v1/projexa/dashboard","C:\ct\ct\src\app\api\v1\projexa\dashboard\route.ts","GET","SK+RS(member/read)","STD","construction-dashboard-service","getOrgDashboard,getProjectDashboards","/api/projects/overview; /api/shell; PXlib:/lib/dashboard-overview.ts"
"/api/v1/projexa/design-materials","C:\ct\ct\src\app\api\v1\projexa\design-materials\route.ts","GET,POST","SK+RS(member/write)","STD","interior-floorplan-service","listMaterials,createMaterial","/api/design-materials"
"/api/v1/projexa/discuss","C:\ct\ct\src\app\api\v1\projexa\discuss\route.ts","POST","SK+RS(member/read)","STD","construction-ai-service","discussConstruction","/api/discuss"
"/api/v1/projexa/documents/[id]/dispose","C:\ct\ct\src\app\api\v1\projexa\documents\[id]\dispose\route.ts","POST","SK+RS(manager/write)","STD","document-service","disposeDocument","UNKNOWN - PROJEXA /api/documents/[id]/dispose sends root:true to /api/v1/documents/[id]/dispose which does NOT exist"
"/api/v1/projexa/documents/[id]","C:\ct\ct\src\app\api\v1\projexa\documents\[id]\route.ts","GET,PATCH","SK+RS(member/write)","STD","lib/db/tenant-scoped;document-service","readVersionChain,updateDocumentMetadata","/api/documents/[id]"
"/api/v1/projexa/documents/[id]/versions","C:\ct\ct\src\app\api\v1\projexa\documents\[id]\versions\route.ts","POST","SK+RS(member/write)","STD","document-service","createDocumentVersion","/api/documents/[id]/versions"
"/api/v1/projexa/drawings/[id]/document-url","C:\ct\ct\src\app\api\v1\projexa\drawings\[id]\document-url\route.ts","GET","SK","CTX","lib/db/tenant-scoped;lib/db/schema","signed document URL for a drawing","/api/drawings/[id]/document-url"
"/api/v1/projexa/drawings/[id]","C:\ct\ct\src\app\api\v1\projexa\drawings\[id]\route.ts","GET,PATCH,DELETE","SK+RS(member/write)","STD","lib/db/tenant-scoped;document-service","updateDocumentMetadata","/api/drawings/[id]"
"/api/v1/projexa/drawings/export","C:\ct\ct\src\app\api\v1\projexa\drawings\export\route.ts","GET","SK","CTX","document-service","listDocuments export","/api/drawings/export"
"/api/v1/projexa/drawings","C:\ct\ct\src\app\api\v1\projexa\drawings\route.ts","GET,POST","SK+RS(member/write)","STD","document-service","listDocuments,createDrawingRecord","/api/drawings"
"/api/v1/projexa/dunning-list/[invoiceId]/record","C:\ct\ct\src\app\api\v1\projexa\dunning-list\[invoiceId]\record\route.ts","POST","SK+RS(manager/write)","STD","erp-invoicing-service","recordDunningAction","UNKNOWN"
"/api/v1/projexa/dunning-list","C:\ct\ct\src\app\api\v1\projexa\dunning-list\route.ts","GET","SK+RS(member/read)","STD","erp-invoicing-service","dunningList","UNKNOWN"
"/api/v1/projexa/employees/[id]","C:\ct\ct\src\app\api\v1\projexa\employees\[id]\route.ts","GET,PATCH","SK+RS(manager/write)","STD","hr-service","listEmployees,upsertEmployeeProfile","/api/employees/[id]"
"/api/v1/projexa/employees","C:\ct\ct\src\app\api\v1\projexa\employees\route.ts","GET,POST","SK+RS(member/read|manager/write)","STD","hr-service","listEmployees,upsertEmployeeProfile","/api/employees"
"/api/v1/projexa/expenses","C:\ct\ct\src\app\api\v1\projexa\expenses\route.ts","GET,POST","SK+RS(member/write)","STD","construction-expense-service","listExpenseEntries,createExpenseEntry","/api/expenses; /api/dashboard-hierarchy/companies/[companyId]/projects/[projectId]"
"/api/v1/projexa/ffe/[id]","C:\ct\ct\src\app\api\v1\projexa\ffe\[id]\route.ts","GET,PATCH","SK+RS(member/write)","STD","interior-design-service","getFfeItem,updateFfeItemStatus,updateFfeItemDimensions","/api/ffe/[id]"
"/api/v1/projexa/ffe/margin-summary","C:\ct\ct\src\app\api\v1\projexa\ffe\margin-summary\route.ts","GET","SK","STD","interior-design-service","getMarginSummary","/api/ffe/margin-summary"
"/api/v1/projexa/ffe","C:\ct\ct\src\app\api\v1\projexa\ffe\route.ts","GET,POST","SK+RS(member/write)","STD","interior-design-service","listFfeItems,createFfeItem","/api/ffe"
"/api/v1/projexa/finance-dashboard","C:\ct\ct\src\app\api\v1\projexa\finance-dashboard\route.ts","GET","SK+RS(member/read)","STD","erp-invoicing-service","getFinanceDashboard","/api/finance-dashboard"
"/api/v1/projexa/fiscal-years","C:\ct\ct\src\app\api\v1\projexa\fiscal-years\route.ts","GET","SK","CTX","erp-accounting-service","listFiscalYears","/api/fiscal-years (createCachedVeridianGet); PXlib:/lib/budget-lookups.ts"
"/api/v1/projexa/floor-plans/[id]/placements/[placementId]","C:\ct\ct\src\app\api\v1\projexa\floor-plans\[id]\placements\[placementId]\route.ts","PATCH,DELETE","SK+RS(member/write)","STD","interior-floorplan-service","updatePlacement,removePlacement","/api/floor-plans/[id]/placements/[placementId]"
"/api/v1/projexa/floor-plans/[id]/placements","C:\ct\ct\src\app\api\v1\projexa\floor-plans\[id]\placements\route.ts","POST","SK+RS(member/write)","STD","interior-floorplan-service","placeFurniture","/api/floor-plans/[id]/placements"
"/api/v1/projexa/floor-plans/[id]/rooms/[roomId]","C:\ct\ct\src\app\api\v1\projexa\floor-plans\[id]\rooms\[roomId]\route.ts","PATCH,DELETE","SK+RS(member/write)","STD","interior-floorplan-service","updateRoom,removeRoom","/api/floor-plans/[id]/rooms/[roomId]"
"/api/v1/projexa/floor-plans/[id]/rooms","C:\ct\ct\src\app\api\v1\projexa\floor-plans\[id]\rooms\route.ts","POST","SK+RS(member/write)","STD","interior-floorplan-service","addRoom","/api/floor-plans/[id]/rooms"
"/api/v1/projexa/floor-plans/[id]","C:\ct\ct\src\app\api\v1\projexa\floor-plans\[id]\route.ts","GET,PATCH","SK+RS(member/write)","STD","interior-floorplan-service","getFloorPlan,updateFloorPlanStatus","/api/floor-plans/[id]"
"/api/v1/projexa/floor-plans/[id]/scene","C:\ct\ct\src\app\api\v1\projexa\floor-plans\[id]\scene\route.ts","GET","SK","STD","interior-floorplan-service","getFloorPlanScene (3D scene)","/api/floor-plans/[id]/scene"
"/api/v1/projexa/floor-plans","C:\ct\ct\src\app\api\v1\projexa\floor-plans\route.ts","GET,POST","SK+RS(member/write)","STD","interior-floorplan-service","listFloorPlans,createFloorPlan","/api/floor-plans"
"/api/v1/projexa/fraud-cases/[id]","C:\ct\ct\src\app\api\v1\projexa\fraud-cases\[id]\route.ts","GET,PATCH","SK+RS(manager/write)","STD","fraud-case-service","getFraudCase,updateFraudCaseStatus","/api/fraud-cases/[id]"
"/api/v1/projexa/fraud-cases","C:\ct\ct\src\app\api\v1\projexa\fraud-cases\route.ts","GET,POST","SK+RS(manager/write)","STD","fraud-case-service","listFraudCases,createFraudCase","/api/fraud-cases"
"/api/v1/projexa/grc-dashboard","C:\ct\ct\src\app\api\v1\projexa\grc-dashboard\route.ts","GET","SK","STD","risk-register-service","getGrcDashboard","/api/grc-dashboard"
"/api/v1/projexa/hr/departments","C:\ct\ct\src\app\api\v1\projexa\hr\departments\route.ts","GET,POST","SK+RS(manager/write)","STD","lib/db/tenant-scoped","department list/create","/api/hr/departments; /api/dashboard-hierarchy/companies/[companyId]/departments"
"/api/v1/projexa/hr/org-chart","C:\ct\ct\src\app\api\v1\projexa\hr\org-chart\route.ts","GET","SK","CTX","hr-service","getOrgChart","/api/hr/org-chart"
"/api/v1/projexa/inventory/items/[id]","C:\ct\ct\src\app\api\v1\projexa\inventory\items\[id]\route.ts","GET","SK","CTX","erp-stock-service","getItem","/api/inventory/items/[id]"
"/api/v1/projexa/inventory/items","C:\ct\ct\src\app\api\v1\projexa\inventory\items\route.ts","GET,POST","SK+RS(member/write)","STD","erp-stock-service","listItems,createItem","/api/inventory/items"
"/api/v1/projexa/inventory/stock-balance","C:\ct\ct\src\app\api\v1\projexa\inventory\stock-balance\route.ts","GET","SK","CTX","erp-inventory-service","listStockBalances","/api/inventory/stock-balance"
"/api/v1/projexa/inventory/stock-entries","C:\ct\ct\src\app\api\v1\projexa\inventory\stock-entries\route.ts","GET,POST","SK+RS(member/write)","STD","erp-inventory-service","listStockLedger,recordStockReceipt,recordStockIssue","/api/inventory/stock-entries"
"/api/v1/projexa/inventory/warehouses","C:\ct\ct\src\app\api\v1\projexa\inventory\warehouses\route.ts","GET,POST","SK+RS(member/write)","STD","erp-stock-service","listWarehouses,createWarehouse","/api/inventory/warehouses"
"/api/v1/projexa/journal-entries/[id]","C:\ct\ct\src\app\api\v1\projexa\journal-entries\[id]\route.ts","GET","SK","STD","erp-accounting-service","getJournalEntry","/api/journal-entries/[id]"
"/api/v1/projexa/journal-entries/[id]/submit","C:\ct\ct\src\app\api\v1\projexa\journal-entries\[id]\submit\route.ts","POST","SK+RS","STD","erp-accounting-service","submitJournalEntry","/api/journal-entries/[id]/submit"
"/api/v1/projexa/journal-entries","C:\ct\ct\src\app\api\v1\projexa\journal-entries\route.ts","GET,POST","SK+RS(manager/write)+permission-service","STD","permission-service;erp-accounting-service","listJournalEntriesPaged,createJournalEntry","/api/journal-entries"
"/api/v1/projexa/knowledge-base/[id]","C:\ct\ct\src\app\api\v1\projexa\knowledge-base\[id]\route.ts","GET,PATCH","SK+RS(member/write)","STD","knowledge-base-service","getKbPage,updateKbPage","/api/knowledge-base/[id]"
"/api/v1/projexa/knowledge-base/by-slug","C:\ct\ct\src\app\api\v1\projexa\knowledge-base\by-slug\route.ts","GET","SK","STD","knowledge-base-service","getKbPageBySlug","UNKNOWN"
"/api/v1/projexa/knowledge-base","C:\ct\ct\src\app\api\v1\projexa\knowledge-base\route.ts","GET,POST","SK+RS(member/write)","STD","knowledge-base-service","listKbPages,createKbPage","/api/knowledge-base"
"/api/v1/projexa/knowledge-base/search","C:\ct\ct\src\app\api\v1\projexa\knowledge-base\search\route.ts","GET","SK","CTX","knowledge-base-service","searchKbPages","/api/knowledge-base/search"
"/api/v1/projexa/kpis/[id]","C:\ct\ct\src\app\api\v1\projexa\kpis\[id]\route.ts","GET","SK","STD","construction-kpi-service","getKpiDefinition; alias of /api/v1/construction/kpi-definitions/[id]","/api/kpis/[id]"
"/api/v1/projexa/kpis","C:\ct\ct\src\app\api\v1\projexa\kpis\route.ts","GET,POST","SK+RS","STD","construction-kpi-service","listKpiDefinitions,createKpiDefinition; alias of /api/v1/construction/kpi-definitions","/api/kpis"
"/api/v1/projexa/labour","C:\ct\ct\src\app\api\v1\projexa\labour\route.ts","GET,POST","SK+RS","STD","construction-labour-service","listRoster,getLabourLanding,createRosterEntry; alias of /api/v1/construction/labour-roster","UNKNOWN (PROJEXA calls /construction/labour-roster with root:true instead)"
"/api/v1/projexa/labour-roster/import","C:\ct\ct\src\app\api\v1\projexa\labour-roster\import\route.ts","POST","SK+RS(member/write)","STD","construction-roster-import-service;construction-labour-service;erp-buying-service","parseRosterSpreadsheet,rosterImportSummary,createRosterEntry","/api/labour-roster/import"
"/api/v1/projexa/labour-roster/trades","C:\ct\ct\src\app\api\v1\projexa\labour-roster\trades\route.ts","GET","SK+RS(member/read)","STD","construction-labour-service","listRosterTrades","/api/labour-roster/trades"
"/api/v1/projexa/leads/[id]/history","C:\ct\ct\src\app\api\v1\projexa\leads\[id]\history\route.ts","GET","SK","CTX","crm-service","listStageHistory","/api/leads/[id]/history"
"/api/v1/projexa/leads/[id]","C:\ct\ct\src\app\api\v1\projexa\leads\[id]\route.ts","GET,PATCH","SK+RS(member/write)","STD","crm-service","getLead,updateLead","/api/leads/[id]"
