"File_Path","Kind","Exported_Functions","Domain","What_It_Computes","Key_Inputs","Key_Outputs","DB_Tables_Touched","Called_By"
"C:\ct\ct\src\lib\engines\accounting-engine.ts","ENGINE","computeOpeningBalance, computeClosingBalance, verifyBalancesNetToZero, verifyBalancesNetToZeroExplained, consolidateBalances, computeFundFlow, statementOfChangesInEquity, generateNotesToAccounts, validateVoucher, detectDuplicateEntries, detectSuspenseAccountBalance, reconcileLedgers","Accounting / financial close","Opening+closing balances, trial-balance net-to-zero (0.01 tolerance), consolidation with intercompany elimination, fund flow, equity movement, notes grouping, voucher validation, dup/suspense detection, ledger match","LedgerAccountBalance[]{accountId,debit,credit}, opening balance + totals, entity balances + intercompany ids, EquityMovement, voucher lines, ledger entries {reference,amount}","Numbers; {balanced,totalDebit,totalCredit,difference}; EngineResult with explanation+steps; consolidated balances; duplicate id groups; {matched,unmatchedA,unmatchedB}","NONE - pure functions on Decimal.js, no DB access","lib/engine-handlers/accounting-engine-dispatch.ts (dynamic import per engine key)"
"C:\ct\ct\src\lib\engines\ai-support-engine.ts","ENGINE","selectTool, deduplicateContextLines","AI / LLM support","Picks the best exact-then-substring tool match for a requested capability; drops repeated trimmed lines from an LLM context window","requestedCapability + availableTools[]; string[] of context lines","Matched tool name or null; deduplicated string[]","NONE - pure functions, no DB access","lib/task-execution-engine.ts"
"C:\ct\ct\src\lib\engines\analytics-engine.ts","ENGINE","analyzeTrend, analyzeTrendExplained, analyzeAnalyticsVariance, compareToBenchmark, forecastBaseline, detectAnomaliesZScore, detectAnomaliesIqr, calculateCorrelation","Analytics / KPI","Linear-regression trend slope+direction (flat band +/-0.001), actual-vs-expected variance %, benchmark % difference, naive or moving-average baseline forecast, z-score and IQR anomaly filters, sample correlation","Time-ordered number[], actual vs expected, benchmark value, window size, x/y arrays","{slope,direction}; EngineResult with explanation+assumptions; {variance,variancePercent}; {percentDifference,performsBetter}; anomalous values; correlation","NONE - pure, uses simple-statistics + Decimal.js","lib/task-execution-engine.ts"
"C:\ct\ct\src\lib\engines\audit-engine.ts","ENGINE","calculateMateriality, calculateRiskScore, detectDuplicateInvoices, detectDuplicatePayments, analyzeJournalRisk, benfordAnalysis, detectExceptions","Audit / forensics","Materiality (0.75% revenue, 7.5% net profit, 1% assets), weighted risk score, duplicate invoice (vendor+number+amount) and payment (payee+amount+date) groups, journal red flags (round amount, weekend posting, manual near close), Benford chi-square, z-score exceptions","Base amount + baseType, weighted factors, invoice/payment arrays, journal entry {amount,postedAt,isManual,periodEndDate}, value arrays","Numbers; string[][] duplicate id groups; {riskFlags,riskScore}; {observedDistribution,expectedDistribution,chiSquare}","NONE - pure functions, no DB access","lib/task-execution-engine.ts"
"C:\ct\ct\src\lib\engines\banking-engine.ts","ENGINE","calculateEmi, calculateBankingInterest, projectCashFlow, findOutstandingCheques, calculateDepositMaturity, calculateCreditLimit","Banking / treasury","Reducing-balance EMI with a full month-by-month amortization schedule (final installment absorbs rounding; zero-rate path splits principal evenly), simple or daily-compound interest, running cash-flow balance, uncleared cheques as of a cutoff, FD compound maturity, income-multiple credit limit","{principal,annualRatePercent,tenureMonths}; balance+days+method; opening balance + movements; cheques + asOfDate; monthly income + multiplier","EmiResult{emi,totalInterest,totalPayment,schedule[]}; interest amount; running-balance rows; outstanding cheque ids; {maturityValue,interestEarned}","NONE - pure functions on Decimal.js","lib/task-execution-engine.ts; lib/calculation-cross-verification.ts (imports EmiInput/EmiResult types)"
"C:\ct\ct\src\lib\engines\breakdown.ts","ENGINE","CalculationStep, CalculationBreakdown (types only - no functions)","Calculation explainability","Nothing is computed here. Defines the optional step-by-step breakdown shape any engine result type can embed so a caller renders real steps instead of a flat JSON blob","n/a (type declarations)","CalculationBreakdown{steps:[{label,formula?,value}]}","NONE","lib/task-execution-engine.ts; lib/engines/payroll-engine.ts (GratuityResult.breakdown); render side documented as components/chat/StructuredMessageContent.tsx"
"C:\ct\ct\src\lib\engines\compliance-engine-registry.ts","ENGINE","getComplianceEngine, getSupportedComplianceCountries (+ type ComplianceEngine)","Compliance / per-country tax routing","Resolves an ISO-3166 alpha-2 country code to its real statute engine set - India exposes incomeTax/tds/gst, UAE exposes vat/corporateTax. Unregistered countries throw rather than falling back to another country's rules","Country code string (case-insensitive)","ComplianceEngine with only the slots that country genuinely has; string[] of supported countries","NONE - a resolver over other engine modules","UNKNOWN - grep found no production importer; only lib/engines/country-config.test.ts exercises it"
"C:\ct\ct\src\lib\engines\compliance-engine.ts","ENGINE","calculateComplianceInterest, checkFilingEligibility, checkDocumentCompleteness, calculateComplianceRiskScore","Compliance","Simple-interest late-payment charge (rate/basis supplied by caller since it varies per statute), named-precondition filing gate, required-vs-filed document diff, weighted 0-100 compliance risk from overdue ratio (x60) plus penalty weight (capped 40)","Amount + annual rate + daysLate; preconditions[{name,met}]; required/filed document lists; {overdueItemsCount,pastPenaltiesCount,totalItemsCount}","Interest amount; {eligible,unmetConditions}; {complete,missingDocuments}; risk score","NONE - pure functions on Decimal.js","lib/task-execution-engine.ts; lib/task-execution/compliance-tools.ts (dynamic import of calculateComplianceInterest)"
"C:\ct\ct\src\lib\engines\costing-engine.ts","ENGINE","calculateJobCost, standardCostingVariance, marginalCostingAnalysis, allocateActivityBasedCost, calculateBatchCost, calculateServiceCost, allocateCostPool, analyzeVariance","Costing","Job cost (material+labour+overhead), standard-cost price vs quantity variance split, CVP contribution margin and break-even units/sales, activity-based overhead allocation by cost driver rate, batch and service unit cost, shared cost-pool allocation by basis, actual-vs-budget variance with favourability","Cost components; standard/actual price+quantity; selling price, variable cost, fixed costs; cost pools + driver usage; allocation basis rows; actual vs budget","Numbers; {priceVariance,quantityVariance,totalVariance}; {contributionPerUnit,contributionMarginRatio,breakEvenUnits,breakEvenSales}; Record<id,allocatedAmount>; {variance,variancePercent,favorable}","NONE - pure functions on Decimal.js","lib/task-execution-engine.ts"
"C:\ct\ct\src\lib\engines\crm-engine.ts","ENGINE","calculateCustomerLifetimeValue, calculateChurnProbability, calculateRfmScore, calculateOpportunityScore, calculateCustomerHealthScore","CRM","CLV = avg order value x purchase frequency x lifespan; heuristic churn probability blending recency (180-day scale, weight 0.6) and engagement decline (0.4); RFM quintile scoring 1-5 per dimension; BANT opportunity average; weighted customer health (usage 0.5 / support 0.2 / payment 0.3)","Order value, frequency, lifespan; days since last activity + decline %; customer array {recencyDays,frequency,monetary}; BANT factor scores; usage/support/payment scores","Numbers; Record<customerId,{r,f,m,rfmScore}>","NONE - pure functions on Decimal.js","lib/task-execution-engine.ts"
