"Requirement_Id","Area","Requirement_Text","Recorded_Status","Closure_Commit","Closure_Test_Path","Independently_Verified","Source"
"R-01","BOQ Create","BOQ saves without server error","CLOSED / DONE - VERIFIED","0700e699 (compliance-tracker)","e2e/demo-gate-smoke.spec.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-02","BOQ Create","Line item amount = QTY x RATE","CLOSED / DONE - VERIFIED","0700e699 (compliance-tracker)","e2e/demo-gate-smoke.spec.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-03","BOQ Create","BOQ with title only and zero lines is allowed","CLOSED / DONE - VERIFIED","40be85bf (compliance-tracker)","src/app/api/v1/construction/boq/route.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-04","BOQ Create","Missing title rejected naming the field","CLOSED / DONE - VERIFIED","40be85bf (compliance-tracker)","src/app/api/v1/construction/boq/route.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-10","Weighted Sub-Tasks","Sub-task columns exist in production DB","CLOSED / DONE - VERIFIED","b3de3e1a (compliance-tracker)","src/lib/db/schema.construction-boq-columns.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-11","Weighted Sub-Tasks","Sub-task enterable in create form (Item Code / Parent Item Code / Breakdown %)","BLOCKED / DONE - VERIFIED (contradictory: state BLOCKED, status text claims verified)","NONE recorded","NONE recorded","FALSE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-12","Weighted Sub-Tasks","Sub-task amount = ROOT qty x ROOT rate x breakdown %","CLOSED / PARTIAL","b6999822 (compliance-tracker)","src/lib/services/construction-boq-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-13","Weighted Sub-Tasks","Sub-task own QTY and RATE ignored","CLOSED / DONE - VERIFIED","b6999822 (compliance-tracker)","src/lib/services/construction-boq-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-14","Weighted Sub-Tasks","Weights NOT forced to sum to 100","CLOSED / DONE - CODE","40be85bf (compliance-tracker)","src/app/api/v1/construction/boq/route.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-15","Weighted Sub-Tasks","Running total of child percentages shown per parent","BLOCKED / BUILT IN PROJEXA - corrected 22 Aug (E-112), audited against wrong repo","NONE recorded","NONE recorded","FALSE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-16","Weighted Sub-Tasks","Child with parent but no percentage rejected","CLOSED / NOT TESTED","b67b853f (compliance-tracker)","src/app/api/v1/construction/boq/route.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-17","Weighted Sub-Tasks","Parent code matching nothing rejected","CLOSED / NOT TESTED","b67b853f (compliance-tracker)","src/app/api/v1/construction/boq/route.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-18","Weighted Sub-Tasks","Circular reference rejected without hanging","CLOSED / NOT TESTED","2ffb521e (compliance-tracker)","src/app/api/v1/construction/boq/route.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-19","Weighted Sub-Tasks","Nested sub-task prices off the ROOT","CLOSED / NOT TESTED","2ffb521e (compliance-tracker)","src/app/api/v1/construction/boq/route.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-20","Revisions","Revision preserves parent links and breakdown %","CLOSED / DONE - VERIFIED","7c0fe55f (compliance-tracker)","src/lib/services/construction-boq-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-21","Revisions","Revision variation vs prior shown","CLOSED / DONE - UNTESTED","b67b853f (compliance-tracker)","src/lib/services/construction-boq-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-22","Revisions","Removing a line WITH progress is BLOCKED","CLOSED / NOT TESTABLE YET","b67b853f (compliance-tracker)","src/lib/services/construction-boq-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-23","Revisions","Reducing qty on a line WITH progress is BLOCKED","CLOSED / NOT TESTABLE YET","b67b853f (compliance-tracker)","src/lib/services/construction-boq-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-24","Revisions","Percentage-only change detected as variation","CLOSED / NOT TESTED","b67b853f (compliance-tracker)","src/lib/services/construction-boq-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-30","BOQ View","Sumeet can SEE line items of a BOQ","BLOCKED / DONE - VERIFIED (contradictory)","NONE recorded","NONE recorded","FALSE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-31","BOQ View","Sub-task rows indented and labelled % of parent","BLOCKED / DONE - VERIFIED (contradictory)","NONE recorded","NONE recorded","FALSE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-32","BOQ View","BOQ total EXCLUDES sub-tasks (5000 not 6500)","CLOSED / DONE - VERIFIED","0700e699 (compliance-tracker)","e2e/demo-gate-smoke.spec.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-33","Reports Roll-up","BACKEND roll-up excludes sub-tasks","CLOSED / CONFIRMED LIVE 2026-09-04 (R74 Phase 5)","b67b853f (compliance-tracker)","src/lib/services/construction-reports-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-40","Work Progress","Record partial progress against a weighted sub-task","CLOSED / BLOCKER CLEARED 22 Aug, still unverified end to end","0700e699 (compliance-tracker)","e2e/demo-gate-smoke.spec.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-41","Work Progress","Previous % / Current % / Total % columns","BLOCKED / BUILT - VERIFIED, gating UAT PASS (R46 25 Aug)","NONE recorded","NONE recorded","FALSE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-42","Work Progress","Previous Qty / Current Qty / Total Qty columns","BLOCKED / BUILT - VERIFIED, gating UAT PASS (R46 25 Aug)","NONE recorded","NONE recorded","FALSE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-43","Work Progress","Cum Amt / Current Amt / Balance Amt columns","BLOCKED / BUILT - VERIFIED, gating UAT PASS (R46 25 Aug)","NONE recorded","NONE recorded","FALSE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-44","Work Progress","Parent cum qty = SUM(child cum qty x breakdown %)","CLOSED / BUILT - VERIFIED","740472d8 (compliance-tracker)","src/lib/services/construction-reports-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-45","Work Progress","Parent % complete = cum amount / total amount","CLOSED / BUILT - VERIFIED","740472d8 (compliance-tracker)","src/lib/services/construction-reports-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-46","Work Progress","Progress recorded twice keeps history and does not double count","CLOSED / DONE","40be85bf (compliance-tracker)","src/lib/services/construction-progress-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-47","Work Progress","Progress above 100% rejected or capped","CLOSED / BUILT SERVER-SIDE (corrected 22 Aug)","b6999822 (compliance-tracker)","src/lib/services/construction-progress-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-48","Work Progress","Daily progress report with photos","CLOSED / BUILT - UNTESTED","2b6bfbb8 (projexa)","src/app/api/work-progress/photos/route.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-50","Dashboard","Project value matches BOQ total","CLOSED / CONFIRMED LIVE 2026-09-04 (R74 Phase 5)","35af8798 (compliance-tracker)","src/lib/services/construction-dashboard-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
"R-51","Dashboard","Dashboard earned value matches progress","CLOSED / DONE","b6999822 (compliance-tracker)","src/lib/services/construction-dashboard-service.test.ts","TRUE","platform.sumeet_requirements @ pcrjmlpuqsbocqfwoxod"
