"Rule_Id","Module","Rule_Statement","Enforced_In_File_Path","Enforcement_Layer","Failure_Behaviour","Evidence_Quote"
"BL-BOQ-01","Scope / BOQ","A BOQ sub-task (a line carrying a Parent Item Code) is priced off its ROOT ancestor, not its immediate parent: child qty = root qty, child rate = root rate x breakdown% / 100. The parent chain is walked to the top with a cycle guard.","src/lib/boq-helpers.ts","CLIENT","Broken or circular parent chain returns null, so the Amount cell renders blank rather than a guessed number.","""Child: amount = rootQty x (rootRate x breakdown%/100) -- identical to F4 in schema.ts, so what the grid shows is what the server will store."""
"BL-BOQ-02","Scope / BOQ","The BOQ total sums ROOT lines only. A weighted sub-task's amount is already contained in its parent's amount, so summing every row flat double-counts the BOQ.","src/lib/boq-helpers.ts","CLIENT","Non-root rows are filtered out of the total; no error is raised.","""A weighted sub-task's amount is DERIVED from its parent (parent qty x parent rate x breakdown %), so it is already contained in the parent's amount. Summing every row flat double-counts the BOQ. Top-level rows only."""
"BL-BOQ-03","Scope / BOQ","A line with a Parent Item Code requires a Breakdown %, and must NOT be asked for Qty/Rate (the backend derives them). A root line requires Qty and Rate.","src/lib/boq-helpers.ts","CLIENT","Save is disabled and the missing field is named per line; on submit the line is refused by name.","""A sub-line (one carrying a Parent Item Code) needs a Breakdown % instead of Qty/Rate, because the backend DERIVES a child's quantity and rate from its root ancestor"""
"BL-BOQ-04","Scope / BOQ","Every BOQ line requires a Description and a Unit. A sub-task may leave Unit blank and inherits its named parent's unit.","src/lib/boq-helpers.ts","CLIENT","Missing Description/Unit is listed in the line's incomplete message and in the Save button's disabled reason.","""A sub-task may leave Unit blank and inherit its parent's -- the real backend derives a child's quantity/rate from its root, and the unit follows the same chain."""
"BL-BOQ-05","Scope / BOQ","A wholly blank line row is ignored on save. A row with ANY content but incomplete fields blocks the entire save; nothing is written, and the offending row is named.","src/lib/boq-helpers.ts","CLIENT","Returns an error naming the row and the missing fields; no rows submitted.","""Line ${i + 1} is incomplete -- add ${missing.map((f) => LINE_FIELD_LABEL[f]).join("", "")}. Nothing was saved."""
"BL-BOQ-06","Scope / BOQ","A submission where every line row is genuinely blank is a legitimate title-only, zero-line BOQ and is never treated as an error.","src/lib/boq-helpers.ts","BOTH","Save proceeds with zero line items.","""a submission where every row is genuinely blank is a legitimate title-only, zero-line BOQ -- the real backend explicitly allows this. Never an error."""
"BL-BOQ-07","Scope / BOQ","A BOQ requires a Title.","src/lib/boq-helpers.ts","CLIENT","Save disabled with ""Title"" named in the reason; field message shown on blur.","""export const TITLE_REQUIRED_MESSAGE = \""Enter a title, e.g. Civil Works - Phase 1\"";"""
"BL-BOQ-08","Scope / BOQ","A line cannot be its own parent; a Parent Item Code must match an Item Code on another line; a loop of parents is rejected.","src/lib/boq-helpers.ts","CLIENT","Field-level message under Parent Item Code on blur; the row's Amount cannot be derived.","""messages.push({ field: \""parentItemCode\"", text: \""A line cannot be its own parent\"" });"""
"BL-BOQ-09","Scope / BOQ","Save on the New BOQ screen stays disabled until there is a Title AND at least one complete line (minimum: Description, Qty, Rate). The reason narrows to what the closest line is still missing.","src/lib/boq-helpers.ts","CLIENT","Button disabled with a stated reason instead of an enabled Save that fails after the click.","""if (touched.length === 0) { parts.push(\""1 line with Description, Qty, Rate\""); }"""
"BL-BOQ-10","Scope / BOQ","Version numbering: the original BOQ is stored as version 1 and each revision as parent.version + 1, but the user-facing label is version - 1 (""Rev0"", ""Rev1""). Never negative.","src/lib/boq-lineage.ts","BOTH","Display-only; an unparseable version falls back to Rev0.","""the backend stores the ORIGINAL BOQ as version 1 ... and each revision as parent.version + 1. The customer counts revisions from zero -- the original is \""Rev0\"""""
