Req_ID,Area,Requirement,Closure_State,Cited_Test
"R-01","BOQ Create","BOQ saves without server error","CLOSED","e2e/demo-gate-smoke.spec.ts"
"R-02","BOQ Create","Line item amount = QTY x RATE","CLOSED","e2e/demo-gate-smoke.spec.ts"
"R-03","BOQ Create","BOQ with title only and zero lines is allowed","CLOSED","boq/route.test.ts"
"R-04","BOQ Create","Missing title rejected naming the field","CLOSED","boq/route.test.ts"
"R-10","Weighted Sub-Tasks","Sub-task columns exist in production DB","CLOSED","schema.construction-boq-columns.test.ts"
"R-11","Weighted Sub-Tasks","Sub-task enterable in create form (Item Code / Parent Code / Breakdown %)","BLOCKED",""
"R-12","Weighted Sub-Tasks","Sub-task amount = ROOT qty x ROOT rate x breakdown %","CLOSED","construction-boq-service.test.ts"
"R-13","Weighted Sub-Tasks","Sub-task own QTY and RATE ignored","CLOSED","construction-boq-service.test.ts"
"R-14","Weighted Sub-Tasks","Weights NOT forced to sum to 100","CLOSED","boq/route.test.ts"
"R-15","Weighted Sub-Tasks","Running total of child percentages shown per parent","BLOCKED",""
"R-16","Weighted Sub-Tasks","Child with parent but no percentage rejected","CLOSED","boq/route.test.ts"
"R-17","Weighted Sub-Tasks","Parent code matching nothing rejected","CLOSED","boq/route.test.ts"
"R-18","Weighted Sub-Tasks","Circular reference rejected without hanging","CLOSED","boq/route.test.ts"
"R-19","Weighted Sub-Tasks","Nested sub-task prices off the ROOT","CLOSED","boq/route.test.ts"
"R-20","Revisions","Revision preserves parent links and breakdown %","CLOSED","construction-boq-service.test.ts"
"R-21","Revisions","Revision variation vs prior shown","CLOSED","construction-boq-service.test.ts"
"R-22","Revisions","Removing a line WITH progress is BLOCKED","CLOSED","construction-boq-service.test.ts"
"R-23","Revisions","Reducing qty on a line WITH progress is BLOCKED","CLOSED","construction-boq-service.test.ts"
"R-24","Revisions","Percentage-only change detected as variation","CLOSED","construction-boq-service.test.ts"
"R-30","BOQ View","Sumeet can SEE line items of a BOQ","BLOCKED",""
"R-31","BOQ View","Sub-task rows indented and labelled % of parent","BLOCKED",""
"R-32","BOQ View","BOQ total EXCLUDES sub-tasks (5000 not 6500)","CLOSED","e2e/demo-gate-smoke.spec.ts"
"R-33","Reports Roll-up","BACKEND roll-up excludes sub-tasks","CLOSED","construction-reports-service.test.ts"
"R-40","Work Progress","Record partial progress against a weighted sub-task","CLOSED","e2e/demo-gate-smoke.spec.ts"
"R-41","Work Progress","Previous % / Current % / Total % columns","BLOCKED",""
"R-42","Work Progress","Previous Qty / Current Qty / Total Qty columns","BLOCKED",""
"R-43","Work Progress","Cum Amt / Current Amt / Balance Amt columns","BLOCKED",""
"R-44","Work Progress","Parent cum qty = SUM(child cum qty x breakdown %)","CLOSED","construction-reports-service.test.ts"
"R-45","Work Progress","Parent % complete = cum amount / total amount","CLOSED","construction-reports-service.test.ts"
"R-46","Work Progress","Progress recorded twice keeps history and does not double count","CLOSED","construction-progress-service.test.ts"
