"Supabase_Project_Ref","Schema","Table","Purpose","Key_Columns","Row_Count","RLS_Enabled","Schema_File_Path","Used_By_Module"
"evpckeuxgvahguwsaeul","public","organizations","PROJEXA tenant root (name/slug/country)","PK:id","15","TRUE","src/lib/db/schema.ts:7","api/org/provision"
"evpckeuxgvahguwsaeul","public","memberships","User-to-org membership + role","PK:id|FK:organization_id,user_id","107","TRUE","src/lib/db/schema.ts:24","src/lib/supabase"
"evpckeuxgvahguwsaeul","public","profiles","Auto-populated from auth.users insert trigger","PK:id|FK:id","111","TRUE","src/lib/db/schema.ts:134","api/conversations/route.ts"
"evpckeuxgvahguwsaeul","public","veridian_credentials","One row per org pointing at its VERIDIAN tenant","PK:organization_id|FK:organization_id","14","TRUE","src/lib/db/schema.ts:43","api/org/provision"
"evpckeuxgvahguwsaeul","public","assistant_queries","Local history of /api/v1/projexa/assistant calls","PK:id|FK:created_by,organization_id","18","TRUE","src/lib/db/schema.ts:65","UNKNOWN"
"evpckeuxgvahguwsaeul","public","conversations","Chat conversation header, org-scoped","PK:id|FK:organization_id","0","TRUE","src/lib/db/schema.ts:80","src/lib/authz"
"evpckeuxgvahguwsaeul","public","conversation_participants","Conversation membership join table","PK:conversation_id,user_id|FK:conversation_id,user_id","0","TRUE","src/lib/db/schema.ts:88","UNKNOWN"
"evpckeuxgvahguwsaeul","public","messages","Chat messages","PK:id|FK:conversation_id,sender_id","0","TRUE","src/lib/db/schema.ts:102","src/components/screens"
"evpckeuxgvahguwsaeul","public","notifications","In-app notifications (RFI/submittal/punch list)","PK:id|FK:organization_id,user_id","270","TRUE","src/lib/db/schema.ts:150","src/lib/authz"
"evpckeuxgvahguwsaeul","public","todos","Per-user todo items","PK:id|FK:organization_id,user_id","0","TRUE","src/lib/db/schema.ts:166","api/todos/route.ts"
"evpckeuxgvahguwsaeul","public","org_invites","Email-bound org invite tokens","PK:id|FK:accepted_by,invited_by,organization_id","1","TRUE","src/lib/db/schema.ts:118","UNKNOWN"
"evpckeuxgvahguwsaeul","public","work_progress_photos","Site photo linked to a VERIDIAN work-progress entry","PK:id|FK:organization_id,uploaded_by","4","TRUE","src/lib/db/schema.ts:188","UNKNOWN"
"evpckeuxgvahguwsaeul","public","contact_requests","Marketing-site lead capture, anonymous visitor rows","PK:id","1","TRUE","src/lib/db/schema.ts:229","src/lib/services"
"evpckeuxgvahguwsaeul","public","security_audit_log","Platform security events; demo-password rotations","PK:id","1","TRUE","src/lib/db/schema.ts:219","UNKNOWN"
