"Subsystem","File_Path","Exported_Entry_Points","Input","Output","What_It_Does","Live_Or_Dead","Model_Or_Provider","Invoked_From"
"prompt-compiler","C:\ct\ct\src\lib\prompt-compiler\pipeline.ts","runPipeline(input); type PipelineInput, PipelineResult","rawText, business{orgId,orgName,country}, user{userId,displayName,roles}, sessionMessages, template, templateVariables","PipelineResult: compiled prompt, classification, intent, entities, confidence, verification, per-stage timings vs 15/25/30/30ms budgets","Layer 2-5 orchestrator: lightweight analysis -> prompt construction -> context assembly -> verification, composing the pure sibling stages with real Date.now() stage timings","LIVE - imported directly by app\api\prompt-compiler\execute\route.ts","None (deterministic software; reports whether Tier-5 model escalation is NEEDED, never calls a model)","POST /api/prompt-compiler/execute, called by components\veri-chat\VeriComposer.tsx"
"prompt-compiler","C:\ct\ct\src\lib\prompt-compiler\types.ts","CHAT_CATEGORIES, ENTITY_TYPES; types Classification, IntentLevel, Entity, PromptVariable, CompiledPrompt, AssembledContext, ConfidenceBreakdown, VerificationResult, PipelineResult","n/a (type module)","n/a","Shared type + constant vocabulary for the whole prompt-compiler; ported from scripts/prompt_gateway/engine/*.py","LIVE - 12 prod importers incl. pipeline.ts, prompt-construction.ts, lib\browser-execution\client-compile.ts","None","Transitively via lib\prompt-compiler\pipeline.ts <- /api/prompt-compiler/execute"
"prompt-compiler","C:\ct\ct\src\lib\prompt-compiler\prompt-construction.ts","compressToMachinePrompt(), estimateTokenReduction(), analyzeLightweight(), buildCompiledPrompt(); re-exports hashContent, computeFingerprint","rawText / LightweightAnalysis + Classification + IntentLevel","CompiledPrompt (machine prompt + fingerprint + token-reduction estimate)","Rule-based template match then compression of a raw user prompt into a machine prompt; reuses prompt-normalizer.ts's normalizeForLlm rather than a second noise remover","LIVE - imported by lib\prompt-compiler\pipeline.ts and lib\browser-execution\client-compile.ts","None (deterministic compression)","/api/prompt-compiler/execute (server pass) and VeriComposer.tsx (browser first pass)"
"prompt-compiler","C:\ct\ct\src\lib\prompt-compiler\intent-classifier.ts","classify(text), extractIntent(text)","raw prompt text","Classification {category, confidence}; IntentLevel {primary, secondary, implicit}","Keyword-ratio + regex category scoring (60/40 weighted), ported 1:1 from classifier.py's ChatClassifier, plus multi-level intent decomposition","LIVE - imported by prompt-construction.ts (and the dead barrel index.ts)","None (deterministic keyword/regex)","prompt-construction.ts <- pipeline.ts <- /api/prompt-compiler/execute"
"prompt-compiler","C:\ct\ct\src\lib\prompt-compiler\entity-variable-extraction.ts","escapeRegExp(), extractEntities(), extractVariables(), resolveVariableDefaults()","prompt text; variable defaults map","Entity[] (incl. DEADLINE_DATE, MONEY_AMOUNT, REGULATION_REF, EMAIL), PromptVariable[]","Regex entity extraction ported from classifier.py plus domain entity types and template-variable discovery","LIVE - imported by prompt-construction.ts","None","prompt-construction.ts <- pipeline.ts <- /api/prompt-compiler/execute"
"prompt-compiler","C:\ct\ct\src\lib\prompt-compiler\context-assembly.ts","computeRelevance(), pruneContext(), hydrateTemplate(), assembleContext()","session messages, current query, business context, user context, template + variables","AssembledContext with pruneStats","TF-IDF-like relevance + 70/30 recency weighting then budget pruning (ported from context_engine.py), plus business/user context sources the Python original lacked","LIVE - imported by pipeline.ts","None","pipeline.ts <- /api/prompt-compiler/execute"
"prompt-compiler","C:\ct\ct\src\lib\prompt-compiler\confidence-engine.ts","computeConfidence(inputs); type ConfidenceInputs","raw signals: classifier confidence, cache match, intent clarity, model readiness, context completeness","ConfidenceBreakdown (weighted signals + score)","Multi-signal composite confidence replacing classifier.py's single keyword-ratio float; pure function","LIVE - imported by verification-pipeline.ts","None","verification-pipeline.ts <- pipeline.ts <- /api/prompt-compiler/execute"
"prompt-compiler","C:\ct\ct\src\lib\prompt-compiler\verification-pipeline.ts","selectModelTier(), verify(); type VerificationInputs","Classification, IntentLevel, compiled prompt, context","VerificationResult (checks[], model selection, cost estimate, escalation flag)","Layer 5 verification: business/workflow/capability/permission checks + cost estimation + model-tier selection, wired to llm-client.ts's estimateCostUsd and ComplexityTier","LIVE - imported by pipeline.ts","None directly; SELECTS a model tier for a caller to spend on","pipeline.ts <- /api/prompt-compiler/execute"
"prompt-compiler","C:\ct\ct\src\lib\prompt-compiler\prompt-hash.ts","hashContent(text), computeFingerprint(classification, intent, entities, variables)","text / classification tuple","hex hash string","node:crypto hashing split out of prompt-construction.ts so that module can be browser-bundled","LIVE - imported by prompt-construction.ts","None","prompt-construction.ts <- pipeline.ts <- /api/prompt-compiler/execute"
"prompt-compiler","C:\ct\ct\src\lib\prompt-compiler\index.ts","export * from 15 sibling modules (types, entity-variable-extraction, intent-classifier, context-assembly, prompt-construction, prompt-optimizer-expansion, prompt-similarity, prompt-ranking-recommendation, confidence-engine, verification-pipeline, prompt-portability, prompt-ab-testing, prompt-testing-benchmark, pipeline, persist-compiled-prompt)","n/a","n/a","Barrel export for the Prompt Compiler pipeline + intelligence/matching engines","DEAD - 0 importers anywhere in src (prod or test). The only consumer route imports lib\prompt-compiler\pipeline.ts directly, bypassing this barrel","None","Nothing"
