"Route_Path","Page_File_Path","Auth_Required","Renders_Component","Module_Id_If_Catalogued","Screen_Kind","Data_Source_API","Purpose"
"/accounting/companies/new","C:\ct\projexa\src\app\(app)\accounting\companies\new\page.tsx","YES","CompanyCreateClient","accounting","CREATE","/api/companies","Create a legal company entity under the organisation for accounting/ledger scoping."
"/accounting/journal-entries/[id]","C:\ct\projexa\src\app\(app)\accounting\journal-entries\[id]\page.tsx","YES","JournalEntryObjectClient","accounting","OBJECT","/api/journal-entries/{id}, /api/journal-entries/{id}/submit, /api/accounts","View one journal entry with its lines and submit it to the ledger."
"/accounting/journal-entries/new","C:\ct\projexa\src\app\(app)\accounting\journal-entries\new\page.tsx","YES","JournalEntryCreateClient","accounting","CREATE","/api/journal-entries, /api/accounts","Post a new double-entry journal entry against the chart of accounts."
"/accounting","C:\ct\projexa\src\app\(app)\accounting\page.tsx","YES","AccountingClient, PageHeading","accounting","HUB","/api/finance-dashboard, /api/trial-balance, /api/balance-sheet, /api/profit-and-loss, /api/profit-and-loss-by-project, /api/bank-reconciliation, /api/journal-entries, /api/companies","Accounting hub: finance dashboard plus trial balance, balance sheet, P&L, P&L by project, bank reconciliation and journal entries."
"/analysis","C:\ct\projexa\src\app\(app)\analysis\page.tsx","YES","ProjexaLinkListCard, PageHeading, ProjectLoadError","analysis","HUB","NONE (static list from src/lib/analysis-screens.ts; project resolved server-side)","Directory of the four analytical screens buried as tabs in other modules, each link pre-carrying ?projectId=."
"/budgets/[id]","C:\ct\projexa\src\app\(app)\budgets\[id]\page.tsx","YES","NONE (server redirect only)","budgets","REDIRECT","NONE","Legacy budget object URL; redirects to /finance/budgets/{id}."
"/budgets/new","C:\ct\projexa\src\app\(app)\budgets\new\page.tsx","YES","NONE (server redirect only)","budgets","REDIRECT","NONE","Legacy budget create URL; redirects to /finance/budgets/new carrying the whole query string."
"/budgets","C:\ct\projexa\src\app\(app)\budgets\page.tsx","YES","NONE (server redirect only)","budgets","REDIRECT","NONE","Legacy Budgets door; redirects to /finance/budgets forwarding every query param (fixed 2026-09-08 so ?projectId= survives)."
"/change-orders/[id]","C:\ct\projexa\src\app\(app)\change-orders\[id]\page.tsx","YES","ChangeOrderObjectClient","change-orders","OBJECT","/api/change-orders/{id}, /api/change-orders/{id}/signature-status","One change order (variation) with its e-signature status."
"/change-orders/new","C:\ct\projexa\src\app\(app)\change-orders\new\page.tsx","YES","ChangeOrderCreateClient, CreateScreenUnavailable","change-orders","CREATE","/api/change-orders","Raise a new change order against the selected project."
"/change-orders","C:\ct\projexa\src\app\(app)\change-orders\page.tsx","YES","ChangeOrdersClient, PageHeading, ProjectLoadError","change-orders","LIST","/api/change-orders, /api/change-orders/{id}/signature-status; server callVeridian /screen-definitions/variations.list","Project-scoped change-order register; columns come from the VERIDIAN screen definition variations.list."
"/copilot","C:\ct\projexa\src\app\(app)\copilot\page.tsx","YES","CopilotClient, PageHeading","UNCATALOGUED","HUB","/api/assistant","AI Copilot conversation screen scoped to the selected project."
"/customers/[id]","C:\ct\projexa\src\app\(app)\customers\[id]\page.tsx","YES","CustomerOverviewClient","customers","OBJECT","/api/customers/{id}, /api/customers/{id}/overview","Customer record plus its 360 overview (orders, invoices, balances)."
"/customers/new","C:\ct\projexa\src\app\(app)\customers\new\page.tsx","YES","CustomerCreateClient","customers","CREATE","/api/customers","Create a customer master record."
"/customers","C:\ct\projexa\src\app\(app)\customers\page.tsx","YES","CustomersClient, PageHeading","customers","LIST","/api/customers","Org-wide customer master list (module is needsProject:false)."
"/dashboard/hierarchy","C:\ct\projexa\src\app\(app)\dashboard\hierarchy\page.tsx","YES","DashboardHierarchyClient, PageHeading","dashboard","HUB","/api/dashboard-hierarchy/companies, /api/dashboard-hierarchy/companies/{id}/dashboard, /.../departments, /.../projects/{id}, /api/projects/{id}","Company > department > project rollup dashboard for the whole organisation."
"/dashboard/overview","C:\ct\projexa\src\app\(app)\dashboard\overview\page.tsx","YES","NONE (server redirect only)","dashboard","REDIRECT","NONE","Former project-rows-with-bars screen; redirects to /dashboard where the rows now live."
"/dashboard","C:\ct\projexa\src\app\(app)\dashboard\page.tsx","YES","DashboardHomeView, DashboardProjectClient, ModuleDirectory","dashboard","HUB","server callVeridian /currencies and /permits?withinDays=30; client /api/dashboard/project/{id}, /api/currencies, /api/work-progress, /api/reports/category-progress","HOME_ROUTE. Org dashboard + grouped module directory (replaces the deleted left rail), or the project dashboard when a project is selected."
"/dashboard/project","C:\ct\projexa\src\app\(app)\dashboard\project\page.tsx","YES","DashboardProjectClient","dashboard","HUB","server callVeridian /screen-definitions/dashboard.dashboard; client /api/dashboard/project/{id}, /api/currencies, /api/work-progress, /api/reports/category-progress","Single-project dashboard tiles; column set resolved from the VERIDIAN dashboard.dashboard screen definition."
"/design-studio/cost-analysis","C:\ct\projexa\src\app\(app)\design-studio\cost-analysis\page.tsx","YES","DesignStudioCostAnalysisClient","design-studio","REPORT","/api/reports/designer-timesheet","Designer time-cost analysis report for the selected project."
"/design-studio","C:\ct\projexa\src\app\(app)\design-studio\page.tsx","YES","DesignStudioTimesheetClient, ProjectLoadError","design-studio","LIST","/api/timesheets, /api/timesheets/{id}/submit, /api/timesheets/submit-day, /api/schedule/tasks, /api/reports/designer-approval-status","Designer's own day timesheet: log/edit entries and submit the day."
"/design-studio/review","C:\ct\projexa\src\app\(app)\design-studio\review\page.tsx","YES","DesignStudioReviewClient","design-studio","LIST","/api/timesheets, /api/timesheets/review-day","Approver view of submitted timesheet days for approve/reject."
"/design-studio/timesheets/[id]","C:\ct\projexa\src\app\(app)\design-studio\timesheets\[id]\page.tsx","YES","DesignStudioTimesheetObjectClient","design-studio","OBJECT","/api/timesheets/{id}, /api/timesheets/{id}/submit","One timesheet entry, editable and submittable."
"/design-studio/timesheets/new","C:\ct\projexa\src\app\(app)\design-studio\timesheets\new\page.tsx","YES","DesignStudioTimesheetCreateClient, CreateProjectMissing","design-studio","CREATE","/api/timesheets, /api/schedule/tasks","The single log-time form (also the target of the /schedule/log-time alias); accepts ?taskId= preselection."
"/documents/[id]","C:\ct\projexa\src\app\(app)\documents\[id]\page.tsx","YES","DocumentObjectClient","documents","OBJECT","/api/documents/{id}, /api/documents/{id}/versions, /api/documents/{id}/dispose","One document with its version history and disposal action."
"/documents","C:\ct\projexa\src\app\(app)\documents\page.tsx","YES","DocumentsClient, ModuleListSkeletonBody, ProjectRequiredCard","documents","LIST","/api/documents (server via fetchDocumentsList in module-list-source), /api/moms, /api/permits, /api/rfis","Project document register; columns from getScreenColumns, requires a selected project."
"/documents/upload","C:\ct\projexa\src\app\(app)\documents\upload\page.tsx","YES","DocumentUploadClient, CreateFormSkeleton","documents","CREATE","/api/documents (+ link targets /api/moms, /api/permits, /api/rfis)","Upload a document; gated on getStorageStatus so a broken bucket is shown rather than a failing form."
"/drawings/[id]","C:\ct\projexa\src\app\(app)\drawings\[id]\page.tsx","YES","DrawingObjectClient","drawings","OBJECT","/api/drawings/{id}, /api/documents/{id}/dispose","One drawing/revision record."
"/drawings/new","C:\ct\projexa\src\app\(app)\drawings\new\page.tsx","YES","DrawingCreateClient, CreateFormSkeleton","drawings","CREATE","/api/drawings, /api/projects","Upload a new drawing revision; storage status checked server-side."
"/drawings","C:\ct\projexa\src\app\(app)\drawings\page.tsx","YES","DrawingsClient, ModuleListSkeletonBody","drawings","LIST","/api/drawings, /api/drawings/export (server fetchDrawingsList)","Project drawing register with export."
"/employees/[id]","C:\ct\projexa\src\app\(app)\employees\[id]\page.tsx","YES","EmployeeObjectClient","employees","OBJECT","/api/employees/{id}, /api/employees, /api/companies, /api/hr/departments","One employee master record with company/department lookups."
"/employees/departments/new","C:\ct\projexa\src\app\(app)\employees\departments\new\page.tsx","YES","DepartmentCreateClient","employees","CREATE","/api/hr/departments","Create an HR department."
"/employees/leave/balance/new","C:\ct\projexa\src\app\(app)\employees\leave\balance\new\page.tsx","YES","LeaveBalanceCreateClient","employees","CREATE","/api/leave/balances, /api/employees","Grant/open a leave balance for an employee."
"/employees/leave/new","C:\ct\projexa\src\app\(app)\employees\leave\new\page.tsx","YES","LeaveRequestCreateClient","employees","CREATE","/api/leave/requests","Raise a leave request."
"/employees/new","C:\ct\projexa\src\app\(app)\employees\new\page.tsx","YES","EmployeeCreateClient","employees","CREATE","/api/employees, /api/companies","Create an employee master record."
"/employees","C:\ct\projexa\src\app\(app)\employees\page.tsx","YES","EmployeesClient, PageHeading","employees","LIST","/api/employees, /api/companies, /api/hr/departments, /api/hr/org-chart, /api/leave/balances, /api/leave/requests, /api/leave/requests/{id}/decision","Employee register with departments, org chart and inline leave-request decisions."
"/expenses/new","C:\ct\projexa\src\app\(app)\expenses\new\page.tsx","YES","ExpenseCreateClient, CreateScreenUnavailable","expenses","CREATE","/api/expenses","Record a project expense."
"/expenses","C:\ct\projexa\src\app\(app)\expenses\page.tsx","YES","ExpensesClient, PageHeading","expenses","LIST","/api/expenses","Project-scoped expense list."
"/ffe/[id]","C:\ct\projexa\src\app\(app)\ffe\[id]\page.tsx","YES","FfeObjectClient","ffe","OBJECT","/api/ffe/{id}","One FF&E specification item."
"/ffe/new","C:\ct\projexa\src\app\(app)\ffe\new\page.tsx","YES","FfeCreateClient, CreateScreenUnavailable","ffe","CREATE","/api/ffe","Add an FF&E specification item."
"/ffe","C:\ct\projexa\src\app\(app)\ffe\page.tsx","YES","FfeClient, PageHeading, ProjectLoadError","ffe","LIST","/api/ffe, /api/ffe/{id}, /api/ffe/margin-summary","FF&E specification list with margin summary."
"/finance/budgets/[id]","C:\ct\projexa\src\app\(app)\finance\budgets\[id]\page.tsx","YES","BudgetObjectClient","budgets","OBJECT","/api/project-budgets/{id}, /api/project-budgets/{id}/variance, /api/project-budgets/{id}/{action}, /api/accounts","One ERP fiscal-year project budget with variance and workflow actions."
