"Step_No","Step_Name","File_Path","Function_Or_Component","Input","Output","Side_Effects","Notes"
"1","Shell mounts; message store sits above the shell","src/components/shell/M24Shell.tsx","M24Shell (default export)","children (the routed ERP page)","<ShellMessagesProvider><M24ShellBody>{children}</M24ShellBody></ShellMessagesProvider>","Creates the plural (log) message store","Lines 520-532. Provider must be above the body because M24ShellBody is itself one of the store's writers (pushReceipt)."
"2","Shell body reads router + pathname","src/components/shell/M24Shell.tsx","M24ShellBody","none","router (useRouter), pathname (usePathname), useShellMessages()","none","Lines 534-541."
"3","Session bootstrap fetched once, revalidated in background","src/lib/shell-store.ts","useShell / loadShell / fetchBootstrap","{enabled}","ShellBootstrapPayload + {errors, loaded, refresh}","GET /api/shell via readJsonWithRetry (2 attempts); 30s SHELL_FAILURE_COOLDOWN_MS; last known-good data kept on failure","Per-key freshness: organization/projects/pillUsage 5 min, notifications 1 min, capabilityTree/currencies 24 h, vendors 10 min. Module-level cache + listener set, survives remount."
"4","Bootstrap server handler","src/app/api/shell/route.ts","GET (wrapped in withTiming)","session cookie via requireAuth()","{organization, role, email, userId, projects, notifications, unreadCount, pillUsage, recentChains, history, isNewUser, capabilityTree, currencies, vendors, fetchedAt, errors}","8 concurrent reads via Promise.allSettled (Supabase orgs/notifications + callVeridianResult /dashboard, /pill-usage?limit=6, /capability-tree, /currencies, /vendors)","export const dynamic = ""force-dynamic"". allSettled not all: a failed pill ranking must not blank the org name; each failure named in `errors`."
"5","URL -> the four screen facts","src/components/shell/use-screen-module.ts","useScreenModule / screenModuleFor(pathname)","pathname from usePathname()","{pathname, module, chainModule, createSegment, shipped}","none (pure)","Answers module / chainModule / createSegment / shipped in ONE place. shipped comes from isShippedRoute() in src/lib/nav-routes.ts."
"6","URL -> ?projectId= and the full query string","src/components/shell/M24Shell.tsx","RouteProjectIdReader (lines 486-505)","useSearchParams()","calls onChange(id) and onSearch(params.toString())","setRouteProjectId(id), setRouteSearch(search) in the shell","Renders null. Sits inside <Suspense fallback={null}> in the topRail slot so useSearchParams() does not opt every app route out of static rendering."
"7","THE URL WINS: the chain root project","src/components/shell/M24Shell.tsx","project / projectId derivation (line ~1509, comment 'A-13 -- ONE ROOT, AND THE URL WINS')","routeProject, objectProject, routeScreen?.project, railProject","project, projectId","none","Literal: `const project = routeProject ?? objectProject ?? routeScreen?.project ?? railProject`. Precedence: URL ?projectId= > record the URL names > screen-published > rail's remembered choice."
"8","How the project was chosen, for the rail label","src/components/shell/M24Shell.tsx","projectSource + railLabelProject useMemo","project, projectSource","'route' | screen source | 'preference' | null; label becomes '<name> (auto-selected)' when source is 'auto'","none","The STRIP keeps the plain name; only the rail admits an automatic choice."
"9","Which module the composer is about","src/components/shell/M24Shell.tsx","selectedModule / activeModule / promptModule useMemos (~1550-1568)","segments, screen.module, screen.chainModule","selectedModule = MODULE_CATALOGUE entry matching the first kind==='action' segment; activeModule = selectedModule ?? chainModule; promptModule = selectedModule ?? screenModule","none","Derived from the chain, never held as separate state - that is how the two would drift."
"10","Mode is derived, not chosen","src/lib/chain-mode.ts","deriveMode(segments)","chain segments","'projects' | 'customers' | 'vendors'","none","Mode tab row (Projects|Customers|Vendors) was deleted along with its sessionStorage key 'veri.chain.mode'. The value still travels in the POST body."
"11","The chain object is assembled","src/components/shell/M24Shell.tsx","chain useMemo (lines ~1587-1609)","mode, project, objectSegment, chainModule, screen.createSegment, segments","Chain {mode, segments}","none","Fixed 'root' segments in order: project, then object-segment OR `screen:<moduleId>`, then create-page segment; the user's own steps are appended after them."
"12","Rule for what survives a navigation (pure)","src/lib/chain-navigation.ts","navigationOutcome({loaded, nextPathname})","LoadedChainFacts|null, next pathname","'keep' | 'clear-all' | 'clear-segments'","none","keep = pinned, or arriving at the loaded chain's own route. clear-all = loaded chain, gone elsewhere. clear-segments = ordinary navigation."
"13","Navigation effect carries that rule out","src/components/shell/M24Shell.tsx","useEffect on screen.pathname (line ~2840)","outcome from navigationOutcome","cleared chain state","setSegments([]), setPendingFunctionId(null), setArmedCard(null), setNotice(null); on 'clear-all' also setDraft('') and setLoaded(null)","On an ordinary navigation the typed DRAFT deliberately survives - words a person typed are theirs."
"14","30/70 frame","src/components/shell/AppShell.tsx","AppShell","topRail, taskMaster, children, composer, composerReserveExtra, chainRail, taskMasterExpanded","left <aside> at LEFT_PANE_PERCENT=30 (aria-label 'Task Master'), right <main> flex-1","none","Root is h-[100svh] flex flex-col overflow-hidden. Fork of the kit's AppShell whose only structural change is where the composer mounts."
"15","One shared left card","src/components/shell/AppShell.tsx","aside inner wrapper div","-","relative flex min-h-0 flex-1 flex-col rounded-xl border, white background","Its position:relative is what Composer's `absolute inset-x-0 bottom-0` anchors to","Deliberately NO overflow-hidden so the docked composer can grow upward past its resting height."
"16","Task Master area gets a real height, not scroll padding","src/components/shell/AppShell.tsx","inner scroll div style.height","taskMasterExpanded, COMPOSER_RESTING_HEIGHT (112), composerReserveExtra","`calc(100% - (112 + extra)px)` when expanded, 0 when collapsed","none","Padding-bottom only cleared the composer at the very end of the scroll; a real shorter box clears it at ANY scroll position."
"17","Right pane container","src/components/shell/AppShell.tsx","<main className='min-h-0 min-w-0 flex-1 overflow-y-auto'>","chainRail, children","sticky chainRail band + the routed ERP screen","none","No bottom padding reserved: the composer never overlays this pane, so the ERP screen keeps its full height."
"18","Composer root: docked vs undocked","src/components/shell/Composer.tsx","Composer root div (ref=rootRef)","dockedOverTaskMaster (M24Shell passes tasksExpanded)","docked: 'pointer-events-none absolute inset-x-0 bottom-0 z-20 ... maxHeight 62vh'. undocked: 'relative flex min-h-0 flex-1 flex-col'","none","Default state is UNDOCKED because tasksExpanded starts false (M24Shell line 718) - the mock's default view has no Task Master pane."
"19","LEFT SPLIT PART 1 (top third): Frequent actions","src/components/shell/Composer.tsx","`pills` slot wrapper div","pills ReactNode","undocked: 'min-h-0 h-1/3 shrink-0 grow-0 overflow-y-auto'. docked: 'min-h-0 shrink overflow-y-auto' with maxHeight 40vh","none","R80 PART 4, owner's words: 'PART 1 (TOP LEFT) - FREQUENT ACTIONS'."
"20","LEFT SPLIT PART 2 (middle third): mode pills / option-selection chain","src/components/shell/Composer.tsx","conversation + ControlStrip wrapper div","conversation ReactNode, chain props","undocked: 'flex min-h-0 h-1/3 shrink-0 grow-0 flex-col overflow-hidden' containing the scrolling conversation box and the bordered ControlStrip","none","Owner's words: 'PART 2 (MIDDLE LEFT) - MODE PILLS / OPTION SELECTION CHAIN'. The two were independent siblings before; merged into one band so the middle third is one coherent third."
"21","LEFT SPLIT PART 3 (bottom third): the chat box","src/components/shell/Composer.tsx","fieldsSlot + textarea + Send button + examples + attach row wrapper","value, onChange, onSubmit, sendLabel, canSend, busy, errorMessage, examples, attachSlot, fieldsSlot","undocked: 'min-h-0 h-1/3 shrink-0 grow-0 overflow-y-auto'. docked: 'shrink-0'","none","Owner's words: 'PART 3 - (BOTTOM LEFT) - CHAT BOX'."
"22","Composer measures its own height","src/components/shell/Composer.tsx","dependency-free useLayoutEffect + ResizeObserver on rootRef","rendered bounding rect","onHeightChange(px)","M24Shell setComposerHeight -> AppShell composerReserveExtra = Math.max(COMPOSER_PILLS_BAND_RESERVE(96), composerHeight - 112)","Replaces a static 208px guess that undercounted by 238px in a measured real state, covering task-row buttons."
"23","Textarea autosizes itself","src/components/shell/Composer.tsx","dependency-free useLayoutEffect + ResizeObserver on the textarea's parent","scrollHeight","style.height = `${Math.min(scrollHeight, 220)}px`","none","No drag, no resize handle, no pin - the box sizes itself."
"24","Ranked cards computed","src/lib/pill-ranking.ts (rankCards) with src/lib/card-catalogue.ts","rankCards({ranked, role, excludeModuleId, limit:6})","rankedPills (from bootstrap pillUsage), info?.role, selectedModule?.id ?? screenModule?.id","{cards: CardDef[], unknownKeys: string[]}","none","Order from the server ranking when there is one, else the role's cold-start order. A newly arrived ranking is applied only at the NEXT navigation, never under a moving finger."
"25","This screen's own cards computed from route + tab + query","src/lib/composer-cards.ts","cardsFor(pathname, tab, search) via M24Shell screenCards useMemo (~2265)","pathname, new URLSearchParams(routeSearch).get('tab'), routeSearch","ScreenCard[]","none","Keyed by route AND tab AND query string, so 'Expiring soon' is live on /permits and dead on /permits?withinDays=30."
"26","PillStrip renders the top third","src/components/shell/PillStrip.tsx","PillStrip","cards, screenCards, recent, onSelect*, onTogglePin, loading, expanded, allModules, onSelectModule, unknownKeys, footnote","'Frequent actions' heading + a flex-col stack of full-width rows (screen cards, 'Do again', ranked cards) + the expanded All-modules catalogue","console.warn ONCE per distinct unknownKeys set","M24Shell passes screenCards={selectedModule ? [] : screenCardViews} - a picked module stands this row down. Never re-sorts; renders `cards` in the given order."
