"Sheet","Wave","Row_Count","Column_Count","Columns"
"00_ENVIRONMENTS","0","4","7","Env_Id | Environment | Purpose | Status_2026_09_08 | Components | Live_URL_Or_Path | Notes"
"00_OWNER_DIRECTIVES_AI_LEVELS","0","9","8","Directive_Id | Scope | Directive | Applies_To | Current_State_2026_09_08 | Evidence_File_Path | Build_Required | Notes"
"AI_ROUTER_TIERS_CLASSIFICATION_CACHING","1","70","9","Layer | Component | File_Path | Input | Output | Logic_Summary | Live_Or_Dead | Model_Or_Provider | Evidence"
"ENV_AND_CONFIG_INVENTORY","1","113","7","Variable_Name | Repo | Used_In_File_Paths | Purpose | Is_Secret | Required | Default_Or_Fallback"
"PROJEXA_API_ROUTES","1","288","8","Route_Path | File_Path | Methods | Auth_Required | Org_Scoped | Request_Shape | Response_Shape | Purpose"
"PROJEXA_COMPONENT_LAYER","1","357","6","Component_File_Path | Kind | Module | Renders_Screen_Type | Key_Props | Purpose"
"PROJEXA_COMPOSER_FLOW_TRACE","1","65","8","Step_No | Step_Name | File_Path | Function_Or_Component | Input | Output | Side_Effects | Notes"
"PROJEXA_ERP_BUSINESS_RULES","1","130","7","Rule_Id | Module | Rule_Statement | Enforced_In_File_Path | Enforcement_Layer | Failure_Behaviour | Evidence_Quote"
"PROJEXA_MODULE_INVENTORY","1","39","17","Module_Id | Module_Label | List_Route | Route_Prefixes | List_Component_Path | Create_Route | Create_Component_Path | Object_Route | Object_Component_Path | API_Base_Path | Project_Scoped | Leaf_Actions | Has_Create | Has_Read | Has_Edit | Has_Delete | Purpose"
"PROJEXA_REPORT_ANALYSIS_INVENTORY","1","79","9","Report_Id | Report_Name | Entry_Route | Definition_File_Path | Parameters | Data_Source | Output_Format | Export_Options | Purpose"
"PROJEXA_USER_PROCEDURES","1","91","9","Flow_Id | Persona | Goal | Entry_Point_Route | Steps | Screens_Touched | Data_Created | Preconditions | E2E_Spec_Path"
"REQUIREMENT_REGISTERS_R80","1","164","8","Requirement_Id | Area | Requirement_Text | Recorded_Status | Closure_Commit | Closure_Test_Path | Independently_Verified | Source"
"VERIDIAN_PROJEXA_DATABASE_INVENTORY","1","632","9","Supabase_Project_Ref | Schema | Table | Purpose | Key_Columns | Row_Count | RLS_Enabled | Schema_File_Path | Used_By_Module"
"VERIDIAN_PROJEXA_INFRA_PIPELINE","1","63","7","Area | Item | Identifier | File_Or_URL | Current_State | Purpose | Notes"
"W2_OPERATIONAL_RUNBOOK_R80_WAVE2","2","128","7","Topic | Step_No | Action | Command_Or_File_Path | Expected_Result | Failure_Mode | Source_Doc"
"W2_PROJEXA_ROUTE_LEVEL_PAGE_INVENTORY_ALL_186_PAGE_TSX","2","186","8","Route_Path | Page_File_Path | Auth_Required | Renders_Component | Module_Id_If_Catalogued | Screen_Kind | Data_Source_API | Purpose"
"W2_REQUEST_PATH_TRACE_WRITE_POST_API_WORK_PROGRESS_VS_READ_GET_","2","38","9","Hop_No | Stage | Component | File_Path | Entry_Function | What_Happens | On_Success | On_Failure | Mermaid_Node_Id"
"W2_SYSTEM_STATE_MEMORY_ERROR_CONTRACT_LOCALIZATION_INVENTORY","2","97","9","Category | Item | File_Path | Kind_Of_State | Lifetime_Or_Scope | Read_By | Written_By | Failure_Or_Reset_Behaviour | Notes"
"W2_VERIDIAN_AI_SUBSYSTEM_INVENTORY_WAVE_2","2","158","9","Subsystem | File_Path | Exported_Entry_Points | Input | Output | What_It_Does | Live_Or_Dead | Model_Or_Provider | Invoked_From"
"W2_VERIDIAN_API_SURFACE_INVENTORY","2","467","8","Route_Path | File_Path | Methods | Auth_Model | Org_Scoping | Calls_Service | Purpose | Proxied_By_PROJEXA_Route"
"W2_VERIDIAN_SERVICES_AND_ENGINES_PART1","2","60","9","File_Path | Kind | Exported_Functions | Domain | What_It_Computes | Key_Inputs | Key_Outputs | DB_Tables_Touched | Called_By"
"W2_VERIDIAN_SERVICES_AND_ENGINES_PART2","2","69","9","File_Path | Kind | Exported_Functions | Domain | What_It_Computes | Key_Inputs | Key_Outputs | DB_Tables_Touched | Called_By"
"W2_VERIDIAN_SERVICES_AND_ENGINES_PART3","2","81","9","File_Path | Kind | Exported_Functions | Domain | What_It_Computes | Key_Inputs | Key_Outputs | DB_Tables_Touched | Called_By"
"W2_VERIDIAN_SERVICES_AND_ENGINES_PART4","2","66","9","File_Path | Kind | Exported_Functions | Domain | What_It_Computes | Key_Inputs | Key_Outputs | DB_Tables_Touched | Called_By"
"W2_VERIDIAN_SERVICES_AND_ENGINES_PART5","2","14","9","File_Path | Kind | Exported_Functions | Domain | What_It_Computes | Key_Inputs | Key_Outputs | DB_Tables_Touched | Called_By"
"W2_WAVE2_ONBOARDING_PROVISIONING_UNAUTHENTICATED_SURFACE","2","94","7","Area | Step_Or_Surface | File_Path | Trigger | Behaviour | Failure_Mode | Gap_Or_Risk"
