"Route_Path","File_Path","Methods","Auth_Required","Org_Scoped","Request_Shape","Response_Shape","Purpose"
"/api/access-review/certifications/[id]","src/app/api/access-review/certifications/[id]/route.ts","PATCH","TRUE","TRUE","path id; JSON body (opaque passthrough)","VERIDIAN JSON passthrough","Update an access-review certification"
"/api/access-review","src/app/api/access-review/route.ts","GET, POST","TRUE","TRUE","GET: full query string forwarded; POST: JSON body","GET 200 VERIDIAN JSON; POST 201 VERIDIAN JSON","List / create access reviews"
"/api/accounts","src/app/api/accounts/route.ts","GET","TRUE","TRUE","none","VERIDIAN JSON passthrough","Chart-of-accounts lookup"
"/api/ar-aging","src/app/api/ar-aging/route.ts","GET","TRUE","TRUE","full query string forwarded","VERIDIAN JSON passthrough","AR aging report"
"/api/assistant","src/app/api/assistant/route.ts","GET, POST","TRUE","TRUE","GET: none; POST: JSON body, codeReference required","GET {queries:[...]}; POST 201 saved query row (with result); 400/500 {error}","AI assistant: list saved queries, run+record one"
"/api/attendance/bulk","src/app/api/attendance/bulk/route.ts","POST","TRUE","TRUE","JSON body (bulk attendance rows)","VERIDIAN JSON; error {error} with upstream status","Bulk attendance marking"
"/api/attendance","src/app/api/attendance/route.ts","GET, POST","TRUE","TRUE","GET: projectId or rosterId required (+date filters); POST: JSON body","GET 200 VERIDIAN JSON; POST 201; 400 {error}","List / record labour attendance"
"/api/attendance/summary/pdf","src/app/api/attendance/summary/pdf/route.ts","GET","TRUE","TRUE","projectId required; from, to","application/pdf binary; 400/error {error}","Attendance summary PDF download"
"/api/attendance/summary","src/app/api/attendance/summary/route.ts","GET","TRUE","TRUE","projectId required; from, to","VERIDIAN JSON; 400 {error}","Attendance summary figures"
"/api/attendance/summary/share","src/app/api/attendance/summary/share/route.ts","POST","TRUE","TRUE","JSON body {projectId, from, to}","201 {url, expiresAt}; 400 {error}","Create public share link for attendance summary"
"/api/audit-engagements","src/app/api/audit-engagements/route.ts","GET, POST","TRUE","TRUE","GET: none; POST: JSON body","GET VERIDIAN JSON; POST 201","List / create audit engagements"
"/api/audit-findings/[id]","src/app/api/audit-findings/[id]/route.ts","PATCH","TRUE","TRUE","path id; no body forwarded","VERIDIAN JSON passthrough","Update one audit finding"
"/api/audit-findings","src/app/api/audit-findings/route.ts","POST","TRUE","TRUE","JSON body","201 VERIDIAN JSON","Create an audit finding"
"/api/balance-sheet","src/app/api/balance-sheet/route.ts","GET","TRUE","TRUE","full query string forwarded","VERIDIAN JSON passthrough","Balance sheet report"
