"Variable_Name","Repo","Used_In_File_Paths","Purpose","Is_Secret","Required","Default_Or_Fallback"
"NEXT_PUBLIC_SUPABASE_URL","projexa","src/middleware.ts:121; src/lib/supabase/server.ts:8; src/lib/supabase/client.ts:5; src/lib/db/index.ts:11; scripts/phase1-provision-projexa-accounts.mjs:53","Supabase project URL for SSR/browser auth clients; also used to derive the pooler DB connection string when DATABASE_URL is unset","No (NEXT_PUBLIC_, ships in bundle)","Yes","None - non-null asserted with ! at the Supabase client call sites"
"NEXT_PUBLIC_SUPABASE_ANON_KEY","projexa","src/middleware.ts:122; src/lib/supabase/server.ts:9; src/lib/supabase/client.ts:6","Supabase anon (RLS-scoped) key for browser + SSR auth clients","No (public by design, RLS-scoped)","Yes","None - non-null asserted with !"
"DATABASE_URL","projexa","src/lib/db/index.ts:9; drizzle.config.ts:8; scripts/phase1-provision-projexa-accounts.mjs:97; scripts/phase1-seed-compliance-tracker-batch1.mjs:22; batch2.mjs:14; batch3.mjs:15; batch4.mjs:19","Postgres connection string for the Drizzle client and drizzle-kit migrations","Yes","Conditional","Falls back to a pooler URL assembled from NEXT_PUBLIC_SUPABASE_URL + SUPABASE_DB_PASSWORD (src/lib/db/index.ts:11-13)"
"SUPABASE_DB_PASSWORD","projexa","src/lib/db/index.ts:12; .env.local (key present)","DB password used to assemble the Supabase pooler connection string when DATABASE_URL is not set","Yes","Conditional (only when DATABASE_URL unset)","None"
"SUPABASE_SERVICE_ROLE_KEY","projexa","scripts/phase1-provision-projexa-accounts.mjs:54","Service-role key used by the account-provisioning script to create auth users (bypasses RLS)","Yes","Yes for that script","None - script exits when missing (line 57)"
"VERIDIAN_API_BASE_URL","projexa","src/lib/veridian-client.ts:46; .env.local (key present)","Base URL of compliance-tracker's PROJEXA API that callVeridian() targets","No","No","""https://veridian-compliance-ai.vercel.app/api/v1/projexa"""
"VERIDIAN_API_KEY","projexa","src/lib/veridian-client.ts:517; scripts/phase1-provision-projexa-accounts.mjs:55; src/lib/veridian-client.org-scoping.test.ts:59-144; src/lib/project-selection.f1.test.ts:44; src/lib/screen-definitions.test.ts:40","Shared platform API key for calls into compliance-tracker; only used for legacy call sites that pass no organizationId (org-scoped calls must use a per-org DB key)","Yes","Conditional","None - throws VeridianApiError(""No VERIDIAN API key configured"", 500)"
"VERIDIAN_PLATFORM_APPLICATION_KEY","projexa","src/lib/veridian-client.ts:795","Platform-level application key used by provisionVeridianOrg() to create a new VERIDIAN org","Yes","Conditional (only for org provisioning)","None - function throws when unset (line 796)"
"VERIDIAN_PROVISION_PASSWORD","projexa","scripts/phase1-provision-projexa-accounts.mjs:56","Password assigned to the demo/E2E accounts the provisioning script creates","Yes","Yes for that script","None - script exits when missing (line 57)"
"PROJEXA_PUBLIC_ORIGIN","projexa","src/app/api/moms/[id]/share-links/route.ts:15","Public origin used to build Minutes-of-Meeting share links returned by the API","No","No","""https://projexa-ai.com"""
"NEXT_PUBLIC_DEFAULT_CURRENCY_CODE","projexa","src/lib/currency.ts:43; src/lib/currency-fallback-env.test.ts:33","Deployment-level fallback currency CODE rendered only until a real per-org currency loads; deliberately a code, never a symbol","No","No",""""" (empty) - falls through to rendering a bare number with no currency token"
"DEBUG_LATENCY","projexa","src/lib/debug-latency.ts:25; src/lib/debug-latency.test.ts:12-82","Set to ""1"" to enable per-operation latency instrumentation","No","No","Unset = disabled (strict equality to ""1"")"
"DEBUG_LATENCY_FILE","projexa","src/lib/debug-latency.ts:60; src/lib/debug-latency.test.ts:12-82","Path a JSONL latency line is appended to when DEBUG_LATENCY=1","No","No","Unset = nothing written to file; write failures are swallowed so profiling never breaks the request"
"VERCEL_GIT_COMMIT_SHA","projexa","src/app/sw.js/route.ts:31","Commit SHA used as the service-worker CACHE_VERSION so a deploy invalidates the shell cache","No","No","""local-dev"""
"NODE_ENV","projexa","src/components/ServiceWorkerRegister.tsx:47; src/components/ServiceWorkerRegister.test.tsx:37-93","In development the component unregisters service workers and clears projexa-shell-* caches; in production it registers /sw.js","No","No (Next.js sets it)","Provided by Next.js/Node toolchain"
"CI","projexa","playwright.config.ts:16; playwright.config.ts:21","Enables forbidOnly and switches the Playwright reporter to github+list","No","No","Unset = local mode (list + json reporter to e2e-results.json)"
"PLAYWRIGHT_BASE_URL","projexa","playwright.config.ts:29; scripts/ocid020-login-check.mjs:6","Base URL the E2E suite / login-check script runs against","No","No","""https://projexa-ai.com"" in playwright.config.ts; ""https://projexa-smoky.vercel.app"" in ocid020-login-check.mjs"
"PLAYWRIGHT_RUN_TAG","projexa","e2e/helpers.ts:88","Prefix for uniqueSuffix() so fixture records created by a run are identifiable","No","No","""e2e"""
"E2E_PASSWORD","projexa","e2e/users.ts:19; scripts/measure-perf.mjs:23","Password for the shared E2E/demo test accounts","Yes","No","A hardcoded literal password is committed as the fallback in both files (value deliberately not reproduced here)"
"E2E_EMAIL","projexa","scripts/measure-perf.mjs:22","Login email the perf-measurement script authenticates with","No","No","A hardcoded demo e2e account email literal in source (not reproduced here)"
"BASE_URL","projexa","scripts/measure-perf.mjs:20; scripts/measure-ttfb-warmup.mjs:7","Target origin for the perf / TTFB-warmup measurement scripts","No","No","""https://projexa-ai.com"""
"PERF_BASE_URL","projexa","scripts/perf-harness.mjs:48","Base URL the perf harness drives","No","No","""http://localhost:3100"""
"PERF_EMAIL","projexa","scripts/perf-harness.mjs:49","Login email for the perf harness","No","No",""""" (empty string)"
"PERF_PASSWORD","projexa","scripts/perf-harness.mjs:50","Login password for the perf harness","Yes","No",""""" (empty string)"
"PERF_PROJECT_ID","projexa","scripts/perf-harness.mjs:51","Project id whose screens the perf harness profiles","No","No",""""" (empty string)"
"PERF_OUT_DIR","projexa","scripts/perf-harness.mjs:52","Directory the perf harness writes results to","No","No","resolve(ROOT, ""perf"") - the repo's perf/ directory"
"PERF_USABLE_TIMEOUT_MS","projexa","scripts/perf-harness.mjs:57","Milliseconds a screen is given to reach a usable state before the row is recorded as a timeout","No","No","12000"
