"Hop_No","Stage","Component","File_Path","Entry_Function","What_Happens","On_Success","On_Failure","Mermaid_Node_Id"
"1","Browser (BOTH)","Client fetch to PROJEXA origin","UNKNOWN","UNKNOWN","Browser issues POST /api/work-progress (WRITE) or GET /api/work-progress?projectId=... (READ) to the PROJEXA Next.js app. Session carried as Supabase sb-*-auth-token cookies.","Request enters PROJEXA edge middleware","Network error surfaced in browser; no server hop occurs","A"
"2","PROJEXA Edge middleware (BOTH)","Middleware matcher","C:\ct\projexa\src\middleware.ts","config.matcher (lines 308-310)","Matcher is ""/((?!_next/static|_next/image|favicon.ico|logo-mark.svg).*)"" - it covers BOTH pages and every /api/* route, so no API request bypasses this file.","middleware() runs","N/A - matcher is static","B"
"3","PROJEXA Edge auth (BOTH)","Local JWT claims verification","C:\ct\projexa\src\middleware.ts","middleware() -> createServerClient + getClaimsWithRetry (lines 117-148)","createServerClient(NEXT_PUBLIC_SUPABASE_URL/ANON_KEY) then getClaimsWithRetry(): verifies session JWT locally via cached JWKS (no /user round-trip). userId = claims.sub. Whole block is try/catch.","userId set (string) or null","Reported error or thrown exception is logged and userId stays null - degrades to 'logged out for this request', never a 500","C"
"4","PROJEXA Edge auth retry (BOTH)","getClaims one-shot retry","C:\ct\projexa\src\lib\supabase\get-claims-with-retry.ts","getClaimsWithRetry(supabase)","Calls supabase.auth.getClaims(); on error, retries EXACTLY ONCE and only if message matches /fetch failed|network|timeout|ECONNRESET|ETIMEDOUT/i.","Claims returned","Non-network auth error returned immediately without retry","D"
"5","PROJEXA Edge write gate (WRITE ONLY)","Org membership lookup","C:\ct\projexa\src\middleware.ts","middleware() (lines 169-185)","Gate runs only if pathname startsWith '/api/' AND method in MUTATING_METHODS (POST/PUT/PATCH/DELETE) AND userId AND supabase. Queries memberships.select('role').eq('user_id',userId).limit(1).maybeSingle() - no organization_id filter, first row wins.","role string or null passed to policy check","membershipError -> HTTP 503 {error:'Could not verify organization membership, please retry'} - fails closed, does not guess","E"
"6","PROJEXA Edge write gate (WRITE ONLY)","Central role decision","C:\ct\projexa\src\lib\authz\api-write-policy.ts","checkApiWriteAccess(method, pathname, role)","Non-mutating method -> allowed. tier PUBLIC -> allowed. role==null -> allowed (deliberately deferred to requireAuth's 400/503). Else role must be in ROLE_GROUPS[tier].","{allowed:true}; request continues to the route handler","{allowed:false} -> HTTP 403 {error:'Forbidden: your role does not permit this action'}, byte-identical to requireRole()'s body","F"
"7","PROJEXA Edge write gate (WRITE ONLY)","Tier resolution table","C:\ct\projexa\src\lib\authz\api-write-policy.ts","resolveWriteTier(pathname)","Strips /api prefix, exact-arity match against API_WRITE_POLICY keys ([id] = single-segment wildcard). No exact match -> nearest ANCESTOR pattern (longest leading-slice match). Still nothing -> DEFAULT_WRITE_TIER='FIELD'. Never falls back to 'allow'.","Tier returned (ORG_ADMIN | PM_OR_ABOVE | FIELD | ANY_MEMBER | ANY_ROLE | PUBLIC)","Unknown route lands on FIELD, not on 'anyone'","G"
"8","PROJEXA role vocabulary (WRITE ONLY)","Role group sets","C:\ct\projexa\src\lib\authz\roles.ts","ROLE_GROUPS","ORG_ADMIN=[owner,admin]; PM_OR_ABOVE=[owner,admin,pm]; FIELD=[owner,admin,pm,site_engineer]; ANY_MEMBER=+member; ANY_ROLE=all 6 incl client_viewer. Backed by memberships.role. Set model, NOT a linear rank. /work-progress is tier FIELD.","Role membership test passes","client_viewer (and 'member' for FIELD routes) is refused here","H"
"9","PROJEXA Edge page gate (NEITHER - non-/api only)","Page auth + locale","C:\ct\projexa\src\middleware.ts","requiresAuthenticatedPage / withLocaleCookie (lines 204-305)","Deny-by-default page gate; unauthenticated + protected -> 307 to /login?redirectTo=. Keeps a mandatory !/api/ clause so API 401 JSON never becomes an HTML login redirect. Locale cookie + marketing rewrite also here.","API requests pass through untouched","N/A for /api/* paths","I"
"10","PROJEXA route handler (BOTH)","Timing wrapper","C:\ct\projexa\src\lib\with-timing.ts","withTiming(method, handler)","Wraps the handler; measures upstream vs app ms, sets Server-Timing: upstream;dur=..,app;dur=.. AFTER the handler returns, and emits one structured log line {t,route,method,status,upstreamMs,appMs,upstreamCalls,orgId}. Changes no body/status.","Handler result returned with timing header","A throwing handler is logged with its duration, then rethrows (Next renders 500)","J"
