"Topic","Step_No","Action","Command_Or_File_Path","Expected_Result","Failure_Mode","Source_Doc"
"ORIENTATION","1","Read PROJEXA's own README first: it states the repo carries no construction domain data of its own; schedule/BOQ/RFIs/punch lists/FF&E are proxied over HTTP","C:\ct\projexa\README.md","Engineer understands PROJEXA is a thin client; domain logic is elsewhere","Wave 1 stopped at the HTTP boundary and reported the backend as absent; it is on disk at C:\ct\ct","C:\ct\projexa\README.md"
"ORIENTATION","2","Read the VERIDIAN backend README: multi-tenant Next.js 16 App Router + Bun + Drizzle + Supabase Postgres (compliance schema); the real backend behind PROJEXA-AI.COM","C:\ct\ct\README.md","Engineer knows C:\ct\ct is the backend monorepo (package name compliance-tracker v0.2.0)","README warns ~39 top-level .md files exist and none is an index of the others","C:\ct\ct\README.md"
"ORIENTATION","3","Read the consolidated architecture reference before touching schema/AI/tenancy","C:\ct\ct\docs\master\ARCHITECTURE.md","Understand product branches, AI Orchestra 5 layers, MCP surface, RLS mechanism","Doc itself flags 2 stale catalog claims; live product_branches rows are source of truth, not the prose","C:\ct\ct\docs\master\ARCHITECTURE.md"
"ORIENTATION","4","Use the module map to locate a domain's tables/services/routes/pages before grepping","C:\ct\ct\docs\master\MODULE_MAP.md","Per-domain file lists for Auth/GRC/GST/ERP etc.","Doc self-declares drift: counts written 2026-07-09, corrected 2026-08-07 to 284 migrations/468 tables/301 services/995 routes; re-grep before relying on it","C:\ct\ct\docs\master\MODULE_MAP.md"
"ORIENTATION","5","Regenerate the API route group index rather than trusting the table in the doc","git ls-files src/app/api -- '*route.ts' | awk -F/ '{print $4}' | sort | uniq -c | sort -rn (run in C:\ct\ct)","Live per-group route counts; doc records 1,019 route.ts across 140 top-level groups","Counts drift as the codebase grows; v1/ (232) includes ~190 v1/projexa/* alias routes, not a second implementation","C:\ct\ct\docs\API-ROUTES-INDEX.md"
"ORIENTATION","6","Note the two route conventions every API handler must follow","C:\ct\ct\docs\API-ROUTES-INDEX.md","requireAuth() from @/lib/supabase/auth-guard first; try/catch translating ServiceError to NextResponse.json({error},{status})","Enforced by diff-scoped CI checks scripts/check-route-error-handling.mjs and scripts/check-route-auth-guard.mjs only","C:\ct\ct\docs\API-ROUTES-INDEX.md"
"BOOTSTRAP-VERIDIAN","10","Open the backend repo (this is the one with the domain logic)","C:\ct\ct","Repo root has package.json, drizzle.config.ts, bun.lock, vercel.json","Working in C:\ct\projexa instead will never show backend behaviour","C:\ct\ct\package.json"
"BOOTSTRAP-VERIDIAN","11","Install dependencies with Bun (the repo's package manager)","bun install   (cwd C:\ct\ct)","node_modules populated from bun.lock","CI uses bun install --frozen-lockfile; npm/yarn will not honour bun.lock","C:\ct\ct\README.md"
"BOOTSTRAP-VERIDIAN","12","Copy the env reference to a local file (values are shape-only, no secrets)","copy C:\ct\ct\.env.example C:\ct\ct\.env.local","20 documented vars grouped by concern, each noting its Vercel target","Never commit .env.local or any real .env* file (gitignored)","C:\ct\ct\.env.example"
"BOOTSTRAP-VERIDIAN","13","Set DATABASE_URL to the Supabase transaction pooler","DATABASE_URL=postgresql://user:password@host:6543/postgres?pgbouncer=true","Migration/admin pool connects","Port 6543 (transaction pooling) does not support session-scoped prepared statements; postgres.js must be created with prepare:false or CREATE SCHEMA IF NOT EXISTS fails","C:\ct\ct\.env.example; C:\ct\ct\scripts\apply-migrations.mjs"
"BOOTSTRAP-VERIDIAN","14","Set APP_RUNTIME_DATABASE_URL only if the runtime pool differs from the migration pool","C:\ct\ct\src\lib\db\connection-string.ts","Tenant-scoped queries run as role app_runtime (NOSUPERUSER NOBYPASSRLS)","Falls back to DATABASE_URL, whose postgres role is rolbypassrls=true - RLS is then effectively not enforced for tenant queries","C:\ct\ct\.env.example; C:\ct\ct\docs\master\ARCHITECTURE.md"
"BOOTSTRAP-VERIDIAN","15","Set the three Supabase auth vars","NEXT_PUBLIC_SUPABASE_URL, NEXT_PUBLIC_SUPABASE_ANON_KEY, SUPABASE_SERVICE_ROLE_KEY","Auth and the service-role storage client resolve","Every upload path asserts SUPABASE_SERVICE_ROLE_KEY with a non-null ! and no check; a missing key surfaces only as 'Failed to upload file' after the user picks a file","C:\ct\ct\.env.example; C:\ct\ct\src\lib\storage-config.ts"
"BOOTSTRAP-VERIDIAN","16","Set CRON_SECRET (any value) for every environment that runs an /api/internal/** route","CRON_SECRET= in C:\ct\ct\.env.local","Internal/cron routes authenticate","Real prior incident: an empty CRON_SECRET made every cron route silently 401 - a fail-closed outage with no error surfaced","C:\ct\ct\.env.example; C:\ct\ct\docs\SEV1_INCIDENT_RUNBOOK.md"
"BOOTSTRAP-VERIDIAN","17","Set the AI provider keys used by llm-client.ts / orchestra-model-resolver.ts","ANTHROPIC_API_KEY, GROQ_API_KEY, CEREBRAS_API_KEY, OPENROUTER_API_KEY, ZAI_API_KEY","5 providers unified behind callLLM/callLLMJson/callLLMVision","Real prior incident of the same class: a missing GROQ_API_KEY became a silent fail-closed outage","C:\ct\ct\.env.example; C:\ct\ct\docs\SEV1_INCIDENT_RUNBOOK.md"
"BOOTSTRAP-VERIDIAN","18","Set AI_CONFIG_ENCRYPTION_KEY and keep it identical across any environment that reads back a stored per-org key","AI_CONFIG_ENCRYPTION_KEY= in C:\ct\ct\.env.local","Per-org BYO API keys encrypt/decrypt at rest","Losing it, or letting it differ between the env that encrypted a value and the one reading it, makes that stored key permanently undecryptable","C:\ct\ct\.env.example"
"BOOTSTRAP-VERIDIAN","19","Set SENTRY_DSN / NEXT_PUBLIC_SENTRY_DSN if you want error capture locally","sentry.server.config.ts, sentry.edge.config.ts, instrumentation-client.ts","Unhandled server/render errors reach Sentry","Sentry.init with an unset DSN silently no-ops - it does not error, it does nothing; verify before treating Sentry as detection","C:\ct\ct\.env.example; C:\ct\ct\docs\SEV1_INCIDENT_RUNBOOK.md"
"BOOTSTRAP-VERIDIAN","20","Set VERCEL_DEPLOYMENT_WEBHOOK_SECRET only in production","POST /api/webhooks/vercel-deployment","x-vercel-signature verified; deployment_events rows written","The route fails closed with HTTP 500 if unset, so every webhook delivery is rejected and the deployment SLO goes blind","C:\ct\ct\.env.example"
"BOOTSTRAP-VERIDIAN","21","Optionally set PLATFORM_AUDIT_ORG_ID, AI_TEAM_LOG_SECRET, PAT_FCHECKLIST","C:\ct\ct\.env.example","Deployment audit attribution + AI Dev Team repository_dispatch auth","PLATFORM_AUDIT_ORG_ID unset falls back to the earliest-created org","C:\ct\ct\.env.example"
"BOOTSTRAP-VERIDIAN","22","Do NOT set NODE_ENV by hand","C:\ct\ct\.env.example (last section)","Vercel/Next.js sets it per environment","Sentry's sample-rate tuning keys off NODE_ENV=development; overriding it distorts sampling","C:\ct\ct\.env.example"
"BOOTSTRAP-VERIDIAN","23","Know the fallback connection-string builder before debugging DB connectivity","C:\ct\ct\src\lib\db\connection-string.ts","If DATABASE_URL is unset, the URL is built from NEXT_PUBLIC_SUPABASE_URL + SUPABASE_DB_PASSWORD with region hardcoded aws-1-ap-south-1 port 6543","Historic bug: a copy of this logic carried the wrong pooler region (aws-0-ap-northeast-2) and was dormant only because DATABASE_URL stays set","C:\ct\ct\src\lib\db\connection-string.ts"
"BOOTSTRAP-VERIDIAN","24","Start the backend dev server","bun run dev   (cwd C:\ct\ct)","next dev on port 3000, output tee'd to dev.log","predev runs scripts/generate-protected-routes.mjs first; skipping it leaves src/lib/protected-routes.generated.ts stale and middleware's protected-prefix allowlist drifts","C:\ct\ct\package.json; C:\ct\ct\scripts\generate-protected-routes.mjs"
"BOOTSTRAP-VERIDIAN","25","Verify the backend is genuinely alive (not just serving)","GET http://localhost:3000/api/health","JSON with a real DB round trip (reads a catalog row, not 'select 1'), latencyMs, executing region, and storageConfigured boolean; 503 on DB failure","This route was previously edge runtime returning unconditional {ok:true} and reported 200 for the whole 21-22 Aug outage (E-105 / AR-08)","C:\ct\ct\src\app\api\health\route.ts"
"BOOTSTRAP-VERIDIAN","26","Build for production","bun run build   (cwd C:\ct\ct)","next build; prebuild regenerates protected routes","Build without the prebuild step gives a stale protected-route allowlist","C:\ct\ct\package.json"
"BOOTSTRAP-VERIDIAN","27","Type-check and lint","bun run typecheck (tsc --noEmit); bun run lint (eslint .)","Clean; these are two of the CI gate jobs","CI job names: Lint, Type Check, Build, Unit Tests plus migration/route/governance checks","C:\ct\ct\package.json; C:\ct\ct\.github\workflows\ci.yml"
"BOOTSTRAP-VERIDIAN","28","Run the built server","bun run start  ->  NODE_ENV=production bun .next/standalone/server.js (tee server.log)","Standalone server serves the built app","Requires a standalone build output to exist","C:\ct\ct\package.json"
"BOOTSTRAP-VERIDIAN","29","Seed demo data (optional)","bun run db:seed  ->  bun src/db/seed.ts","Seed data inserted","UNKNOWN which dataset/tenant it creates - not read in this pass","C:\ct\ct\package.json"
"BOOTSTRAP-PROJEXA","30","Open the PROJEXA repo","C:\ct\projexa","package.json name 'projexa' v0.1.0; dev script is next dev -p 3100","compliance-tracker's dev server on port 3000 will never show PROJEXA's UI","C:\ct\projexa\package.json; C:\ct\projexa\CLAUDE.md"
"BOOTSTRAP-PROJEXA","31","Install dependencies","bun install   (cwd C:\ct\projexa)","node_modules from bun.lock","@fchecklist/veridian-ui-kit is a pinned git dependency with no source in this repo; a node_modules edit is erased by the next bun install --frozen-lockfile","C:\ct\projexa\package.json; C:\ct\projexa\CLAUDE.md"
"BOOTSTRAP-PROJEXA","32","Create .env.local BY HAND - this repo has NO .env.example","C:\ct\projexa\.env.local","A file containing the 8 real vars listed in steps 33-39","Confirmed absent: only .env.local and next-env.d.ts exist; there is no template to copy, which is why bootstrap is undocumented","C:\ct\projexa (directory listing); C:\ct\projexa\AGENTS.md"
"BOOTSTRAP-PROJEXA","33","Point NEXT_PUBLIC_SUPABASE_URL at PROJEXA's OWN Supabase project","Supabase project ref evpckeuxgvahguwsaeul (named 'projexa', ACTIVE_HEALTHY)","PROJEXA's own auth.users, organizations, memberships resolve","This is a DIFFERENT project from compliance-tracker's pcrjmlpuqsbocqfwoxod ('verdian-ai'); a migration/schema check on one says nothing about the other","C:\ct\projexa\CLAUDE.md"
"BOOTSTRAP-PROJEXA","34","Set NEXT_PUBLIC_SUPABASE_ANON_KEY","C:\ct\projexa\.env.local","Browser/session Supabase client works; work-progress photo I/O uses the signed-in user's own session (RLS-respecting), not service role","PROJEXA does not use SUPABASE_SERVICE_ROLE_KEY anywhere (verified: no such process.env reference in src/scripts/e2e)","C:\ct\projexa\src\app\api\work-progress\photos\route.ts"
