"Report_Id","Report_Name","Entry_Route","Definition_File_Path","Parameters","Data_Source","Output_Format","Export_Options","Purpose"
"project-status","Project Status","/reports?report=project-status&projectId=","src/lib/report-parameters.ts; src/lib/report-schema.ts","projectId (req). needsDateRange=false, needsWeekStart=false, supportsCategory=false, supportsVendor=false","GET /api/reports/project-status -> VERIDIAN /reports/project-status; table rows fetched from budget-variance via BREAKUP_SOURCE_REPORT (src/lib/report-document-actions.ts)","ProjectStatusCard scalar bands + ReportDocument table 'Subcontractor / Budget breakup' (Category, Code, Description, Budget, Vendor, Vendor amount; grouped by Category; totals budget+vendorAmount; chart Budget by category)","PDF/XLSX/CSV via /api/reports/project-status/export (serverExport=true); Share link (public /share/report/[token]) + WhatsApp","Project's own dashboard figures - contract value, budget, revenue, expenses, earned value, both progress percentages"
"project-completion","Project Completion","/reports?report=project-completion&projectId=","src/lib/report-parameters.ts","projectId (req). supportsCategory=true (applied client-side by applyClientFilters). No date range, no weekStart, no vendor","GET /api/reports/project-completion -> VERIDIAN /reports/project-completion","Generic ReportOutput (table/pivot/chart tabs) - no ReportSchema","Browser-built CSV only (onCsv path); PDF/XLSX disabled with NO_DOCUMENT_REASON; Share disabled (no public view)","Overall completion percent plus the same percent per BOQ category"
"work-progress","Work Progress","/work-progress?tab=report&projectId=&from=&to=&category= (navigate; picker button 'Open Work Progress Report')","src/lib/report-parameters.ts; src/lib/report-destinations.ts (HOSTED_REPORTS); src/lib/work-progress-report-params.ts","projectId (req), from, to (applied), category (repeatable, applied by the WPR screen), view (scope|category|manpower|vendor), boqVersion, mode=total|balance","GET /api/work-progress/report (src/app/api/work-progress/report/route.ts) - 5 VERIDIAN calls (scope, activities, work-progress, attendance, labour-roster) composed by buildWorkProgressReport in src/lib/work-progress-report.ts","WorkProgressReportClient: 4 view tabs (Scope-wise, Category-wise, Manpower-wise, Vendor-wise), ScopeTable with S.No/Category/Code/Description/Qty[Unit,Rate,Amt]/Amt[Prev,Current,Total]/Percentage[Prev,Current,Total] + SortedBarList","PDF via /api/work-progress/report/pdf; XLSX via /api/work-progress/report/xlsx; browser-built CSV (wpr-<projectId>-<from>-to-<to>.csv); Share via /api/work-progress/report/share; WhatsApp","Quantities and amounts done per BOQ line - previous / this period / to date"
"category-progress","Category Progress","/reports?report=category-progress&projectId=","src/lib/report-parameters.ts","projectId (req). supportsCategory=true (client-side). No date range, weekStart or vendor","GET /api/reports/category-progress -> VERIDIAN /reports/category-progress","Generic ReportOutput - no ReportSchema","Browser-built CSV only; PDF/XLSX disabled; not shareable","Percent complete per BOQ category with the completed and total amount behind each one"
"weekly-project","Weekly Project","/reports?report=weekly-project&projectId=&weekStart=","src/lib/report-parameters.ts","projectId (req), weekStart (req, must be a Monday - weekStartFieldError/isMonday). No date range, category or vendor","GET /api/reports/weekly-project?projectId=&weekStart= -> VERIDIAN /reports/weekly-project","Generic ReportOutput - no ReportSchema","Browser-built CSV only; PDF/XLSX disabled; not shareable","One week of progress entries, labour cost, attendance, site diary entries and expenses"
"attendance","Attendance","/reports?report=attendance&projectId=","src/lib/report-parameters.ts","projectId (req) only","GET /api/reports/attendance -> VERIDIAN /reports/attendance","Generic ReportOutput - no ReportSchema","Browser-built CSV only; PDF/XLSX disabled; not shareable","Present, absent and half-day counts with labour cost, grouped by trade"
"manpower-cost","Manpower Cost","/reports?report=manpower-cost&projectId=","src/lib/report-parameters.ts","projectId (req) only (the standalone proxy also accepts trade, date)","GET /api/reports/manpower-cost -> VERIDIAN /reports/manpower-cost; separate legacy proxy at /api/manpower-cost-report (format=legacy)","Generic ReportOutput - no ReportSchema","Browser-built CSV only; PDF/XLSX disabled; not shareable","Attendance-based labour cost and worker-days summed by trade"
"site-picture","Site Picture Log","/reports?report=site-picture&projectId=","src/lib/report-parameters.ts","projectId (req) only","GET /api/reports/site-picture -> VERIDIAN /reports/site-picture","Generic ReportOutput - no ReportSchema","Browser-built CSV only; PDF/XLSX disabled; not shareable","The project's site photographs grouped by the day they were taken"
"scope","Scope (BOQ)","/reports?report=scope&projectId=","src/lib/report-parameters.ts","projectId (req) only","GET /api/reports/scope -> VERIDIAN /reports/scope","Generic ReportOutput - no ReportSchema","Browser-built CSV only; PDF/XLSX disabled; not shareable","Latest BOQ revision's total value and line count with the revision history behind it"
"budget-summary","Budget Summary","/scope?tab=variance&projectId=&category=&vendorId= (navigate; tab now ships labelled 'Budget')","src/lib/report-parameters.ts; src/lib/report-destinations.ts (HOSTED_REPORTS); src/app/(app)/scope/page.tsx","projectId (req), category (repeatable), vendorId. needsDateRange=false","BudgetAnalyticalClient -> GET /api/reports/budget-variance?projectId= -> VERIDIAN /reports/budget-variance; vendors from /api/vendors","Editable budget/vendor sheet with Category+Vendor filters (BudgetAnalyticalClient)","Browser CSV via downloadCsv/BUDGET_EXPORT_HEADERS (budget-<projectId>.csv)","Every BOQ line's budget against its vendor amount, with variance and per-category subtotals"
