"Category","Item","File_Path","Kind_Of_State","Lifetime_Or_Scope","Read_By","Written_By","Failure_Or_Reset_Behaviour","Notes"
"A. Client state","Shell session store (snapshot + listeners)","C:\ct\projexa\src\lib\shell-store.ts","Module-level JS variable `snapshot` + Set of listeners; stale-while-revalidate","Life of the browser tab; dies on remount-free module reload only","AttendanceCreateClient.tsx, DashboardSpeculation.tsx, LabourClient.tsx, MaterialReceiptCreateClient.tsx, ProjectCreateClient.tsx, RosterCreateClient.tsx (via useShell/getShellUserId)","loadShell()/fetchBootstrap() from GET /api/shell; invalidateShell(...keys) on writes","Failed bootstrap KEEPS last known-good data; if none, mints an empty payload with errors.shell = message. resetShellStore() is a test seam.","Deliberately module-level, not React context, so it survives a shell remount and is writable from handlers outside the provider."
"A. Client state","SHELL_FRESHNESS_MS per-key TTL table","C:\ct\projexa\src\lib\shell-store.ts:42","Constant record ShellKey -> ms","Policy constant","shellNeedsRevalidation(), staleShellKeys()","Source code only","N/A","organization 5min, projects 5min, notifications 60s, pillUsage 5min, capabilityTree 24h, currencies 24h, vendors 10min (matches Cache-Control max-age=600 on /api/vendors)."
"A. Client state","SHELL_FAILURE_COOLDOWN_MS","C:\ct\projexa\src\lib\shell-store.ts:104","Constant + module var `lastFailureAt`","Per tab","loadShell()","fetchBootstrap() on failure","30_000 ms. Without it a down backend is hammered in a tight loop, because 'stale' is what triggers refetch. `force=true` bypasses.","A success sets lastFailureAt = 0 and clears invalidatedAt marks it just answered."
"A. Client state","ShellBootstrapPayload (the six session-scoped reads)","C:\ct\projexa\src\app\api\shell\route.ts:29","Server response type; `dynamic = ""force-dynamic""`","Per request, per authenticated user+org","shell-store.ts fetchBootstrap()","Route handler; Promise.allSettled over org/projects/notifications/pillUsage/capabilityTree/currencies/vendors","allSettled not all: a failed pill ranking must not blank the org name. Each failure named in `errors` with backend's own words.","Carries `fetchedAt: number` (the staleness clock) and `userId` (added R80 GAP-8 so last-choice.ts can key per person). Tasks deliberately excluded (they change as the user works)."
"A. Client state","Generic SWR store: values / inFlight / listeners Maps","C:\ct\projexa\src\lib\shell-cache.ts:58","Three module-level Maps<string, ...>","Life of the tab; NOT sessionStorage on purpose (identity-adjacent data must die with the page)","reference-lookups.ts, schedule-cache.ts","cachedShellJson(), writeShellCache()","A failure is NEVER cached (caching 'the org failed' for a minute turns one blip into a minute of broken header). ShellFetchError is thrown.","Concurrent readers of one key share ONE in-flight request. peek/write/subscribe added R67 F-11 so an optimistic pending row can be painted before the 201."
"A. Client state","SHELL_CACHE_TTL_MS / SHELL_SESSION_TTL_MS","C:\ct\projexa\src\lib\shell-cache.ts:36,49","Constants","Policy","cachedShellJson(), peekShellCache(), schedule-cache.ts","Source code only","N/A","60_000 ms default; 600_000 ms for session-stable reads (org, project list) that only change when a human acts and whose paths invalidate explicitly. SHELL_PROJECTS_KEY = 'shell:projects'."
"A. Client state","readJsonWithRetry -- one retry before any fallback","C:\ct\projexa\src\lib\shell-resilience.ts:206","Pure async function; no stored state","Per call","shell-store.ts fetchBootstrap()","N/A","Exactly 2 attempts, 1000 ms apart. Status read BEFORE body every time. A thrown fetch sets status = null (never invents a reply that did not come).","Returns {ok:true,data,attempts} or {ok:false,error,attempts,status}. `status` added for D-65 so the read-error dictionary can withhold Retry on 401/403 and name 504 a timeout."
"A. Client state","RankedCache (pill-strip ranking, per user)","C:\ct\projexa\src\lib\shell-resilience.ts:72","Serialised {last, byUser} record","UNKNOWN (parse/serialise are pure; the storage medium lives in the shell call site)","rankingFor(cache, userId), sameRanking()","rememberRanking()","parseRankedCache() returns EMPTY_RANKED_CACHE on anything malformed.","sameRanking() compares key+label+pin IN ORDER, because the order IS the ranking -- a repaint that reorders cards under a moving finger is the defect."
"A. Client state","Speculative prefetch store","C:\ct\projexa\src\lib\prefetch-store.ts","Module Map<string,PrefetchEntry> + inFlight Set + queue array","Per tab","DashboardSpeculation.tsx, use-hover-prefetch.ts, use-list-read.ts","prefetch(key, fetcher); invalidatePrefetch / invalidatePrefetchMatching","A prefetch that fails is simply forgotten and the screen fetches normally. Never awaited by a render path. resetPrefetchStore() is a test seam.","Four hard bounds: PREFETCH_TTL_MS 60_000, PREFETCH_MAX_ENTRIES 5 (oldest evicted), PREFETCH_MAX_CONCURRENCY 2, one flight per key. HOVER_INTENT_MS = 100."
"A. Client state","primaryListUrl -- the speculation URL map","C:\ct\projexa\src\lib\module-prefetch.ts:20","Pure route->URL switch","Static","DashboardSpeculation.tsx, use-hover-prefetch.ts","Source code only","A module not listed is a no-op, never a wrong guess.","Covers /scope, /work-progress, /permits, /moms, /drawings, /documents, /labour, /materials. DASHBOARD_SPECULATION_ROUTES = ['/scope','/work-progress']."
